- marigold | "Marigold" | Tagetes | Annual | H 0.3m x W 0.3m | 1y | bloom May-Oct #f4a000 | zones (none) | sun full-sun | water moderate | tags [orange, yellow, easy]
- marigold-yellow | "Yellow Marigold" | Tagetes 'Yellow' | Annual | H 0.3m x W 0.3m | 1y | bloom May-Oct #f4cc1e | zones (none) | sun full-sun | water moderate | tags [yellow, easy]
- marigold-orange | "Orange Marigold" | Tagetes 'Orange' | Annual | H 0.3m x W 0.3m | 1y | bloom May-Oct #f07a1e | zones (none) | sun full-sun | water moderate | tags [orange, easy]
- marigold-gold | "Gold Marigold" | Tagetes 'Gold' | Annual | H 0.3m x W 0.3m | 1y | bloom May-Oct #e8a000 | zones (none) | sun full-sun | water moderate | tags [gold, yellow, orange, easy]
- marigold-red | "Red Marigold" | Tagetes patula 'Red' | Annual | H 0.3m x W 0.3m | 1y | bloom May-Oct #a83820 | zones (none) | sun full-sun | water moderate | tags [red, orange, easy]
- marigold-bicolor | "Bicolor Marigold" | Tagetes patula 'Bicolor' | Annual | H 0.3m x W 0.3m | 1y | bloom May-Oct #c85020 | zones (none) | sun full-sun | water moderate | tags [red, orange, gold, bicolor, easy]
- marigold-cream | "Cream Marigold" | Tagetes erecta 'Vanilla' | Annual | H 0.4m x W 0.3m | 1y | bloom May-Oct #f2ead0 | zones (none) | sun full-sun | water moderate | tags [cream, white, easy]
- marigold-french | "French Marigold" | Tagetes patula | Annual | H 0.3m x W 0.3m | 1y | bloom May-Oct #f0a81e | zones (none) | sun full-sun | water moderate | tags [yellow, orange, dwarf, easy]
- marigold-african | "African Marigold" | Tagetes erecta | Annual | H 0.6m x W 0.4m | 1y | bloom May-Oct #f07814 | zones (none) | sun full-sun | water moderate | tags [orange, gold, easy]
- marigold-lemon-gem | "Lemon Gem" | Tagetes tenuifolia 'Lemon Gem' | Annual | H 0.25m x W 0.3m | 1y | bloom May-Oct #f4d83a | zones (none) | sun full-sun | water moderate | tags [yellow, dwarf, easy]
- marigold-tangerine-gem | "Tangerine Gem" | Tagetes tenuifolia 'Tangerine Gem' | Annual | H 0.25m x W 0.3m | 1y | bloom May-Oct #f0801e | zones (none) | sun full-sun | water moderate | tags [orange, dwarf, easy]
- petunia | "Petunia" | Petunia | Annual | H 0.3m x W 0.4m | 1y | bloom May-Oct #c05a9e | zones (none) | sun full-sun | water moderate | tags [purple, pink]
- petunia-purple | "Purple Petunia" | Petunia 'Purple' | Annual | H 0.3m x W 0.4m | 1y | bloom May-Oct #7a3a9e | zones (none) | sun full-sun | water moderate | tags [purple, violet]
- petunia-red | "Red Petunia" | Petunia 'Red' | Annual | H 0.3m x W 0.4m | 1y | bloom May-Oct #c82a32 | zones (none) | sun full-sun | water moderate | tags [red]
- petunia-white | "White Petunia" | Petunia 'White' | Annual | H 0.3m x W 0.4m | 1y | bloom May-Oct #f4f2ea | zones (none) | sun full-sun | water moderate | tags [white]
- petunia-pink | "Pink Petunia" | Petunia 'Pink' | Annual | H 0.3m x W 0.4m | 1y | bloom May-Oct #e87ab0 | zones (none) | sun full-sun | water moderate | tags [pink]
- petunia-burgundy | "Burgundy Petunia" | Petunia 'Burgundy' | Annual | H 0.3m x W 0.4m | 1y | bloom May-Oct #6e2030 | zones (none) | sun full-sun | water moderate | tags [burgundy, red, purple]
- petunia-blue | "Blue Petunia" | Petunia 'Blue' | Annual | H 0.3m x W 0.4m | 1y | bloom May-Oct #5a52a8 | zones (none) | sun full-sun | water moderate | tags [blue, purple, violet]
- petunia-yellow | "Yellow Petunia" | Petunia 'Yellow' | Annual | H 0.3m x W 0.4m | 1y | bloom May-Oct #f4d44a | zones (none) | sun full-sun | water moderate | tags [yellow]
- petunia-coral | "Coral Petunia" | Petunia 'Coral' | Annual | H 0.3m x W 0.4m | 1y | bloom May-Oct #f0744e | zones (none) | sun full-sun | water moderate | tags [coral, orange, salmon]
- petunia-salmon | "Salmon Petunia" | Petunia 'Salmon' | Annual | H 0.3m x W 0.4m | 1y | bloom May-Oct #f08a6a | zones (none) | sun full-sun | water moderate | tags [coral, salmon, peach]
- petunia-supertunia-vista-bubblegum | "Supertunia Vista Bubblegum" | Petunia 'Supertunia Vista Bubblegum' | Annual | H 0.4m x W 0.6m | 1y | bloom May-Oct #ec5a9e | zones (none) | sun full-sun | water moderate | tags [pink, magenta, trailing]
- petunia-night-sky | "Night Sky" | Petunia 'Night Sky' | Annual | H 0.3m x W 0.4m | 1y | bloom May-Oct #4a3a8e | zones (none) | sun full-sun | water moderate | tags [purple, white, bicolor]
- petunia-purple-wave | "Purple Wave" | Petunia 'Purple Wave' | Annual | H 0.2m x W 0.8m | 1y | bloom May-Oct #8a2e8e | zones (none) | sun full-sun | water moderate | tags [purple, magenta, trailing]
- petunia-star | "Star Petunia" | Petunia 'Star' | Annual | H 0.3m x W 0.4m | 1y | bloom May-Oct #d6488e | zones (none) | sun full-sun | water moderate | tags [pink, white, bicolor]
- zinnia | "Zinnia" | Zinnia elegans | Annual | H 0.8m x W 0.3m | 1y | bloom Jun-Oct #e8431f | zones (none) | sun full-sun | water moderate | tags [red, cut flower, pollinator]
- zinnia-orange | "Orange Zinnia" | Zinnia elegans 'Orange' | Annual | H 0.7m x W 0.3m | 1y | bloom Jun-Oct #f0701e | zones (none) | sun full-sun | water moderate | tags [orange, cut flower, pollinator]
- zinnia-yellow | "Yellow Zinnia" | Zinnia elegans 'Yellow' | Annual | H 0.7m x W 0.3m | 1y | bloom Jun-Oct #f4c61e | zones (none) | sun full-sun | water moderate | tags [yellow, cut flower, pollinator]
- zinnia-pink | "Pink Zinnia" | Zinnia elegans 'Pink' | Annual | H 0.7m x W 0.3m | 1y | bloom Jun-Oct #ec6aa0 | zones (none) | sun full-sun | water moderate | tags [pink, cut flower, pollinator]
- zinnia-magenta | "Magenta Zinnia" | Zinnia elegans 'Magenta' | Annual | H 0.8m x W 0.3m | 1y | bloom Jun-Oct #d62e7e | zones (none) | sun full-sun | water moderate | tags [magenta, pink, cut flower, pollinator]
