- zinnia-queen-lime-orange | "Queen Lime Orange" | Zinnia elegans 'Queen Lime Orange' | Annual | H 0.8m x W 0.3m | 1y | bloom Jun-Oct #d49a4a | zones (none) | sun full-sun | water moderate | tags [orange, green, lime, cut flower, pollinator]
- zinnia-profusion-cherry | "Profusion Cherry" | Zinnia 'Profusion Cherry' | Annual | H 0.4m x W 0.4m | 1y | bloom Jun-Oct #d63a5e | zones (none) | sun full-sun | water moderate | tags [pink, red, cut flower, pollinator]
- zinnia-profusion-white | "Profusion White" | Zinnia 'Profusion White' | Annual | H 0.4m x W 0.4m | 1y | bloom Jun-Oct #f2efe6 | zones (none) | sun full-sun | water moderate | tags [white, cut flower, pollinator]
- zinnia-uproar-rose | "Uproar Rose" | Zinnia elegans 'Uproar Rose' | Annual | H 0.9m x W 0.4m | 1y | bloom Jun-Oct #d6357e | zones (none) | sun full-sun | water moderate | tags [magenta, pink, cut flower, pollinator]
- sunflower | "Sunflower" | Helianthus annuus | Annual | H 2m x W 0.5m | 1y | bloom Jul-Sep #f4b400 | zones (none) | sun full-sun | water moderate | tags [yellow, tall, pollinator]
- sunflower-mammoth | "Mammoth" | Helianthus annuus 'Mammoth' | Annual | H 3m x W 0.6m | 1y | bloom Jul-Sep #f4b400 | zones (none) | sun full-sun | water moderate | tags [yellow, gold, tall, pollinator]
- sunflower-autumn-beauty | "Autumn Beauty" | Helianthus annuus 'Autumn Beauty' | Annual | H 1.8m x W 0.5m | 1y | bloom Jul-Sep #e08428 | zones (none) | sun full-sun | water moderate | tags [orange, red, yellow, bronze, pollinator]
- sunflower-teddy-bear | "Teddy Bear" | Helianthus annuus 'Teddy Bear' | Annual | H 0.6m x W 0.4m | 1y | bloom Jul-Sep #f0b020 | zones (none) | sun full-sun | water moderate | tags [yellow, gold, dwarf, pollinator]
- sunflower-velvet-queen | "Velvet Queen" | Helianthus annuus 'Velvet Queen' | Annual | H 1.8m x W 0.5m | 1y | bloom Jul-Sep #9e3a2e | zones (none) | sun full-sun | water moderate | tags [red, burgundy, pollinator]
- sunflower-italian-white | "Italian White" | Helianthus annuus 'Italian White' | Annual | H 1.5m x W 0.5m | 1y | bloom Jul-Sep #f0ead8 | zones (none) | sun full-sun | water moderate | tags [white, cream, pollinator]
- sunflower-lemon-queen | "Lemon Queen" | Helianthus annuus 'Lemon Queen' | Annual | H 1.8m x W 0.6m | 1y | bloom Jul-Sep #f0dc70 | zones (none) | sun full-sun | water moderate | tags [yellow, pollinator]
- sunflower-moulin-rouge | "Moulin Rouge" | Helianthus annuus 'Moulin Rouge' | Annual | H 1.5m x W 0.5m | 1y | bloom Jul-Sep #8a2e2a | zones (none) | sun full-sun | water moderate | tags [red, burgundy, pollinator]
- sunflower-ring-of-fire | "Ring of Fire" | Helianthus annuus 'Ring of Fire' | Annual | H 1.4m x W 0.5m | 1y | bloom Jul-Sep #e06a28 | zones (none) | sun full-sun | water moderate | tags [red, gold, yellow, bicolor, pollinator]
- sunflower-strawberry-blonde | "Strawberry Blonde" | Helianthus annuus 'Strawberry Blonde' | Annual | H 1.5m x W 0.5m | 1y | bloom Jul-Sep #e0907a | zones (none) | sun full-sun | water moderate | tags [pink, rose, yellow, bicolor, pollinator]
- sunflower-soraya | "Soraya" | Helianthus annuus 'Soraya' | Annual | H 1.5m x W 0.5m | 1y | bloom Jul-Sep #f08020 | zones (none) | sun full-sun | water moderate | tags [orange, gold, pollinator]
- sunflower-vanilla-ice | "Vanilla Ice" | Helianthus annuus 'Vanilla Ice' | Annual | H 1.4m x W 0.5m | 1y | bloom Jul-Sep #f0e8c0 | zones (none) | sun full-sun | water moderate | tags [cream, yellow, white, pollinator]
- impatiens | "Impatiens" | Impatiens walleriana | Annual | H 0.3m x W 0.3m | 1y | bloom May-Oct #e05a7e | zones (none) | sun full-shade | water high | tags [pink]
- impatiens-red | "Red Impatiens" | Impatiens walleriana | Annual | H 0.3m x W 0.3m | 1y | bloom May-Oct #d6283a | zones (none) | sun full-shade | water high | tags [red]
- impatiens-white | "White Impatiens" | Impatiens walleriana | Annual | H 0.3m x W 0.3m | 1y | bloom May-Oct #f4f2ea | zones (none) | sun full-shade | water high | tags [white]
- impatiens-violet | "Violet Impatiens" | Impatiens walleriana | Annual | H 0.3m x W 0.3m | 1y | bloom May-Oct #9a4aae | zones (none) | sun full-shade | water high | tags [purple, violet]
- impatiens-salmon | "Salmon Impatiens" | Impatiens walleriana | Annual | H 0.3m x W 0.3m | 1y | bloom May-Oct #f0907a | zones (none) | sun full-shade | water high | tags [coral, salmon]
- impatiens-lavender | "Lavender Impatiens" | Impatiens walleriana | Annual | H 0.3m x W 0.3m | 1y | bloom May-Oct #c89ad0 | zones (none) | sun full-shade | water high | tags [lavender, purple]
- impatiens-rose | "Rose Impatiens" | Impatiens walleriana | Annual | H 0.3m x W 0.3m | 1y | bloom May-Oct #e0588e | zones (none) | sun full-shade | water high | tags [pink, rose]
- impatiens-scarlet | "Scarlet Impatiens" | Impatiens walleriana | Annual | H 0.3m x W 0.3m | 1y | bloom May-Oct #e8442e | zones (none) | sun full-shade | water high | tags [red, orange, scarlet]
- impatiens-new-guinea-red | "New Guinea Red" | Impatiens hawkeri | Annual | H 0.4m x W 0.4m | 1y | bloom May-Oct #d22e32 | zones (none) | sun part-sun | water high | tags [red]
- impatiens-new-guinea-orange | "New Guinea Orange" | Impatiens hawkeri | Annual | H 0.4m x W 0.4m | 1y | bloom May-Oct #f0802a | zones (none) | sun part-sun | water high | tags [orange, coral]
- impatiens-sunpatiens-coral | "SunPatiens Coral" | Impatiens 'SunPatiens' | Annual | H 0.5m x W 0.4m | 1y | bloom May-Oct #f47a5e | zones (none) | sun part-sun | water high | tags [coral, orange]
- impatiens-double-rose | "Double Rose Impatiens" | Impatiens 'Rockapulco Rose' | Annual | H 0.3m x W 0.3m | 1y | bloom May-Oct #d6488e | zones (none) | sun full-shade | water high | tags [pink, rose, magenta]
- begonia | "Begonia" | Begonia | Annual | H 0.3m x W 0.3m | 1y | bloom May-Oct #e0607e | zones (none) | sun part-shade | water moderate | tags [pink]
- begonia-wax-red | "Wax Begonia Red" | Begonia semperflorens | Annual | H 0.3m x W 0.3m | 1y | bloom May-Oct #d6384a | zones (none) | sun part-shade | water moderate | tags [red]
- begonia-wax-white | "Wax Begonia White" | Begonia semperflorens | Annual | H 0.3m x W 0.3m | 1y | bloom May-Oct #f4f2ea | zones (none) | sun part-shade | water moderate | tags [white]
- begonia-wax-pink-bronze | "Wax Begonia Pink" | Begonia semperflorens | Annual | H 0.3m x W 0.3m | 1y | bloom May-Oct #e87aa0 | zones (none) | sun part-shade | water moderate | tags [pink]
- begonia-dragon-wing-red | "Dragon Wing Red" | Begonia 'Dragon Wing Red' | Annual | H 0.5m x W 0.4m | 1y | bloom May-Oct #d22e3a | zones (none) | sun part-shade | water moderate | tags [red]
- begonia-dragon-wing-pink | "Dragon Wing Pink" | Begonia 'Dragon Wing Pink' | Annual | H 0.5m x W 0.4m | 1y | bloom May-Oct #e85a8e | zones (none) | sun part-shade | water moderate | tags [pink]
- begonia-tuberous-yellow | "Tuberous Yellow" | Begonia × tuberhybrida | Annual | H 0.3m x W 0.3m | 1y | bloom Jun-Sep #f4c430 | zones (none) | sun part-shade | water moderate | tags [yellow]
