- ornamental-kale-red | "Nagoya Red Kale" | Brassica oleracea 'Nagoya Red' | Annual | H 0.3m x W 0.4m | 1y | bloom (none) | zones 2-11 | sun full-sun | water moderate | tags [foliage, crimson]
- caladium | "Caladium" | Caladium | Annual | H 0.4m x W 0.4m | 1y | bloom (none) | zones 9-11 | sun part-shade | water high | tags [foliage, colorful]
- caladium-white | "White Christmas Caladium" | Caladium 'White Christmas' | Annual | H 0.4m x W 0.4m | 1y | bloom (none) | zones 9-11 | sun part-shade | water high | tags [foliage, white]
- caladium-pink | "Carolyn Whorton Caladium" | Caladium 'Carolyn Whorton' | Annual | H 0.4m x W 0.4m | 1y | bloom (none) | zones 9-11 | sun part-shade | water high | tags [foliage, pink]
- caladium-red | "Red Flash Caladium" | Caladium 'Red Flash' | Annual | H 0.4m x W 0.4m | 1y | bloom (none) | zones 9-11 | sun part-shade | water high | tags [foliage, red]
- caladium-green | "Green Caladium" | Caladium | Annual | H 0.4m x W 0.4m | 1y | bloom (none) | zones 9-11 | sun part-shade | water high | tags [foliage, green]
- four-oclock | "Four O'Clock" | Mirabilis jalapa | Annual | H 0.8m x W 0.6m | 1y | bloom Jul-Sep #d6406a | zones 9-11 | sun full-sun | water moderate | tags [pink, fragrant]
- four-oclock-yellow | "Yellow Four O'Clock" | Mirabilis jalapa | Annual | H 0.8m x W 0.6m | 1y | bloom Jul-Sep #f2c828 | zones 9-11 | sun full-sun | water moderate | tags [yellow, fragrant]
- four-oclock-white | "White Four O'Clock" | Mirabilis jalapa | Annual | H 0.8m x W 0.6m | 1y | bloom Jul-Sep #f4f2ea | zones 9-11 | sun full-sun | water moderate | tags [white, fragrant]
- four-oclock-red | "Red Four O'Clock" | Mirabilis jalapa | Annual | H 0.8m x W 0.6m | 1y | bloom Jul-Sep #d2384a | zones 9-11 | sun full-sun | water moderate | tags [red, fragrant]
- four-oclock-magenta | "Magenta Four O'Clock" | Mirabilis jalapa | Annual | H 0.8m x W 0.6m | 1y | bloom Jul-Sep #c83a8e | zones 9-11 | sun full-sun | water moderate | tags [magenta, fragrant]
- four-oclock-marbles | "Marbles" | Mirabilis jalapa 'Marbles' | Annual | H 0.8m x W 0.6m | 1y | bloom Jul-Sep #f0902a | zones 9-11 | sun full-sun | water moderate | tags [yellow, red, fragrant]
- tuberous-begonia | "Tuberous Begonia" | Begonia × tuberhybrida | Annual | H 0.3m x W 0.3m | 1y | bloom Jun-Sep #f0507a | zones 9-11 | sun part-shade | water moderate | tags [pink]
- tuberous-begonia-red | "Nonstop Red Begonia" | Begonia × tuberhybrida 'Nonstop Red' | Annual | H 0.3m x W 0.3m | 1y | bloom Jun-Sep #d23541 | zones 9-11 | sun part-shade | water moderate | tags [red]
- tuberous-begonia-orange | "Orange Tuberous Begonia" | Begonia × tuberhybrida | Annual | H 0.3m x W 0.3m | 1y | bloom Jun-Sep #f0822a | zones 9-11 | sun part-shade | water moderate | tags [orange]
- tuberous-begonia-yellow | "Yellow Tuberous Begonia" | Begonia × tuberhybrida | Annual | H 0.3m x W 0.3m | 1y | bloom Jun-Sep #f4cf3c | zones 9-11 | sun part-shade | water moderate | tags [yellow]
- tuberous-begonia-white | "White Tuberous Begonia" | Begonia × tuberhybrida | Annual | H 0.3m x W 0.3m | 1y | bloom Jun-Sep #f6f3ec | zones 9-11 | sun part-shade | water moderate | tags [white]
- tuberous-begonia-apricot | "Apricot Tuberous Begonia" | Begonia × tuberhybrida | Annual | H 0.3m x W 0.3m | 1y | bloom Jun-Sep #f3b074 | zones 9-11 | sun part-shade | water moderate | tags [apricot]
- gerbera | "Gerbera Daisy" | Gerbera jamesonii | Annual | H 0.3m x W 0.3m | 1y | bloom May-Sep #f0641f | zones 8-11 | sun full-sun | water moderate | tags [orange, cut flower]
- gerbera-red | "Red Gerbera" | Gerbera jamesonii | Annual | H 0.3m x W 0.3m | 1y | bloom May-Sep #d6283a | zones 8-11 | sun full-sun | water moderate | tags [red, cut flower]
- gerbera-pink | "Pink Gerbera" | Gerbera jamesonii | Annual | H 0.3m x W 0.3m | 1y | bloom May-Sep #e85a9a | zones 8-11 | sun full-sun | water moderate | tags [pink, cut flower]
- gerbera-yellow | "Yellow Gerbera" | Gerbera jamesonii | Annual | H 0.3m x W 0.3m | 1y | bloom May-Sep #f4c420 | zones 8-11 | sun full-sun | water moderate | tags [yellow, cut flower]
- gerbera-white | "White Gerbera" | Gerbera jamesonii | Annual | H 0.3m x W 0.3m | 1y | bloom May-Sep #f4f2ea | zones 8-11 | sun full-sun | water moderate | tags [white, cut flower]
- gerbera-coral | "Coral Gerbera" | Gerbera jamesonii | Annual | H 0.3m x W 0.3m | 1y | bloom May-Sep #f0746a | zones 8-11 | sun full-sun | water moderate | tags [coral, orange, cut flower]
- gerbera-deep-rose | "Deep Rose Gerbera" | Gerbera jamesonii | Annual | H 0.3m x W 0.3m | 1y | bloom May-Sep #cc3a7e | zones 8-11 | sun full-sun | water moderate | tags [magenta, pink, cut flower]
- marguerite-daisy | "Marguerite Daisy" | Argyranthemum | Annual | H 0.5m x W 0.4m | 1y | bloom May-Sep #fbfbfb | zones 9-11 | sun full-sun | water moderate | tags [white]
- marguerite-daisy-pink | "Pink Marguerite Daisy" | Argyranthemum | Annual | H 0.5m x W 0.4m | 1y | bloom May-Sep #e788b0 | zones 9-11 | sun full-sun | water moderate | tags [pink]
- marguerite-daisy-yellow | "Butterfly Marguerite Daisy" | Argyranthemum 'Butterfly' | Annual | H 0.5m x W 0.4m | 1y | bloom May-Sep #f2cf3c | zones 9-11 | sun full-sun | water moderate | tags [yellow]
- marguerite-daisy-red | "Red Marguerite Daisy" | Argyranthemum | Annual | H 0.5m x W 0.4m | 1y | bloom May-Sep #d8424e | zones 9-11 | sun full-sun | water moderate | tags [red]
- marguerite-daisy-apricot | "Apricot Marguerite Daisy" | Argyranthemum | Annual | H 0.5m x W 0.4m | 1y | bloom May-Sep #f0b074 | zones 9-11 | sun full-sun | water moderate | tags [apricot]
- bidens | "Bidens" | Bidens ferulifolia | Annual | H 0.3m x W 0.4m | 1y | bloom May-Oct #f5c518 | zones 8-11 | sun full-sun | water low | tags [yellow, trailing, pollinator, drought tolerant]
- bidens-white | "Campfire Marshmallow Bidens" | Bidens hybrid 'Campfire Marshmallow' | Annual | H 0.35m x W 0.5m | 1y | bloom May-Oct #f6f3ec | zones 8-11 | sun full-sun | water low | tags [white, trailing, pollinator, drought tolerant]
- bidens-orange | "Painted Orange Bidens" | Bidens ferulifolia 'Beedance Painted Orange' | Annual | H 0.3m x W 0.5m | 1y | bloom May-Oct #f0892a | zones 8-11 | sun full-sun | water low | tags [orange, trailing, pollinator, drought tolerant]
- bidens-red | "Painted Red Bidens" | Bidens ferulifolia 'Beedance Painted Red' | Annual | H 0.3m x W 0.5m | 1y | bloom May-Oct #d8483a | zones 8-11 | sun full-sun | water low | tags [red, trailing, pollinator, drought tolerant]
- bidens-pink | "Pink Bidens" | Bidens hybrid | Annual | H 0.3m x W 0.4m | 1y | bloom May-Oct #e681a6 | zones 8-11 | sun full-sun | water low | tags [pink, trailing, pollinator, drought tolerant]
