- rex-begonia | "Rex Begonia" | Begonia rex | Annual | H 0.3m x W 0.3m | 1y | bloom (none) | zones 10-11 | sun part-shade | water moderate | tags [foliage, colorful]
- rex-begonia-silver | "Escargot Rex Begonia" | Begonia rex 'Escargot' | Annual | H 0.3m x W 0.3m | 1y | bloom (none) | zones 10-11 | sun part-shade | water moderate | tags [foliage, silver]
- rex-begonia-purple | "Fireworks Rex Begonia" | Begonia rex 'Fireworks' | Annual | H 0.3m x W 0.3m | 1y | bloom (none) | zones 10-11 | sun part-shade | water moderate | tags [foliage, purple]
- rex-begonia-burgundy | "Red Kiss Rex Begonia" | Begonia rex 'Red Kiss' | Annual | H 0.3m x W 0.3m | 1y | bloom (none) | zones 10-11 | sun part-shade | water moderate | tags [foliage, burgundy]
- rex-begonia-green | "River Nile Rex Begonia" | Begonia rex 'River Nile' | Annual | H 0.3m x W 0.3m | 1y | bloom (none) | zones 10-11 | sun part-shade | water moderate | tags [foliage, green]
- rex-begonia-pink | "Raspberry Swirl Rex Begonia" | Begonia rex 'Raspberry Swirl' | Annual | H 0.3m x W 0.3m | 1y | bloom (none) | zones 10-11 | sun part-shade | water moderate | tags [foliage, pink]
- fuchsia | "Fuchsia" | Fuchsia | Annual | H 0.5m x W 0.4m | 1y | bloom Jun-Sep #d6407a | zones 9-11 | sun part-shade | water moderate | tags [pink, hanging]
- fuchsia-swingtime | "Swingtime" | Fuchsia 'Swingtime' | Annual | H 0.5m x W 0.5m | 1y | bloom Jun-Sep #d63a4a | zones 9-11 | sun part-shade | water moderate | tags [red, white, hanging]
- fuchsia-dark-eyes | "Dark Eyes" | Fuchsia 'Dark Eyes' | Annual | H 0.5m x W 0.5m | 1y | bloom Jun-Sep #c0304a | zones 9-11 | sun part-shade | water moderate | tags [red, purple, hanging]
- fuchsia-gartenmeister | "Gartenmeister" | Fuchsia 'Gartenmeister Bonstedt' | Annual | H 0.6m x W 0.4m | 1y | bloom Jun-Sep #d6502a | zones 9-11 | sun part-shade | water moderate | tags [orange, red]
- fuchsia-marinka | "Marinka" | Fuchsia 'Marinka' | Annual | H 0.45m x W 0.5m | 1y | bloom Jun-Sep #c82838 | zones 9-11 | sun part-shade | water moderate | tags [red, hanging]
- fuchsia-pink-marshmallow | "Pink Marshmallow" | Fuchsia 'Pink Marshmallow' | Annual | H 0.45m x W 0.5m | 1y | bloom Jun-Sep #f0c0d0 | zones 9-11 | sun part-shade | water moderate | tags [pink, white, hanging]
- fuchsia-purple | "Voodoo Fuchsia" | Fuchsia 'Voodoo' | Annual | H 0.6m x W 0.4m | 1y | bloom Jun-Sep #9a3a8e | zones 9-11 | sun part-shade | water moderate | tags [purple, red]
- pentas | "Pentas" | Pentas lanceolata | Annual | H 0.5m x W 0.4m | 1y | bloom May-Oct #e0407a | zones 10-11 | sun full-sun | water moderate | tags [pink, pollinator, heat]
- pentas-red | "Red Pentas" | Pentas lanceolata | Annual | H 0.5m x W 0.4m | 1y | bloom May-Oct #d23545 | zones 10-11 | sun full-sun | water moderate | tags [red, pollinator, heat]
- pentas-white | "White Pentas" | Pentas lanceolata | Annual | H 0.5m x W 0.4m | 1y | bloom May-Oct #f5f2ec | zones 10-11 | sun full-sun | water moderate | tags [white, pollinator, heat]
- pentas-lavender | "Lavender Pentas" | Pentas lanceolata | Annual | H 0.5m x W 0.4m | 1y | bloom May-Oct #b48fd0 | zones 10-11 | sun full-sun | water moderate | tags [lavender, pollinator, heat]
- pentas-purple | "Violet Pentas" | Pentas lanceolata | Annual | H 0.5m x W 0.4m | 1y | bloom May-Oct #8a4ab0 | zones 10-11 | sun full-sun | water moderate | tags [purple, pollinator, heat]
- pentas-magenta | "Raspberry Pentas" | Pentas lanceolata | Annual | H 0.5m x W 0.4m | 1y | bloom May-Oct #c02d6e | zones 10-11 | sun full-sun | water moderate | tags [magenta, pollinator, heat]
- cuphea | "Cuphea (Cigar Plant)" | Cuphea ignea | Annual | H 0.4m x W 0.4m | 1y | bloom May-Oct #e0533c | zones 9-11 | sun full-sun | water moderate | tags [red, pollinator, heat]
- cuphea-orange | "Vermillionaire Cuphea" | Cuphea hybrid 'Vermillionaire' | Annual | H 0.5m x W 0.5m | 1y | bloom May-Oct #ec7a2a | zones 9-11 | sun full-sun | water moderate | tags [orange, pollinator, heat]
- cuphea-purple | "Mexican Heather" | Cuphea hyssopifolia | Annual | H 0.3m x W 0.4m | 1y | bloom May-Oct #9a6fc4 | zones 8-11 | sun full-sun | water moderate | tags [purple, pollinator, container]
- cuphea-white | "White Mexican Heather" | Cuphea hyssopifolia | Annual | H 0.3m x W 0.4m | 1y | bloom May-Oct #f5f2ec | zones 8-11 | sun full-sun | water moderate | tags [white, pollinator, container]
- cuphea-pink | "Pink Mexican Heather" | Cuphea hyssopifolia | Annual | H 0.3m x W 0.4m | 1y | bloom May-Oct #e489ad | zones 8-11 | sun full-sun | water moderate | tags [pink, pollinator, container]
- cuphea-magenta | "FloriGlory Cuphea" | Cuphea hybrid 'FloriGlory' | Annual | H 0.35m x W 0.4m | 1y | bloom May-Oct #c42d77 | zones 8-11 | sun full-sun | water moderate | tags [magenta, pollinator, heat]
- scaevola | "Fan Flower" | Scaevola aemula | Annual | H 0.2m x W 0.5m | 1y | bloom May-Oct #7f6fc6 | zones 10-11 | sun full-sun | water moderate | tags [purple, trailing, container]
- scaevola-blue | "Blue Fan Flower" | Scaevola aemula | Annual | H 0.2m x W 0.5m | 1y | bloom May-Oct #4f6cc4 | zones 10-11 | sun full-sun | water moderate | tags [blue, trailing, container]
- scaevola-white | "White Fan Flower" | Scaevola aemula | Annual | H 0.2m x W 0.5m | 1y | bloom May-Oct #f5f2ec | zones 10-11 | sun full-sun | water moderate | tags [white, trailing, container]
- scaevola-pink | "Pink Fan Flower" | Scaevola aemula | Annual | H 0.2m x W 0.5m | 1y | bloom May-Oct #e489b0 | zones 10-11 | sun full-sun | water moderate | tags [pink, trailing, container]
- bacopa | "Bacopa" | Chaenostoma cordatum | Annual | H 0.15m x W 0.5m | 1y | bloom May-Oct #fbfbfb | zones 9-11 | sun part-sun | water moderate | tags [white, trailing, container]
- bacopa-blue | "Blue Bacopa" | Chaenostoma cordatum | Annual | H 0.15m x W 0.5m | 1y | bloom May-Oct #7e8fd0 | zones 9-11 | sun part-sun | water moderate | tags [blue, trailing, container]
- bacopa-pink | "Pink Bacopa" | Chaenostoma cordatum | Annual | H 0.15m x W 0.5m | 1y | bloom May-Oct #e89ab8 | zones 9-11 | sun part-sun | water moderate | tags [pink, trailing, container]
- bacopa-lavender | "Lavender Bacopa" | Chaenostoma cordatum | Annual | H 0.15m x W 0.5m | 1y | bloom May-Oct #c3a6db | zones 9-11 | sun part-sun | water moderate | tags [lavender, trailing, container]
