- begonia-tuberous-orange | "Tuberous Orange" | Begonia × tuberhybrida | Annual | H 0.3m x W 0.3m | 1y | bloom Jun-Sep #f0802a | zones (none) | sun part-shade | water moderate | tags [orange]
- begonia-tuberous-red | "Tuberous Red" | Begonia × tuberhybrida | Annual | H 0.3m x W 0.3m | 1y | bloom Jun-Sep #d22e3a | zones (none) | sun part-shade | water moderate | tags [red]
- begonia-nonstop-rose | "Nonstop Rose" | Begonia 'Nonstop Rose' | Annual | H 0.3m x W 0.3m | 1y | bloom Jun-Sep #e0588e | zones (none) | sun part-shade | water moderate | tags [pink, rose]
- begonia-bonfire | "Bonfire" | Begonia boliviensis 'Bonfire' | Annual | H 0.4m x W 0.5m | 1y | bloom Jun-Oct #e8542a | zones (none) | sun part-shade | water moderate | tags [orange, red]
- begonia-tuberous-apricot | "Tuberous Apricot" | Begonia × tuberhybrida | Annual | H 0.3m x W 0.3m | 1y | bloom Jun-Sep #f0a868 | zones (none) | sun part-shade | water moderate | tags [apricot, peach, coral]
- begonia-big-rose | "Big Rose" | Begonia 'Big Rose Bronze Leaf' | Annual | H 0.6m x W 0.5m | 1y | bloom May-Oct #e04a8e | zones (none) | sun part-shade | water moderate | tags [pink, rose]
- geranium-annual | "Geranium (Annual)" | Pelargonium | Annual | H 0.4m x W 0.4m | 1y | bloom May-Oct #d6402e | zones (none) | sun full-sun | water moderate | tags [red]
- geranium-annual-pink | "Pink Geranium" | Pelargonium 'Pink' | Annual | H 0.4m x W 0.4m | 1y | bloom May-Oct #e87aa4 | zones (none) | sun full-sun | water moderate | tags [pink]
- geranium-annual-white | "White Geranium" | Pelargonium 'White' | Annual | H 0.4m x W 0.4m | 1y | bloom May-Oct #f4f2ea | zones (none) | sun full-sun | water moderate | tags [white]
- geranium-annual-salmon | "Salmon Geranium" | Pelargonium 'Salmon' | Annual | H 0.4m x W 0.4m | 1y | bloom May-Oct #f0846a | zones (none) | sun full-sun | water moderate | tags [coral, salmon, peach]
- geranium-annual-coral | "Coral Geranium" | Pelargonium 'Coral' | Annual | H 0.4m x W 0.4m | 1y | bloom May-Oct #f06a52 | zones (none) | sun full-sun | water moderate | tags [coral, orange]
- geranium-annual-purple | "Purple Geranium" | Pelargonium 'Purple' | Annual | H 0.4m x W 0.4m | 1y | bloom May-Oct #9a4a9e | zones (none) | sun full-sun | water moderate | tags [purple, magenta]
- geranium-annual-magenta | "Magenta Geranium" | Pelargonium 'Magenta' | Annual | H 0.4m x W 0.4m | 1y | bloom May-Oct #c83a7e | zones (none) | sun full-sun | water moderate | tags [magenta, pink]
- geranium-annual-burgundy | "Burgundy Geranium" | Pelargonium 'Burgundy' | Annual | H 0.4m x W 0.4m | 1y | bloom May-Oct #7e2030 | zones (none) | sun full-sun | water moderate | tags [burgundy, red]
- geranium-annual-lavender | "Lavender Geranium" | Pelargonium 'Lavender' | Annual | H 0.4m x W 0.4m | 1y | bloom May-Oct #b88ac4 | zones (none) | sun full-sun | water moderate | tags [lavender, purple]
- geranium-annual-bicolor | "Bicolor Geranium" | Pelargonium 'Bicolor' | Annual | H 0.4m x W 0.4m | 1y | bloom May-Oct #e86a9a | zones (none) | sun full-sun | water moderate | tags [pink, white, bicolor]
- geranium-annual-ivy-red | "Ivy Geranium" | Pelargonium peltatum | Annual | H 0.3m x W 0.5m | 1y | bloom May-Oct #d6402e | zones (none) | sun full-sun | water moderate | tags [red, trailing, container]
- snapdragon | "Snapdragon" | Antirrhinum | Annual | H 0.7m x W 0.3m | 1y | bloom May-Sep #e05a8e | zones (none) | sun full-sun | water moderate | tags [pink, cut flower]
- snapdragon-red | "Red Snapdragon" | Antirrhinum 'Red' | Annual | H 0.7m x W 0.3m | 1y | bloom May-Sep #cc2a32 | zones (none) | sun full-sun | water moderate | tags [red, cut flower]
