- cosmos-sea-shells | "Sea Shells" | Cosmos bipinnatus 'Sea Shells' | Annual | H 1m x W 0.4m | 1y | bloom Jun-Oct #e89ab8 | zones (none) | sun full-sun | water low | tags [pink, white, rose, pollinator, cut flower, drought tolerant]
- cosmos-double-click-rose | "Double Click Rose" | Cosmos bipinnatus 'Double Click Rose' | Annual | H 1m x W 0.4m | 1y | bloom Jun-Oct #d6588e | zones (none) | sun full-sun | water low | tags [pink, rose, magenta, pollinator, cut flower, drought tolerant]
- cosmos-bright-lights | "Bright Lights" | Cosmos sulphureus 'Bright Lights' | Annual | H 0.9m x W 0.4m | 1y | bloom Jun-Oct #f0902a | zones (none) | sun full-sun | water low | tags [orange, gold, yellow, pollinator, cut flower, drought tolerant]
- cosmos-cosmic-red | "Cosmic Red" | Cosmos sulphureus 'Cosmic Red' | Annual | H 0.4m x W 0.4m | 1y | bloom Jun-Oct #e0402a | zones (none) | sun full-sun | water low | tags [red, orange, scarlet, pollinator, cut flower, drought tolerant]
- cosmos-cosmic-yellow | "Cosmic Yellow" | Cosmos sulphureus 'Cosmic Yellow' | Annual | H 0.4m x W 0.4m | 1y | bloom Jun-Oct #f4c020 | zones (none) | sun full-sun | water low | tags [yellow, gold, pollinator, cut flower, drought tolerant]
- pansy | "Pansy" | Viola × wittrockiana | Annual | H 0.2m x W 0.2m | 1y | bloom Mar-Jun #6f4fae | zones (none) | sun part-sun | water moderate | tags [purple, cool season]
- pansy-yellow | "Yellow Pansy" | Viola wittrockiana 'Yellow' | Annual | H 0.2m x W 0.2m | 1y | bloom Mar-Jun #f4cc1e | zones (none) | sun part-sun | water moderate | tags [yellow, cool season]
- pansy-blue | "Blue Pansy" | Viola wittrockiana 'Blue' | Annual | H 0.2m x W 0.2m | 1y | bloom Mar-Jun #3a5aa8 | zones (none) | sun part-sun | water moderate | tags [blue, purple, cool season]
- pansy-white | "White Pansy" | Viola wittrockiana 'White' | Annual | H 0.2m x W 0.2m | 1y | bloom Mar-Jun #f4f2ea | zones (none) | sun part-sun | water moderate | tags [white, cool season]
- pansy-orange | "Orange Pansy" | Viola wittrockiana 'Orange' | Annual | H 0.2m x W 0.2m | 1y | bloom Mar-Jun #f0801e | zones (none) | sun part-sun | water moderate | tags [orange, cool season]
- pansy-red | "Red Pansy" | Viola wittrockiana 'Red' | Annual | H 0.2m x W 0.2m | 1y | bloom Mar-Jun #9e2838 | zones (none) | sun part-sun | water moderate | tags [red, burgundy, cool season]
- pansy-purple-face | "Purple Face Pansy" | Viola wittrockiana 'Purple Face' | Annual | H 0.2m x W 0.2m | 1y | bloom Mar-Jun #6a3a9e | zones (none) | sun part-sun | water moderate | tags [purple, bicolor, cool season]
- pansy-yellow-blotch | "Yellow Blotch Pansy" | Viola wittrockiana 'Yellow Blotch' | Annual | H 0.2m x W 0.2m | 1y | bloom Mar-Jun #f0c41e | zones (none) | sun part-sun | water moderate | tags [yellow, bicolor, cool season]
- pansy-rose | "Rose Pansy" | Viola wittrockiana 'Rose' | Annual | H 0.2m x W 0.2m | 1y | bloom Mar-Jun #d6608e | zones (none) | sun part-sun | water moderate | tags [pink, rose, cool season]
- pansy-black | "Black Pansy" | Viola wittrockiana 'Clear Crystals Black' | Annual | H 0.2m x W 0.2m | 1y | bloom Mar-Jun #2a2230 | zones (none) | sun part-sun | water moderate | tags [black, purple, cool season]
- pansy-viola-sorbet | "Sorbet Viola" | Viola cornuta 'Sorbet' | Annual | H 0.15m x W 0.2m | 1y | bloom Mar-Jun #6a4aae | zones (none) | sun part-sun | water moderate | tags [purple, viola, cool season]
- pansy-viola-yellow | "Yellow Viola" | Viola cornuta 'Yellow' | Annual | H 0.15m x W 0.2m | 1y | bloom Mar-Jun #f4cc2a | zones (none) | sun part-sun | water moderate | tags [yellow, viola, cool season]
- sweet-alyssum | "Sweet Alyssum" | Lobularia maritima | Annual | H 0.12m x W 0.3m | 1y | bloom May-Oct #fbfbfb | zones (none) | sun full-sun | water moderate | tags [white, fragrant, groundcover]
- sweet-alyssum-royal-carpet | "Royal Carpet" | Lobularia maritima 'Royal Carpet' | Annual | H 0.1m x W 0.3m | 1y | bloom May-Oct #7a4aae | zones (none) | sun full-sun | water moderate | tags [purple, fragrant, groundcover]
- sweet-alyssum-rosie-oday | "Rosie O'Day" | Lobularia maritima 'Rosie O'Day' | Annual | H 0.1m x W 0.3m | 1y | bloom May-Oct #e0689e | zones (none) | sun full-sun | water moderate | tags [pink, rose, fragrant, groundcover]
- sweet-alyssum-snow-princess | "Snow Princess" | Lobularia 'Snow Princess' | Annual | H 0.15m x W 0.5m | 1y | bloom May-Oct #f8f6ee | zones (none) | sun full-sun | water moderate | tags [white, fragrant, groundcover]
- sweet-alyssum-lavender | "Lavender Stream" | Lobularia 'Lavender Stream' | Annual | H 0.12m x W 0.4m | 1y | bloom May-Oct #b89ad0 | zones (none) | sun full-sun | water moderate | tags [lavender, purple, fragrant, groundcover]
- sweet-alyssum-apricot | "Apricot Sweet Alyssum" | Lobularia 'Apricot' | Annual | H 0.12m x W 0.4m | 1y | bloom May-Oct #f0c090 | zones (none) | sun full-sun | water moderate | tags [apricot, peach, fragrant, groundcover]
- nasturtium | "Nasturtium" | Tropaeolum | Annual | H 0.3m x W 0.5m | 1y | bloom Jun-Sep #e86a1f | zones (none) | sun full-sun | water low | tags [orange, edible, drought tolerant]
- nasturtium-empress-of-india | "Empress of India" | Tropaeolum majus 'Empress of India' | Annual | H 0.3m x W 0.4m | 1y | bloom Jun-Sep #c8283a | zones (none) | sun full-sun | water low | tags [red, edible, drought tolerant]
- nasturtium-yellow | "Yellow Nasturtium" | Tropaeolum majus | Annual | H 0.3m x W 0.5m | 1y | bloom Jun-Sep #f4c420 | zones (none) | sun full-sun | water low | tags [yellow, edible, drought tolerant]
- nasturtium-cream | "Cream Nasturtium" | Tropaeolum majus 'Milkmaid' | Annual | H 0.3m x W 0.5m | 1y | bloom Jun-Sep #f0e8c8 | zones (none) | sun full-sun | water low | tags [cream, yellow, edible, drought tolerant]
- nasturtium-mahogany | "Mahogany Nasturtium" | Tropaeolum majus 'Mahogany' | Annual | H 0.3m x W 0.5m | 1y | bloom Jun-Sep #9a2e2a | zones (none) | sun full-sun | water low | tags [red, burgundy, edible, drought tolerant]
- nasturtium-peach | "Peach Melba" | Tropaeolum majus 'Peach Melba' | Annual | H 0.3m x W 0.5m | 1y | bloom Jun-Sep #f0c090 | zones (none) | sun full-sun | water low | tags [peach, cream, apricot, edible, drought tolerant]
- nasturtium-salmon | "Salmon Nasturtium" | Tropaeolum majus | Annual | H 0.3m x W 0.5m | 1y | bloom Jun-Sep #f0805a | zones (none) | sun full-sun | water low | tags [coral, orange, edible, drought tolerant]
- celosia | "Celosia" | Celosia | Annual | H 0.5m x W 0.3m | 1y | bloom Jun-Sep #d6202e | zones (none) | sun full-sun | water moderate | tags [red]
- celosia-fresh-look-red | "Fresh Look Red" | Celosia plumosa 'Fresh Look Red' | Annual | H 0.5m x W 0.3m | 1y | bloom Jun-Sep #d6283a | zones (none) | sun full-sun | water moderate | tags [red]
- celosia-fresh-look-yellow | "Fresh Look Yellow" | Celosia plumosa 'Fresh Look Yellow' | Annual | H 0.5m x W 0.3m | 1y | bloom Jun-Sep #f0c020 | zones (none) | sun full-sun | water moderate | tags [yellow, gold]
- celosia-fresh-look-orange | "Fresh Look Orange" | Celosia plumosa 'Fresh Look Orange' | Annual | H 0.5m x W 0.3m | 1y | bloom Jun-Sep #f0802a | zones (none) | sun full-sun | water moderate | tags [orange]
- celosia-dragons-breath | "Dragon's Breath" | Celosia 'Dragon's Breath' | Annual | H 0.6m x W 0.4m | 1y | bloom Jun-Oct #cc2832 | zones (none) | sun full-sun | water moderate | tags [red, scarlet]
