- celosia-century-pink | "Century Pink" | Celosia plumosa 'Century Pink' | Annual | H 0.6m x W 0.3m | 1y | bloom Jun-Sep #e05a9e | zones (none) | sun full-sun | water moderate | tags [pink, magenta]
- celosia-intenz-purple | "Intenz Purple" | Celosia spicata 'Intenz' | Annual | H 0.5m x W 0.3m | 1y | bloom Jun-Oct #a83a8e | zones (none) | sun full-sun | water moderate | tags [purple, magenta]
- celosia-flamingo-feather | "Flamingo Feather" | Celosia spicata 'Flamingo Feather' | Annual | H 0.7m x W 0.3m | 1y | bloom Jun-Sep #e89ab8 | zones (none) | sun full-sun | water moderate | tags [pink]
- celosia-cockscomb-red | "Cockscomb Red" | Celosia cristata 'Cockscomb Red' | Annual | H 0.5m x W 0.3m | 1y | bloom Jun-Sep #cc222e | zones (none) | sun full-sun | water moderate | tags [red, crimson]
- celosia-cockscomb-yellow | "Cockscomb Yellow" | Celosia cristata 'Cockscomb Yellow' | Annual | H 0.5m x W 0.3m | 1y | bloom Jun-Sep #f0c020 | zones (none) | sun full-sun | water moderate | tags [yellow, gold]
- celosia-bombay-orange | "Bombay Orange" | Celosia cristata 'Bombay Orange' | Annual | H 0.6m x W 0.4m | 1y | bloom Jun-Sep #f0802a | zones (none) | sun full-sun | water moderate | tags [orange]
- celosia-cockscomb-magenta | "Cockscomb Magenta" | Celosia cristata 'Cockscomb Magenta' | Annual | H 0.5m x W 0.3m | 1y | bloom Jun-Sep #cc2e7e | zones (none) | sun full-sun | water moderate | tags [magenta, pink]
- salvia-annual | "Salvia (Annual)" | Salvia splendens | Annual | H 0.5m x W 0.4m | 1y | bloom Jun-Oct #d6202e | zones (none) | sun full-sun | water moderate | tags [red, pollinator]
- vinca | "Vinca" | Catharanthus roseus | Annual | H 0.3m x W 0.3m | 1y | bloom Jun-Oct #e05a8e | zones (none) | sun full-sun | water low | tags [pink, drought tolerant]
- vinca-white | "White Vinca" | Catharanthus roseus | Annual | H 0.3m x W 0.3m | 1y | bloom Jun-Oct #f4f2ea | zones (none) | sun full-sun | water low | tags [white, drought tolerant]
- vinca-red | "Red Vinca" | Catharanthus roseus | Annual | H 0.3m x W 0.3m | 1y | bloom Jun-Oct #d6384a | zones (none) | sun full-sun | water low | tags [red, drought tolerant]
- vinca-purple | "Purple Vinca" | Catharanthus roseus | Annual | H 0.3m x W 0.3m | 1y | bloom Jun-Oct #8a4aae | zones (none) | sun full-sun | water low | tags [purple, drought tolerant]
- vinca-apricot | "Apricot Vinca" | Catharanthus roseus | Annual | H 0.3m x W 0.3m | 1y | bloom Jun-Oct #f0a868 | zones (none) | sun full-sun | water low | tags [apricot, peach, coral, drought tolerant]
- vinca-rose | "Rose Vinca" | Catharanthus roseus | Annual | H 0.3m x W 0.3m | 1y | bloom Jun-Oct #d6488e | zones (none) | sun full-sun | water low | tags [pink, rose, magenta, drought tolerant]
- vinca-coral | "Coral Vinca" | Catharanthus roseus | Annual | H 0.3m x W 0.3m | 1y | bloom Jun-Oct #f0746a | zones (none) | sun full-sun | water low | tags [coral, orange, drought tolerant]
- calendula | "Calendula" | Calendula | Annual | H 0.5m x W 0.4m | 1y | bloom May-Oct #f4a000 | zones (none) | sun full-sun | water moderate | tags [orange, edible]
- calendula-yellow | "Yellow Calendula" | Calendula officinalis | Annual | H 0.5m x W 0.4m | 1y | bloom May-Oct #f4c81e | zones (none) | sun full-sun | water moderate | tags [yellow, edible]
- calendula-apricot | "Apricot Calendula" | Calendula officinalis | Annual | H 0.5m x W 0.4m | 1y | bloom May-Oct #f0b070 | zones (none) | sun full-sun | water moderate | tags [apricot, peach, edible]
- calendula-cream | "Ivory Princess" | Calendula officinalis | Annual | H 0.5m x W 0.4m | 1y | bloom May-Oct #f0e8c8 | zones (none) | sun full-sun | water moderate | tags [cream, yellow, edible]
- calendula-gold | "Indian Prince" | Calendula officinalis | Annual | H 0.6m x W 0.4m | 1y | bloom May-Oct #e08020 | zones (none) | sun full-sun | water moderate | tags [orange, gold, edible]
- lobelia | "Lobelia" | Lobelia erinus | Annual | H 0.2m x W 0.25m | 1y | bloom May-Sep #3f51b5 | zones (none) | sun part-sun | water moderate | tags [blue]
- lobelia-crystal-palace | "Crystal Palace" | Lobelia erinus 'Crystal Palace' | Annual | H 0.15m x W 0.2m | 1y | bloom May-Sep #2a3a9e | zones (none) | sun part-sun | water moderate | tags [blue, purple]
- lobelia-white | "White Lobelia" | Lobelia erinus | Annual | H 0.2m x W 0.25m | 1y | bloom May-Sep #f4f2ea | zones (none) | sun part-sun | water moderate | tags [white]
- lobelia-rose | "Rose Lobelia" | Lobelia erinus | Annual | H 0.2m x W 0.25m | 1y | bloom May-Sep #e0689e | zones (none) | sun part-sun | water moderate | tags [pink, rose]
- lobelia-lilac | "Lilac Lobelia" | Lobelia erinus | Annual | H 0.2m x W 0.25m | 1y | bloom May-Sep #a87ac0 | zones (none) | sun part-sun | water moderate | tags [lavender, lilac, purple]
- lobelia-sky-blue | "Sky Blue Lobelia" | Lobelia erinus | Annual | H 0.2m x W 0.25m | 1y | bloom May-Sep #6a8ad6 | zones (none) | sun part-sun | water moderate | tags [blue]
