- coleus-kong-rose | "Kong Rose" | Coleus 'Kong Rose' | Annual | H 0.6m x W 0.5m | 1y | bloom (none) | zones 10-11 | sun full-shade | water moderate | tags [foliage, pink, rose, green, colorful]
- coleus-wizard-velvet | "Wizard Velvet Red" | Coleus 'Wizard Velvet Red' | Annual | H 0.4m x W 0.3m | 1y | bloom (none) | zones 10-11 | sun part-shade | water moderate | tags [foliage, red, burgundy, gold, colorful]
- coleus-lime-time | "Lime Time" | Coleus 'ColorBlaze Lime Time' | Annual | H 0.6m x W 0.5m | 1y | bloom (none) | zones 10-11 | sun part-shade | water moderate | tags [foliage, green, gold, colorful, lime]
- coleus-watermelon | "Watermelon" | Coleus 'Versa Watermelon' | Annual | H 0.5m x W 0.4m | 1y | bloom (none) | zones 10-11 | sun part-shade | water moderate | tags [foliage, pink, red, green, colorful]
- lantana | "Lantana" | Lantana camara | Annual | H 0.5m x W 0.6m | 1y | bloom Jun-Oct #f08a2c | zones 9-11 | sun full-sun | water low | tags [orange, pollinator, heat, drought tolerant]
- lantana-miss-huff | "Miss Huff" | Lantana camara 'Miss Huff' | Annual | H 0.6m x W 0.7m | 1y | bloom Jun-Oct #f0802c | zones 7-11 | sun full-sun | water low | tags [orange, yellow, pink, heat, pollinator, drought tolerant]
- lantana-new-gold | "New Gold" | Lantana camara 'New Gold' | Annual | H 0.5m x W 0.8m | 1y | bloom Jun-Oct #f4c020 | zones 9-11 | sun full-sun | water low | tags [yellow, gold, heat, pollinator, drought tolerant]
- lantana-dallas-red | "Dallas Red" | Lantana camara 'Dallas Red' | Annual | H 0.6m x W 0.7m | 1y | bloom Jun-Oct #e0482a | zones 9-11 | sun full-sun | water low | tags [red, orange, yellow, heat, pollinator, drought tolerant]
- lantana-radiation | "Radiation" | Lantana camara 'Radiation' | Annual | H 0.7m x W 0.8m | 1y | bloom Jun-Oct #e85a2a | zones 9-11 | sun full-sun | water low | tags [orange, red, yellow, heat, pollinator, drought tolerant]
- lantana-bandana-cherry | "Bandana Cherry" | Lantana 'Bandana Cherry' | Annual | H 0.5m x W 0.6m | 1y | bloom Jun-Oct #d63a5e | zones 9-11 | sun full-sun | water low | tags [red, pink, heat, pollinator, drought tolerant]
- lantana-bandana-rose | "Bandana Rose" | Lantana 'Bandana Rose' | Annual | H 0.5m x W 0.6m | 1y | bloom Jun-Oct #e06a9e | zones 9-11 | sun full-sun | water low | tags [pink, rose, yellow, heat, pollinator, drought tolerant]
- lantana-luscious-citrus | "Luscious Citrus" | Lantana 'Luscious Citrus Blend' | Annual | H 0.6m x W 0.7m | 1y | bloom Jun-Oct #f0902a | zones 9-11 | sun full-sun | water low | tags [orange, yellow, red, heat, pollinator, drought tolerant]
- lantana-confetti | "Confetti" | Lantana camara 'Confetti' | Annual | H 0.6m x W 0.7m | 1y | bloom Jun-Oct #e88a6a | zones 9-11 | sun full-sun | water low | tags [pink, yellow, purple, heat, pollinator, drought tolerant]
- lantana-lucky-white | "Lucky White" | Lantana camara 'Lucky White' | Annual | H 0.4m x W 0.5m | 1y | bloom Jun-Oct #f0ece0 | zones 9-11 | sun full-sun | water low | tags [white, cream, heat, pollinator, drought tolerant]
- lantana-purple-trailing | "Purple Trailing" | Lantana montevidensis | Annual | H 0.3m x W 0.8m | 1y | bloom Jun-Oct #9a6fc0 | zones 9-11 | sun full-sun | water low | tags [purple, lavender, trailing, heat, pollinator, drought tolerant]
- lantana-bandana-pink | "Bandana Pink" | Lantana 'Bandana Pink' | Annual | H 0.5m x W 0.6m | 1y | bloom Jun-Oct #e89ab0 | zones 9-11 | sun full-sun | water low | tags [pink, yellow, heat, pollinator, drought tolerant]
- verbena-annual | "Verbena" | Verbena | Annual | H 0.25m x W 0.5m | 1y | bloom May-Oct #a05fb0 | zones 9-11 | sun full-sun | water moderate | tags [purple, trailing]
- verbena-annual-red | "Red Verbena" | Verbena × hybrida | Annual | H 0.25m x W 0.5m | 1y | bloom May-Oct #d6384a | zones 9-11 | sun full-sun | water moderate | tags [red, trailing]
- verbena-annual-pink | "Pink Verbena" | Verbena × hybrida | Annual | H 0.25m x W 0.5m | 1y | bloom May-Oct #e85a9a | zones 9-11 | sun full-sun | water moderate | tags [pink, trailing]
- verbena-annual-white | "White Verbena" | Verbena × hybrida | Annual | H 0.25m x W 0.5m | 1y | bloom May-Oct #f4f2ea | zones 9-11 | sun full-sun | water moderate | tags [white, trailing]
