- ageratum | "Ageratum" | Ageratum houstonianum | Annual | H 0.3m x W 0.3m | 1y | bloom Jun-Oct #8f9fd6 | zones 10-11 | sun full-sun | water moderate | tags [blue, edging]
- ageratum-blue-dark | "Blue Horizon" | Ageratum houstonianum 'Blue Horizon' | Annual | H 0.6m x W 0.3m | 1y | bloom Jun-Oct #5a6fc8 | zones 10-11 | sun full-sun | water moderate | tags [blue, cut flower]
- ageratum-white | "White Ageratum" | Ageratum houstonianum | Annual | H 0.3m x W 0.3m | 1y | bloom Jun-Oct #f4f2ea | zones 10-11 | sun full-sun | water moderate | tags [white, edging]
- ageratum-pink | "Pink Ageratum" | Ageratum houstonianum | Annual | H 0.3m x W 0.3m | 1y | bloom Jun-Oct #e8a0c0 | zones 10-11 | sun full-sun | water moderate | tags [pink, edging]
- ageratum-purple | "Purple Ageratum" | Ageratum houstonianum | Annual | H 0.3m x W 0.3m | 1y | bloom Jun-Oct #7a6fc0 | zones 10-11 | sun full-sun | water moderate | tags [purple, edging]
- cleome | "Cleome" | Cleome hassleriana | Annual | H 1.2m x W 0.5m | 1y | bloom Jun-Sep #d77faa | zones 10-11 | sun full-sun | water moderate | tags [pink, spider flower]
- cleome-white | "White Queen" | Cleome hassleriana 'White Queen' | Annual | H 1.2m x W 0.5m | 1y | bloom Jun-Sep #f4f2ea | zones 10-11 | sun full-sun | water moderate | tags [white, spider flower]
- cleome-purple | "Violet Queen" | Cleome hassleriana 'Violet Queen' | Annual | H 1.2m x W 0.5m | 1y | bloom Jun-Sep #8a5aae | zones 10-11 | sun full-sun | water moderate | tags [purple, spider flower]
- cleome-rose | "Rose Queen" | Cleome hassleriana 'Rose Queen' | Annual | H 1.2m x W 0.5m | 1y | bloom Jun-Sep #d0588e | zones 10-11 | sun full-sun | water moderate | tags [pink, rose, spider flower]
- cleome-cherry | "Cherry Queen" | Cleome hassleriana 'Cherry Queen' | Annual | H 1.2m x W 0.5m | 1y | bloom Jun-Sep #c83a5a | zones 10-11 | sun full-sun | water moderate | tags [red, pink, spider flower]
- dusty-miller | "Dusty Miller" | Jacobaea maritima | Annual | H 0.35m x W 0.3m | 1y | bloom (none) | zones 8-11 | sun full-sun | water low | tags [silver, foliage, edging, drought tolerant]
- portulaca | "Portulaca" | Portulaca grandiflora | Annual | H 0.15m x W 0.3m | 1y | bloom Jun-Sep #f0703c | zones 10-11 | sun full-sun | water low | tags [orange, succulent, heat, groundcover, drought tolerant]
- portulaca-red | "Red Portulaca" | Portulaca grandiflora | Annual | H 0.15m x W 0.3m | 1y | bloom Jun-Sep #d6384a | zones 10-11 | sun full-sun | water low | tags [red, succulent, heat, groundcover, drought tolerant]
