- calibrachoa | "Calibrachoa" | Calibrachoa | Annual | H 0.2m x W 0.4m | 1y | bloom May-Oct #f0703c | zones 9-11 | sun full-sun | water moderate | tags [orange, trailing, container]
- calibrachoa-red | "Superbells Red" | Calibrachoa 'Superbells Red' | Annual | H 0.2m x W 0.4m | 1y | bloom May-Oct #d6283a | zones 9-11 | sun full-sun | water moderate | tags [red, trailing, container]
- calibrachoa-yellow | "Superbells Yellow" | Calibrachoa 'Superbells Yellow' | Annual | H 0.2m x W 0.4m | 1y | bloom May-Oct #f4c420 | zones 9-11 | sun full-sun | water moderate | tags [yellow, trailing, container]
- calibrachoa-white | "Superbells White" | Calibrachoa 'Superbells White' | Annual | H 0.2m x W 0.4m | 1y | bloom May-Oct #f4f2ea | zones 9-11 | sun full-sun | water moderate | tags [white, trailing, container]
- calibrachoa-blue | "Superbells Blue" | Calibrachoa 'Superbells Blue' | Annual | H 0.2m x W 0.4m | 1y | bloom May-Oct #6a5ac0 | zones 9-11 | sun full-sun | water moderate | tags [purple, blue, trailing, container]
- calibrachoa-pink | "Superbells Pink" | Calibrachoa 'Superbells Pink' | Annual | H 0.2m x W 0.4m | 1y | bloom May-Oct #e85a9a | zones 9-11 | sun full-sun | water moderate | tags [pink, trailing, container]
- calibrachoa-coral | "Superbells Coralina" | Calibrachoa 'Superbells Coralina' | Annual | H 0.2m x W 0.4m | 1y | bloom May-Oct #f0746a | zones 9-11 | sun full-sun | water moderate | tags [coral, orange, trailing, container]
- calibrachoa-magenta | "Superbells Blackcurrant Punch" | Calibrachoa 'Superbells Blackcurrant Punch' | Annual | H 0.2m x W 0.4m | 1y | bloom May-Oct #b0287a | zones 9-11 | sun full-sun | water moderate | tags [magenta, purple, trailing, container]
- calibrachoa-lemon-slice | "Superbells Lemon Slice" | Calibrachoa 'Superbells Lemon Slice' | Annual | H 0.2m x W 0.4m | 1y | bloom May-Oct #f0dc6a | zones 9-11 | sun full-sun | water moderate | tags [yellow, white, bicolor, trailing, container]
- calibrachoa-cherry-star | "Superbells Cherry Star" | Calibrachoa 'Superbells Cherry Star' | Annual | H 0.2m x W 0.4m | 1y | bloom May-Oct #e0608e | zones 9-11 | sun full-sun | water moderate | tags [pink, yellow, bicolor, trailing, container]
- calibrachoa-grape | "Superbells Grape Punch" | Calibrachoa 'Superbells Grape Punch' | Annual | H 0.2m x W 0.4m | 1y | bloom May-Oct #7a3a9e | zones 9-11 | sun full-sun | water moderate | tags [purple, magenta, trailing, container]
