- california-poppy-cream | "Ivory Castle" | Eschscholzia californica 'Ivory Castle' | Annual | H 0.3m x W 0.2m | 1y | bloom May-Aug #f0e8d0 | zones 6-10 | sun full-sun | water low | tags [cream, white, native, drought tolerant]
- california-poppy-purple | "Purple Gleam" | Eschscholzia californica 'Purple Gleam' | Annual | H 0.3m x W 0.2m | 1y | bloom May-Aug #a87ac0 | zones 6-10 | sun full-sun | water low | tags [purple, native, drought, drought tolerant]
- sweet-pea | "Sweet Pea" | Lathyrus odoratus | Annual | H 1.8m x W 0.4m | 1y | bloom May-Jul #e890b0 | zones 2-11 | sun full-sun | water moderate | tags [pink, fragrant, vine]
- sweet-pea-purple | "Cupani" | Lathyrus odoratus 'Cupani' | Annual | H 1.8m x W 0.4m | 1y | bloom May-Jul #6a4a9e | zones 2-11 | sun full-sun | water moderate | tags [purple, fragrant, vine]
- sweet-pea-red | "Royal Crimson Sweet Pea" | Lathyrus odoratus | Annual | H 1.8m x W 0.4m | 1y | bloom May-Jul #c0282e | zones 2-11 | sun full-sun | water moderate | tags [red, fragrant, vine]
- sweet-pea-white | "Royal White Sweet Pea" | Lathyrus odoratus | Annual | H 1.8m x W 0.4m | 1y | bloom May-Jul #f4f1ea | zones 2-11 | sun full-sun | water moderate | tags [white, fragrant, vine]
- sweet-pea-blue | "Royal Blue Sweet Pea" | Lathyrus odoratus | Annual | H 1.8m x W 0.4m | 1y | bloom May-Jul #6f7fc4 | zones 2-11 | sun full-sun | water moderate | tags [blue, fragrant, vine]
- sweet-pea-lavender | "Lavender Sweet Pea" | Lathyrus odoratus | Annual | H 1.8m x W 0.4m | 1y | bloom May-Jul #b8a6d8 | zones 2-11 | sun full-sun | water moderate | tags [lavender, fragrant, vine]
- torenia | "Wishbone Flower" | Torenia fournieri | Annual | H 0.25m x W 0.3m | 1y | bloom Jun-Sep #7f6fc6 | zones 10-11 | sun part-shade | water moderate | tags [purple]
- torenia-blue | "Catalina Midnight Blue" | Torenia fournieri 'Catalina Midnight Blue' | Annual | H 0.25m x W 0.3m | 1y | bloom Jun-Sep #3f56b0 | zones 10-11 | sun part-shade | water moderate | tags [blue]
- torenia-pink | "Pink Wishbone Flower" | Torenia fournieri | Annual | H 0.25m x W 0.3m | 1y | bloom Jun-Sep #e681a8 | zones 10-11 | sun part-shade | water moderate | tags [pink]
- torenia-white | "White Wishbone Flower" | Torenia fournieri | Annual | H 0.25m x W 0.3m | 1y | bloom Jun-Sep #f5f2ec | zones 10-11 | sun part-shade | water moderate | tags [white]
- torenia-yellow | "Yellow Wishbone Flower" | Torenia fournieri | Annual | H 0.25m x W 0.3m | 1y | bloom Jun-Sep #f2cf3c | zones 10-11 | sun part-shade | water moderate | tags [yellow]
- torenia-magenta | "Kauai Rose" | Torenia fournieri 'Kauai Rose' | Annual | H 0.25m x W 0.3m | 1y | bloom Jun-Sep #c43a86 | zones 10-11 | sun part-shade | water moderate | tags [magenta]
- browallia | "Browallia" | Browallia speciosa | Annual | H 0.35m x W 0.3m | 1y | bloom Jun-Sep #5f6fc0 | zones 10-11 | sun part-shade | water moderate | tags [blue]
- browallia-white | "White Browallia" | Browallia speciosa | Annual | H 0.35m x W 0.3m | 1y | bloom Jun-Sep #f5f2ec | zones 10-11 | sun part-shade | water moderate | tags [white]
- browallia-purple | "Purple Browallia" | Browallia speciosa | Annual | H 0.35m x W 0.3m | 1y | bloom Jun-Sep #7a52b4 | zones 10-11 | sun part-shade | water moderate | tags [purple]
- annual-phlox | "Annual Phlox" | Phlox drummondii | Annual | H 0.3m x W 0.3m | 1y | bloom May-Sep #e0507a | zones 2-11 | sun full-sun | water moderate | tags [pink]
- annual-phlox-red | "Red Annual Phlox" | Phlox drummondii | Annual | H 0.3m x W 0.3m | 1y | bloom May-Sep #d23341 | zones 2-11 | sun full-sun | water moderate | tags [red]
- annual-phlox-white | "White Annual Phlox" | Phlox drummondii | Annual | H 0.3m x W 0.3m | 1y | bloom May-Sep #f5f2ec | zones 2-11 | sun full-sun | water moderate | tags [white]
- annual-phlox-lavender | "Lavender Annual Phlox" | Phlox drummondii | Annual | H 0.3m x W 0.3m | 1y | bloom May-Sep #b896d4 | zones 2-11 | sun full-sun | water moderate | tags [lavender]
- annual-phlox-purple | "Purple Annual Phlox" | Phlox drummondii | Annual | H 0.3m x W 0.3m | 1y | bloom May-Sep #8a4ab0 | zones 2-11 | sun full-sun | water moderate | tags [purple]
- annual-phlox-peach | "Peach Annual Phlox" | Phlox drummondii | Annual | H 0.3m x W 0.3m | 1y | bloom May-Sep #f0a878 | zones 2-11 | sun full-sun | water moderate | tags [peach]
- lisianthus | "Lisianthus" | Eustoma | Annual | H 0.5m x W 0.3m | 1y | bloom Jun-Sep #7f5fb0 | zones 8-11 | sun full-sun | water moderate | tags [purple, cut flower, elegant]
- lisianthus-white | "White Lisianthus" | Eustoma grandiflorum | Annual | H 0.5m x W 0.3m | 1y | bloom Jun-Sep #f4f2ea | zones 8-11 | sun full-sun | water moderate | tags [white, cut flower, elegant]
- lisianthus-pink | "Pink Lisianthus" | Eustoma grandiflorum | Annual | H 0.5m x W 0.3m | 1y | bloom Jun-Sep #e88ab0 | zones 8-11 | sun full-sun | water moderate | tags [pink, cut flower, elegant]
- lisianthus-blue | "Blue Lisianthus" | Eustoma grandiflorum | Annual | H 0.5m x W 0.3m | 1y | bloom Jun-Sep #6a6fc6 | zones 8-11 | sun full-sun | water moderate | tags [blue, purple, cut flower, elegant]
