- allium-christophii | "Star of Persia" | Allium cristophii | Bulb | H 0.5m x W 0.25m | 1y | bloom May-Jun #b88ac8 | zones 4-8 | sun full-sun | water low | tags [purple, lavender, architectural, drought tolerant]
- allium-millenium | "Millenium" | Allium 'Millenium' | Bulb | H 0.45m x W 0.3m | 2y | bloom Jul-Aug #a04f9e | zones 4-9 | sun full-sun | water low | tags [purple, pink, pollinator, drought tolerant]
- allium-moly | "Golden Garlic" | Allium moly | Bulb | H 0.25m x W 0.1m | 1y | bloom May-Jun #f2c81e | zones 3-9 | sun full-sun | water low | tags [yellow, drought tolerant]
- lily-asiatic | "Asiatic Lily" | Lilium | Bulb | H 1m x W 0.3m | 2y | bloom Jun-Jul #e8643c | zones 3-8 | sun full-sun | water moderate | tags [orange]
- gladiolus | "Gladiolus" | Gladiolus | Bulb | H 1.2m x W 0.2m | 1y | bloom Jul-Aug #e0457b | zones 7-10 | sun full-sun | water moderate | tags [pink, cut flower]
- gladiolus-red | "Red Gladiolus" | Gladiolus | Bulb | H 1.2m x W 0.2m | 1y | bloom Jul-Aug #d6283a | zones 7-10 | sun full-sun | water moderate | tags [red, cut flower]
- gladiolus-white | "White Prosperity" | Gladiolus 'White Prosperity' | Bulb | H 1.2m x W 0.2m | 1y | bloom Jul-Aug #f4f2ea | zones 7-10 | sun full-sun | water moderate | tags [white, cut flower]
- gladiolus-purple | "Purple Magic" | Gladiolus 'Purple Magic' | Bulb | H 1.2m x W 0.2m | 1y | bloom Jul-Aug #7a3a9e | zones 7-10 | sun full-sun | water moderate | tags [purple, violet, cut flower]
- gladiolus-yellow | "Yellow Gladiolus" | Gladiolus | Bulb | H 1.2m x W 0.2m | 1y | bloom Jul-Aug #f4c020 | zones 7-10 | sun full-sun | water moderate | tags [yellow, gold, cut flower]
- gladiolus-orange | "Tangelo" | Gladiolus 'Tangelo' | Bulb | H 1.2m x W 0.2m | 1y | bloom Jul-Aug #f0802a | zones 7-10 | sun full-sun | water moderate | tags [orange, cut flower]
- gladiolus-salmon | "Peche Melba" | Gladiolus 'Peche Melba' | Bulb | H 1.2m x W 0.2m | 1y | bloom Jul-Aug #f0a07a | zones 7-10 | sun full-sun | water moderate | tags [coral, salmon, apricot, cut flower]
- gladiolus-lavender | "Lavender Gladiolus" | Gladiolus | Bulb | H 1.2m x W 0.2m | 1y | bloom Jul-Aug #b89ad0 | zones 7-10 | sun full-sun | water moderate | tags [lavender, purple, cut flower]
- gladiolus-green-star | "Green Star" | Gladiolus 'Green Star' | Bulb | H 1.2m x W 0.2m | 1y | bloom Jul-Aug #b8c84a | zones 7-10 | sun full-sun | water moderate | tags [green, cut flower]
- gladiolus-black-star | "Black Star" | Gladiolus 'Black Star' | Bulb | H 1.2m x W 0.2m | 1y | bloom Jul-Aug #5a1e2a | zones 7-10 | sun full-sun | water moderate | tags [burgundy, red, cut flower]
- gladiolus-priscilla | "Priscilla" | Gladiolus 'Priscilla' | Bulb | H 1.2m x W 0.2m | 1y | bloom Jul-Aug #f0d8e0 | zones 7-10 | sun full-sun | water moderate | tags [white, pink, bicolor, cut flower]
- gladiolus-magenta | "Magenta Gladiolus" | Gladiolus | Bulb | H 1.2m x W 0.2m | 1y | bloom Jul-Aug #cc2e8e | zones 7-10 | sun full-sun | water moderate | tags [magenta, pink, cut flower]
- dahlia | "Dahlia" | Dahlia | Bulb | H 1m x W 0.5m | 1y | bloom Jul-Oct #d6406a | zones 8-10 | sun full-sun | water high | tags [pink, cut flower]
- dahlia-cafe-au-lait | "Café au Lait" | Dahlia 'Café au Lait' | Bulb | H 1.1m x W 0.6m | 1y | bloom Jul-Oct #ecd8c4 | zones 8-10 | sun full-sun | water high | tags [cream, blush, pink, dinnerplate, cut flower]
- dahlia-bishop-of-llandaff | "Bishop of Llandaff" | Dahlia 'Bishop of Llandaff' | Bulb | H 1m x W 0.5m | 1y | bloom Jul-Oct #cc2828 | zones 8-10 | sun full-sun | water high | tags [red, scarlet, cut flower]
- dahlia-thomas-edison | "Thomas Edison" | Dahlia 'Thomas Edison' | Bulb | H 1m x W 0.6m | 1y | bloom Jul-Oct #7a3a86 | zones 8-10 | sun full-sun | water high | tags [purple, dinnerplate, cut flower]
- dahlia-arabian-night | "Arabian Night" | Dahlia 'Arabian Night' | Bulb | H 1m x W 0.5m | 1y | bloom Jul-Oct #6e1f2a | zones 8-10 | sun full-sun | water high | tags [red, burgundy, cut flower]
- dahlia-kelvin-floodlight | "Kelvin Floodlight" | Dahlia 'Kelvin Floodlight' | Bulb | H 1.1m x W 0.6m | 1y | bloom Jul-Oct #f4cc28 | zones 8-10 | sun full-sun | water high | tags [yellow, dinnerplate, cut flower]
- dahlia-ottos-thrill | "Otto's Thrill" | Dahlia 'Otto's Thrill' | Bulb | H 1.1m x W 0.6m | 1y | bloom Jul-Oct #ee82a8 | zones 8-10 | sun full-sun | water high | tags [pink, dinnerplate, cut flower]
- dahlia-gallery-art-deco | "Gallery Art Deco" | Dahlia 'Gallery Art Deco' | Bulb | H 0.5m x W 0.4m | 1y | bloom Jul-Oct #ee7a2a | zones 8-10 | sun full-sun | water high | tags [orange, dwarf, cut flower]
- dahlia-jowey-winnie | "Jowey Winnie" | Dahlia 'Jowey Winnie' | Bulb | H 1m x W 0.5m | 1y | bloom Jul-Oct #e890a4 | zones 8-10 | sun full-sun | water high | tags [pink, ball, cut flower]
- dahlia-cornel | "Cornel" | Dahlia 'Cornel' | Bulb | H 1m x W 0.5m | 1y | bloom Jul-Oct #bc2830 | zones 8-10 | sun full-sun | water high | tags [red, ball, cut flower]
- dahlia-david-howard | "David Howard" | Dahlia 'David Howard' | Bulb | H 0.9m x W 0.5m | 1y | bloom Jul-Oct #e8741e | zones 8-10 | sun full-sun | water high | tags [orange, cut flower]
- dahlia-fleurel | "Fleurel" | Dahlia 'Fleurel' | Bulb | H 1.1m x W 0.6m | 1y | bloom Jul-Oct #f6f3ec | zones 8-10 | sun full-sun | water high | tags [white, dinnerplate, cut flower]
- dahlia-sylvia | "Sylvia" | Dahlia 'Sylvia' | Bulb | H 0.9m x W 0.5m | 1y | bloom Jul-Oct #ef8a3a | zones 8-10 | sun full-sun | water high | tags [orange, peach, ball, cut flower]
- dahlia-karma-choc | "Karma Choc" | Dahlia 'Karma Choc' | Bulb | H 0.9m x W 0.5m | 1y | bloom Jul-Oct #7a1f26 | zones 8-10 | sun full-sun | water high | tags [red, burgundy, cut flower]
- dahlia-labyrinth | "Labyrinth" | Dahlia 'Labyrinth' | Bulb | H 1m x W 0.6m | 1y | bloom Jul-Oct #f0a288 | zones 8-10 | sun full-sun | water high | tags [pink, peach, apricot, dinnerplate, cut flower]
- dahlia-bishops-children | "Bishop's Children" | Dahlia 'Bishop's Children' | Bulb | H 0.8m x W 0.5m | 1y | bloom Jul-Oct #e0503a | zones 8-10 | sun full-sun | water high | tags [red, orange, pink, cut flower]
- canna | "Canna Lily" | Canna | Bulb | H 1.5m x W 0.6m | 1y | bloom Jul-Sep #e23b2e | zones 7-10 | sun full-sun | water high | tags [red, tropical]
- canna-president | "President" | Canna 'President' | Bulb | H 1.5m x W 0.6m | 1y | bloom Jul-Sep #d6283a | zones 7-10 | sun full-sun | water high | tags [red, tropical]
- canna-bengal-tiger | "Bengal Tiger" | Canna 'Bengal Tiger' | Bulb | H 1.8m x W 0.7m | 1y | bloom Jul-Sep #f0802a | zones 7-10 | sun full-sun | water high | tags [orange, yellow, tropical]
