- canna-tropicanna | "Tropicanna" | Canna 'Phasion' | Bulb | H 1.6m x W 0.7m | 1y | bloom Jul-Sep #f07028 | zones 7-10 | sun full-sun | water high | tags [orange, red, tropical]
- canna-australia | "Australia" | Canna 'Australia' | Bulb | H 1.5m x W 0.6m | 1y | bloom Jul-Sep #c2282e | zones 7-10 | sun full-sun | water high | tags [red, burgundy, tropical]
- canna-wyoming | "Wyoming" | Canna 'Wyoming' | Bulb | H 1.5m x W 0.6m | 1y | bloom Jul-Sep #e06828 | zones 7-10 | sun full-sun | water high | tags [orange, red, tropical]
- canna-cleopatra | "Cleopatra" | Canna 'Cleopatra' | Bulb | H 1.4m x W 0.6m | 1y | bloom Jul-Sep #e0a828 | zones 7-10 | sun full-sun | water high | tags [yellow, red, bicolor, tropical]
- canna-yellow-king-humbert | "Yellow King Humbert" | Canna 'Yellow King Humbert' | Bulb | H 1.5m x W 0.6m | 1y | bloom Jul-Sep #f4c020 | zones 7-10 | sun full-sun | water high | tags [yellow, gold, tropical]
- canna-lucifer | "Lucifer" | Canna 'Lucifer' | Bulb | H 0.7m x W 0.4m | 1y | bloom Jul-Sep #d6402a | zones 7-10 | sun full-sun | water high | tags [red, yellow, bicolor, dwarf, tropical]
- canna-pink-president | "Pink President" | Canna 'Pink President' | Bulb | H 1.5m x W 0.6m | 1y | bloom Jul-Sep #e85a8e | zones 7-10 | sun full-sun | water high | tags [pink, rose, tropical]
- canna-tropicanna-gold | "Tropicanna Gold" | Canna 'Mactro' | Bulb | H 1.6m x W 0.7m | 1y | bloom Jul-Sep #f0a028 | zones 7-10 | sun full-sun | water high | tags [orange, gold, yellow, tropical]
- canna-durban | "Durban" | Canna 'Durban' | Bulb | H 1.5m x W 0.6m | 1y | bloom Jul-Sep #f07820 | zones 7-10 | sun full-sun | water high | tags [orange, red, tropical]
- snowdrop | "Snowdrop" | Galanthus | Bulb | H 0.12m x W 0.08m | 1y | bloom Feb-Mar #f7f7f7 | zones 3-7 | sun part-shade | water moderate | tags [white, early]
- snowdrop-flore-pleno | "Flore Pleno" | Galanthus nivalis 'Flore Pleno' | Bulb | H 0.12m x W 0.08m | 1y | bloom Feb-Mar #fafafa | zones 3-7 | sun part-shade | water moderate | tags [white, early]
