- anemone-mr-fokker | "Mr. Fokker" | Anemone coronaria 'Mr. Fokker' | Bulb | H 0.3m x W 0.15m | 1y | bloom Mar-May #5a52c0 | zones 7-10 | sun full-sun | water moderate | tags [blue, purple, violet]
- anemone-the-bride | "The Bride" | Anemone coronaria 'The Bride' | Bulb | H 0.3m x W 0.15m | 1y | bloom Mar-May #f4f2ea | zones 7-10 | sun full-sun | water moderate | tags [white]
- anemone-hollandia | "Hollandia" | Anemone coronaria 'Hollandia' | Bulb | H 0.3m x W 0.15m | 1y | bloom Mar-May #d6283a | zones 7-10 | sun full-sun | water moderate | tags [red]
- anemone-sylphide | "Sylphide" | Anemone coronaria 'Sylphide' | Bulb | H 0.3m x W 0.15m | 1y | bloom Mar-May #cc4a9e | zones 7-10 | sun full-sun | water moderate | tags [magenta, pink, purple]
- anemone-lord-lieutenant | "Lord Lieutenant" | Anemone coronaria 'Lord Lieutenant' | Bulb | H 0.3m x W 0.15m | 1y | bloom Mar-May #3a4ab8 | zones 7-10 | sun full-sun | water moderate | tags [blue, purple]
- anemone-mt-everest | "Mt. Everest" | Anemone coronaria 'Mt. Everest' | Bulb | H 0.3m x W 0.15m | 1y | bloom Mar-May #f2f0e8 | zones 7-10 | sun full-sun | water moderate | tags [white]
- anemone-the-governor | "The Governor" | Anemone coronaria 'The Governor' | Bulb | H 0.3m x W 0.15m | 1y | bloom Mar-May #d6303a | zones 7-10 | sun full-sun | water moderate | tags [red, scarlet]
- anemone-blanda-blue | "Blue Shades" | Anemone blanda 'Blue Shades' | Bulb | H 0.15m x W 0.12m | 1y | bloom Mar-Apr #6a7ad0 | zones 5-9 | sun part-shade | water moderate | tags [blue, lavender]
- anemone-blanda-white | "White Splendour" | Anemone blanda 'White Splendour' | Bulb | H 0.15m x W 0.12m | 1y | bloom Mar-Apr #f4f2ea | zones 5-9 | sun part-shade | water moderate | tags [white]
- anemone-blanda-pink | "Pink Star" | Anemone blanda 'Pink Star' | Bulb | H 0.15m x W 0.12m | 1y | bloom Mar-Apr #e88ab8 | zones 5-9 | sun part-shade | water moderate | tags [pink]
- anemone-admiral | "Admiral" | Anemone coronaria 'Admiral' | Bulb | H 0.3m x W 0.15m | 1y | bloom Mar-May #7a3aae | zones 7-10 | sun full-sun | water moderate | tags [purple, violet, magenta]
- calla-lily | "Calla Lily" | Zantedeschia | Bulb | H 0.7m x W 0.3m | 1y | bloom Jun-Aug #f5f0e8 | zones 8-10 | sun part-sun | water high | tags [white, elegant]
- calla-lily-yellow | "Yellow Calla" | Zantedeschia 'Yellow' | Bulb | H 0.6m x W 0.3m | 1y | bloom Jun-Aug #f2c828 | zones 8-10 | sun part-sun | water high | tags [yellow, elegant]
