- fritillaria-meleagris-alba | "Checkered Lily Alba" | Fritillaria meleagris 'Alba' | Bulb | H 0.3m x W 0.08m | 1y | bloom Apr-May #f0f0e8 | zones 3-8 | sun part-sun | water moderate | tags [white]
- fritillaria-persica | "Persian Lily" | Fritillaria persica | Bulb | H 0.9m x W 0.2m | 1y | bloom Apr-May #4a3a5a | zones 5-8 | sun full-sun | water moderate | tags [purple]
- scilla | "Siberian Squill" | Scilla siberica | Bulb | H 0.15m x W 0.08m | 1y | bloom Mar-Apr #4a5fc0 | zones 2-8 | sun full-sun | water moderate | tags [blue, early]
- scilla-alba | "White Squill" | Scilla siberica 'Alba' | Bulb | H 0.15m x W 0.08m | 1y | bloom Mar-Apr #f4f2ea | zones 2-8 | sun full-sun | water moderate | tags [white, early]
- scilla-spring-beauty | "Spring Beauty" | Scilla siberica 'Spring Beauty' | Bulb | H 0.18m x W 0.08m | 1y | bloom Mar-Apr #3a4ab0 | zones 2-8 | sun full-sun | water moderate | tags [blue, purple, early]
- scilla-mischtschenkoana | "Early Squill" | Scilla mischtschenkoana | Bulb | H 0.1m x W 0.08m | 1y | bloom Feb-Mar #aac0e8 | zones 3-8 | sun full-sun | water moderate | tags [blue, early]
- scilla-bifolia | "Alpine Squill" | Scilla bifolia | Bulb | H 0.1m x W 0.08m | 1y | bloom Mar-Apr #5a6fc8 | zones 3-8 | sun full-sun | water moderate | tags [blue, early]
- scilla-peruviana | "Portuguese Squill" | Scilla peruviana | Bulb | H 0.3m x W 0.15m | 1y | bloom May-Jun #5a4ab0 | zones 8-10 | sun full-sun | water moderate | tags [purple, blue]
- agapanthus | "Agapanthus" | Agapanthus | Bulb | H 0.8m x W 0.5m | 2y | bloom Jun-Aug #5f6fc0 | zones 7-11 | sun full-sun | water moderate | tags [blue, architectural]
- agapanthus-white | "White Agapanthus" | Agapanthus 'Albus' | Bulb | H 0.8m x W 0.5m | 2y | bloom Jun-Aug #f4f2ea | zones 7-11 | sun full-sun | water moderate | tags [white, architectural]
- agapanthus-peter-pan | "Peter Pan" | Agapanthus 'Peter Pan' | Bulb | H 0.4m x W 0.4m | 2y | bloom Jun-Aug #5f6fc0 | zones 7-11 | sun full-sun | water moderate | tags [blue, architectural]
- agapanthus-storm-cloud | "Storm Cloud" | Agapanthus 'Storm Cloud' | Bulb | H 1m x W 0.6m | 2y | bloom Jun-Aug #3a3a8e | zones 7-11 | sun full-sun | water moderate | tags [blue, purple, architectural]
- agapanthus-midnight-blue | "Midnight Blue" | Agapanthus 'Midnight Blue' | Bulb | H 0.6m x W 0.5m | 2y | bloom Jun-Aug #2a3a9e | zones 7-11 | sun full-sun | water moderate | tags [blue, architectural]
- agapanthus-twister | "Twister" | Agapanthus 'Twister' | Bulb | H 0.6m x W 0.5m | 2y | bloom Jun-Aug #6a7ac8 | zones 7-11 | sun full-sun | water moderate | tags [blue, white, architectural]
- agapanthus-snowball | "Snowball" | Agapanthus 'Snowball' | Bulb | H 0.4m x W 0.4m | 2y | bloom Jun-Aug #f4f2ea | zones 7-11 | sun full-sun | water moderate | tags [white, architectural]
- freesia | "Freesia" | Freesia | Bulb | H 0.4m x W 0.1m | 1y | bloom Apr-May #f0d44a | zones 9-10 | sun full-sun | water moderate | tags [yellow, fragrant, cut flower]
- freesia-white | "White Freesia" | Freesia 'White' | Bulb | H 0.4m x W 0.1m | 1y | bloom Apr-May #f4f2ea | zones 9-10 | sun full-sun | water moderate | tags [white, fragrant, cut flower]
- freesia-red | "Red Freesia" | Freesia 'Red' | Bulb | H 0.4m x W 0.1m | 1y | bloom Apr-May #d6384a | zones 9-10 | sun full-sun | water moderate | tags [red, fragrant, cut flower]
- freesia-pink | "Pink Freesia" | Freesia 'Pink' | Bulb | H 0.4m x W 0.1m | 1y | bloom Apr-May #e87aa8 | zones 9-10 | sun full-sun | water moderate | tags [pink, fragrant, cut flower]
- freesia-purple | "Purple Freesia" | Freesia 'Purple Rain' | Bulb | H 0.4m x W 0.1m | 1y | bloom Apr-May #8a5aae | zones 9-10 | sun full-sun | water moderate | tags [purple, fragrant, cut flower]
- freesia-orange | "Orange Freesia" | Freesia 'Orange' | Bulb | H 0.4m x W 0.1m | 1y | bloom Apr-May #f0822a | zones 9-10 | sun full-sun | water moderate | tags [orange, fragrant, cut flower]
- freesia-blue | "Blue Freesia" | Freesia 'Blue Heaven' | Bulb | H 0.4m x W 0.1m | 1y | bloom Apr-May #7a8ad0 | zones 9-10 | sun full-sun | water moderate | tags [blue, fragrant, cut flower]
- colchicum | "Autumn Crocus" | Colchicum | Bulb | H 0.15m x W 0.1m | 1y | bloom Sep-Oct #b88fd6 | zones 4-9 | sun full-sun | water moderate | tags [purple]
- colchicum-waterlily | "Waterlily" | Colchicum 'Waterlily' | Bulb | H 0.2m x W 0.1m | 1y | bloom Sep-Oct #c89ad8 | zones 4-9 | sun full-sun | water moderate | tags [pink, purple]
- colchicum-the-giant | "The Giant" | Colchicum 'The Giant' | Bulb | H 0.28m x W 0.12m | 1y | bloom Sep-Oct #a87ac8 | zones 4-9 | sun full-sun | water moderate | tags [purple]
- colchicum-album | "Album" | Colchicum autumnale 'Album' | Bulb | H 0.15m x W 0.1m | 1y | bloom Sep-Oct #f4f2ea | zones 4-9 | sun full-sun | water moderate | tags [white]
- colchicum-speciosum | "Showy Crocus" | Colchicum speciosum | Bulb | H 0.2m x W 0.12m | 1y | bloom Sep-Oct #b06aa8 | zones 4-9 | sun full-sun | water moderate | tags [purple, pink]
- colchicum-lilac-wonder | "Lilac Wonder" | Colchicum 'Lilac Wonder' | Bulb | H 0.2m x W 0.1m | 1y | bloom Sep-Oct #c090d0 | zones 4-9 | sun full-sun | water moderate | tags [lavender, purple]
- snowflake | "Snowflake" | Leucojum | Bulb | H 0.3m x W 0.1m | 1y | bloom Mar-Apr #fbfbfb | zones 4-8 | sun part-sun | water moderate | tags [white, early]
- snowflake-spring | "Spring Snowflake" | Leucojum vernum | Bulb | H 0.2m x W 0.1m | 1y | bloom Mar-Mar #f4f6ee | zones 3-8 | sun part-sun | water moderate | tags [white, green, early]
- snowflake-summer | "Summer Snowflake" | Leucojum aestivum | Bulb | H 0.5m x W 0.12m | 1y | bloom Apr-May #f8f8f2 | zones 4-9 | sun part-sun | water moderate | tags [white, green]
- snowflake-gravetye-giant | "Gravetye Giant" | Leucojum aestivum 'Gravetye Giant' | Bulb | H 0.6m x W 0.15m | 1y | bloom Apr-May #fafaf4 | zones 4-9 | sun part-sun | water moderate | tags [white, green]
- star-of-bethlehem | "Star of Bethlehem" | Ornithogalum | Bulb | H 0.3m x W 0.1m | 1y | bloom May-Jun #fbfbfb | zones 4-9 | sun full-sun | water moderate | tags [white]
- star-of-bethlehem-arabicum | "Arabicum" | Ornithogalum arabicum | Bulb | H 0.6m x W 0.15m | 1y | bloom May-Jun #f8f8f4 | zones 7-10 | sun full-sun | water moderate | tags [white]
- star-of-bethlehem-nutans | "Silver Bells" | Ornithogalum nutans | Bulb | H 0.4m x W 0.12m | 1y | bloom Apr-May #eef0e8 | zones 6-10 | sun part-sun | water moderate | tags [white, green]
