- star-of-bethlehem-chincherinchee | "Chincherinchee" | Ornithogalum thyrsoides | Bulb | H 0.5m x W 0.12m | 1y | bloom Jun-Jul #fbfbf6 | zones 7-10 | sun full-sun | water moderate | tags [white, cut flower]
- star-of-bethlehem-orange | "Orange Star" | Ornithogalum dubium | Bulb | H 0.3m x W 0.1m | 1y | bloom May-Jun #f0902a | zones 7-10 | sun full-sun | water moderate | tags [orange]
- elephant-ear | "Elephant Ear" | Colocasia | Bulb | H 1.2m x W 1m | 1y | bloom (none) | zones 8-11 | sun part-sun | water high | tags [foliage, tropical, dramatic]
- elephant-ear-black-magic | "Black Magic" | Colocasia esculenta 'Black Magic' | Bulb | H 1.2m x W 1m | 1y | bloom (none) | zones 8-11 | sun part-sun | water high | tags [purple, foliage, tropical, dramatic]
- elephant-ear-illustris | "Illustris" | Colocasia esculenta 'Illustris' | Bulb | H 1m x W 0.9m | 1y | bloom (none) | zones 8-11 | sun part-sun | water high | tags [purple, green, foliage, tropical]
- elephant-ear-mojito | "Mojito" | Colocasia esculenta 'Mojito' | Bulb | H 1m x W 0.9m | 1y | bloom (none) | zones 8-11 | sun part-sun | water high | tags [green, foliage, tropical]
- elephant-ear-lime-zinger | "Lime Zinger" | Xanthosoma 'Lime Zinger' | Bulb | H 1.5m x W 1.2m | 1y | bloom (none) | zones 8-11 | sun part-sun | water high | tags [green, foliage, tropical, dramatic]
- elephant-ear-pink-china | "Pink China" | Colocasia esculenta 'Pink China' | Bulb | H 1.2m x W 1m | 1y | bloom (none) | zones 7-10 | sun part-sun | water high | tags [green, pink, foliage, tropical]
- elephant-ear-polly | "Alocasia Polly" | Alocasia × amazonica 'Polly' | Bulb | H 0.6m x W 0.5m | 1y | bloom (none) | zones 9-11 | sun part-sun | water high | tags [green, foliage, tropical]
- amaryllis | "Amaryllis" | Hippeastrum | Bulb | H 0.5m x W 0.2m | 2y | bloom Mar-Apr #d6304a | zones 8-11 | sun part-sun | water moderate | tags [red, dramatic]
- amaryllis-red-lion | "Red Lion" | Hippeastrum 'Red Lion' | Bulb | H 0.5m x W 0.2m | 2y | bloom Mar-Apr #c0202e | zones 8-11 | sun part-sun | water moderate | tags [red, dramatic]
- amaryllis-apple-blossom | "Apple Blossom" | Hippeastrum 'Apple Blossom' | Bulb | H 0.5m x W 0.2m | 2y | bloom Mar-Apr #f0c8d4 | zones 8-11 | sun part-sun | water moderate | tags [white, pink, dramatic]
- amaryllis-minerva | "Minerva" | Hippeastrum 'Minerva' | Bulb | H 0.5m x W 0.2m | 2y | bloom Mar-Apr #cc2a3a | zones 8-11 | sun part-sun | water moderate | tags [red, white, dramatic]
- amaryllis-picotee | "Picotee" | Hippeastrum 'Picotee' | Bulb | H 0.5m x W 0.2m | 2y | bloom Mar-Apr #f4f0ea | zones 8-11 | sun part-sun | water moderate | tags [white, red, dramatic]
- amaryllis-white | "Christmas Gift" | Hippeastrum 'Christmas Gift' | Bulb | H 0.5m x W 0.2m | 2y | bloom Mar-Apr #f4f2ea | zones 8-11 | sun part-sun | water moderate | tags [white, dramatic]
- amaryllis-orange | "Orange Sovereign" | Hippeastrum 'Orange Sovereign' | Bulb | H 0.5m x W 0.2m | 2y | bloom Mar-Apr #f0822a | zones 8-11 | sun part-sun | water moderate | tags [orange, dramatic]
- amaryllis-salmon | "Rilona" | Hippeastrum 'Rilona' | Bulb | H 0.5m x W 0.2m | 2y | bloom Mar-Apr #f0a070 | zones 8-11 | sun part-sun | water moderate | tags [coral, apricot, dramatic]
- trumpet-lily | "Trumpet Lily" | Lilium | Bulb | H 1.4m x W 0.3m | 2y | bloom Jul-Aug #f5f0e8 | zones 4-9 | sun full-sun | water moderate | tags [white, fragrant, tall]
- easter-lily | "Easter Lily" | Lilium longiflorum | Bulb | H 0.9m x W 0.3m | 2y | bloom Jun-Jul #fbfbf5 | zones 5-8 | sun full-sun | water moderate | tags [white, fragrant]
- blue-ornamental-onion | "Blue Allium" | Allium caeruleum | Bulb | H 0.6m x W 0.2m | 2y | bloom Jun-Jul #4169e1 | zones 3-9 | sun full-sun | water moderate | tags [blue, ornamental onion, allium, drought tolerant, architectural, flowering onion]
- white-ornamental-onion | "White Allium" | Allium karataviense | Bulb | H 0.3m x W 0.4m | 2y | bloom Apr-May #f5f5f0 | zones 3-9 | sun full-sun | water low | tags [white, ornamental onion, allium, low-growing, drought tolerant, flowering onion]
