- clematis | "Clematis" | Clematis | Climber | H 3m x W 1m | 3y | bloom May-Sep #7e5fbe | zones 4-9 | sun full-sun | water moderate | tags [purple, vine]
- clematis-jackmanii | "Jackmanii" | Clematis 'Jackmanii' | Climber | H 3.5m x W 1m | 3y | bloom Jun-Sep #5e2d8e | zones 4-9 | sun full-sun | water moderate | tags [purple, violet, vine]
- clematis-nelly-moser | "Nelly Moser" | Clematis 'Nelly Moser' | Climber | H 3m x W 1m | 3y | bloom May-Sep #e0a8c4 | zones 4-9 | sun part-shade | water moderate | tags [pink, lavender, bicolor, vine]
- clematis-the-president | "The President" | Clematis 'The President' | Climber | H 3m x W 1m | 3y | bloom Jun-Sep #5a4ba8 | zones 4-9 | sun full-sun | water moderate | tags [purple, blue, vine]
- clematis-niobe | "Niobe" | Clematis 'Niobe' | Climber | H 2.5m x W 1m | 3y | bloom Jun-Sep #8a1f2e | zones 4-9 | sun full-sun | water moderate | tags [red, crimson, vine]
- clematis-henryi | "Henryi" | Clematis 'Henryi' | Climber | H 3m x W 1m | 3y | bloom Jun-Sep #f4f1e8 | zones 4-9 | sun full-sun | water moderate | tags [white, vine]
- clematis-ville-de-lyon | "Ville de Lyon" | Clematis 'Ville de Lyon' | Climber | H 3m x W 1m | 3y | bloom Jun-Sep #bc2f44 | zones 4-9 | sun full-sun | water moderate | tags [red, crimson, vine]
- clematis-comtesse-de-bouchaud | "Comtesse de Bouchaud" | Clematis 'Comtesse de Bouchaud' | Climber | H 2.5m x W 1m | 3y | bloom Jun-Sep #e088b0 | zones 4-9 | sun full-sun | water moderate | tags [pink, vine]
- clematis-rouge-cardinal | "Rouge Cardinal" | Clematis 'Rouge Cardinal' | Climber | H 2.5m x W 1m | 3y | bloom Jun-Sep #9e2436 | zones 4-9 | sun full-sun | water moderate | tags [red, crimson, burgundy, vine]
- clematis-multi-blue | "Multi Blue" | Clematis 'Multi Blue' | Climber | H 2.5m x W 1m | 3y | bloom Jun-Sep #4a4a9e | zones 4-9 | sun full-sun | water moderate | tags [blue, purple, double, vine]
- clematis-doctor-ruppel | "Doctor Ruppel" | Clematis 'Doctor Ruppel' | Climber | H 3m x W 1m | 3y | bloom May-Sep #e06a9a | zones 4-9 | sun part-shade | water moderate | tags [pink, rose, bicolor, vine]
- clematis-ernest-markham | "Ernest Markham" | Clematis 'Ernest Markham' | Climber | H 3.5m x W 1m | 3y | bloom Jun-Sep #c23a6a | zones 4-9 | sun full-sun | water moderate | tags [magenta, red, vine]
- clematis-marie-boisselot | "Marie Boisselot" | Clematis 'Marie Boisselot' | Climber | H 3m x W 1m | 3y | bloom Jun-Sep #f6f4ec | zones 4-9 | sun full-sun | water moderate | tags [white, vine]
- clematis-gipsy-queen | "Gipsy Queen" | Clematis 'Gipsy Queen' | Climber | H 3.5m x W 1m | 3y | bloom Jul-Sep #6a2e8e | zones 4-9 | sun full-sun | water moderate | tags [purple, violet, vine]
