- jasmine-yellow | "Winter Jasmine" | Jasminum nudiflorum | Climber | H 3m x W 1.5m | 3y | bloom Feb-Apr #f2c81f | zones 6-10 | sun full-sun | water moderate | tags [yellow, vine]
- jasmine-pink | "Pink Jasmine" | Jasminum polyanthum | Climber | H 4m x W 1.5m | 3y | bloom Mar-May #e8a8c0 | zones 8-11 | sun full-sun | water moderate | tags [pink, fragrant, vine]
- jasmine-star | "Star Jasmine" | Trachelospermum jasminoides | Climber | H 4m x W 1.5m | 3y | bloom May-Jul #f5f2ec | zones 7-10 | sun full-sun | water moderate | tags [white, fragrant, vine]
- trumpet-vine | "Trumpet Vine" | Campsis radicans | Climber | H 8m x W 2m | 4y | bloom Jun-Sep #e0641f | zones 4-9 | sun full-sun | water moderate | tags [orange, native, pollinator, vine]
- trumpet-vine-yellow | "Flava (Yellow Trumpet)" | Campsis radicans f. flava | Climber | H 8m x W 2m | 4y | bloom Jun-Sep #e8b21f | zones 4-9 | sun full-sun | water moderate | tags [yellow, pollinator, vine]
- trumpet-vine-red | "Crimson Trumpet" | Campsis radicans 'Crimson Trumpet' | Climber | H 8m x W 2m | 4y | bloom Jun-Sep #b8242a | zones 4-9 | sun full-sun | water moderate | tags [red, pollinator, vine]
- trumpet-vine-apricot | "Madame Galen" | Campsis × tagliabuana 'Madame Galen' | Climber | H 8m x W 2m | 4y | bloom Jun-Sep #ef9a52 | zones 5-9 | sun full-sun | water moderate | tags [apricot, pollinator, vine]
- passionflower | "Passionflower" | Passiflora | Climber | H 4m x W 1.5m | 3y | bloom Jul-Sep #8f6fc6 | zones 6-9 | sun full-sun | water moderate | tags [purple, exotic, vine]
- passionflower-blue | "Blue Crown Passionflower" | Passiflora caerulea | Climber | H 4m x W 1.5m | 3y | bloom Jul-Sep #5f7fc8 | zones 6-9 | sun full-sun | water moderate | tags [blue, exotic, vine]
- passionflower-white | "Constance Elliott" | Passiflora caerulea 'Constance Elliott' | Climber | H 4m x W 1.5m | 3y | bloom Jul-Sep #f0eee4 | zones 6-9 | sun full-sun | water moderate | tags [white, exotic, vine]
- passionflower-red | "Red Passionflower" | Passiflora coccinea | Climber | H 4m x W 1.5m | 3y | bloom Jul-Sep #cc2f2a | zones 10-11 | sun full-sun | water moderate | tags [red, exotic, vine]
- passionflower-pink | "Lady Margaret" | Passiflora 'Lady Margaret' | Climber | H 4m x W 1.5m | 3y | bloom Jul-Sep #c23a6a | zones 7-10 | sun full-sun | water moderate | tags [pink, exotic, vine]
- boston-ivy | "Boston Ivy" | Parthenocissus tricuspidata | Climber | H 12m x W 3m | 4y | bloom (none) | zones 4-8 | sun part-sun | water moderate | tags [foliage, green, fall color, vine, wall]
- boston-ivy-gold | "Fenway Park" | Parthenocissus tricuspidata 'Fenway Park' | Climber | H 10m x W 3m | 4y | bloom (none) | zones 4-8 | sun part-sun | water moderate | tags [foliage, gold, fall color, vine, wall]
- boston-ivy-purple | "Veitchii" | Parthenocissus tricuspidata 'Veitchii' | Climber | H 8m x W 3m | 4y | bloom (none) | zones 4-8 | sun part-sun | water moderate | tags [foliage, purple, fall color, vine, wall]
- mandevilla | "Mandevilla" | Mandevilla | Climber | H 3m x W 1m | 1y | bloom Jun-Oct #e0507a | zones 10-11 | sun full-sun | water moderate | tags [pink, tropical, vine]
- mandevilla-red | "Sun Parasol Crimson" | Mandevilla 'Sun Parasol Crimson' | Climber | H 3m x W 1m | 1y | bloom Jun-Oct #d23030 | zones 10-11 | sun full-sun | water moderate | tags [red, tropical, vine]
- mandevilla-white | "Sun Parasol White" | Mandevilla 'Sun Parasol White' | Climber | H 3m x W 1m | 1y | bloom Jun-Oct #f5f2ec | zones 10-11 | sun full-sun | water moderate | tags [white, tropical, vine]
- mandevilla-apricot | "Sun Parasol Apricot" | Mandevilla 'Sun Parasol Apricot' | Climber | H 3m x W 1m | 1y | bloom Jun-Oct #f0a868 | zones 10-11 | sun full-sun | water moderate | tags [apricot, tropical, vine]
- mandevilla-yellow | "Sun Parasol Sunbeam" | Mandevilla 'Sun Parasol Sunbeam' | Climber | H 3m x W 1m | 1y | bloom Jun-Oct #f2cf4a | zones 10-11 | sun full-sun | water moderate | tags [yellow, tropical, vine]
- moonflower | "Moonflower" | Ipomoea alba | Climber | H 4m x W 1.5m | 1y | bloom Jul-Sep #fbfbf5 | zones 9-11 | sun full-sun | water moderate | tags [white, fragrant, vine, night]
- black-eyed-susan-vine | "Black-Eyed Susan Vine" | Thunbergia alata | Climber | H 2.5m x W 1m | 1y | bloom Jun-Oct #f5a01f | zones 10-11 | sun full-sun | water moderate | tags [orange, vine]
- black-eyed-susan-vine-yellow | "Lemon Star" | Thunbergia alata 'Lemon Star' | Climber | H 2.5m x W 1m | 1y | bloom Jun-Oct #f4cf2a | zones 10-11 | sun full-sun | water moderate | tags [yellow, vine]
- black-eyed-susan-vine-white | "Bright Eyes" | Thunbergia alata 'Bright Eyes' | Climber | H 2.5m x W 1m | 1y | bloom Jun-Oct #f3ecdc | zones 10-11 | sun full-sun | water moderate | tags [white, vine]
- black-eyed-susan-vine-apricot | "Blushing Susie" | Thunbergia alata 'Blushing Susie' | Climber | H 2.5m x W 1m | 1y | bloom Jun-Oct #f0a878 | zones 10-11 | sun full-sun | water moderate | tags [apricot, vine]
- black-eyed-susan-vine-red | "Arizona Glow" | Thunbergia alata 'Arizona Glow' | Climber | H 2.5m x W 1m | 1y | bloom Jun-Oct #d8492e | zones 10-11 | sun full-sun | water moderate | tags [red, vine]
