- juniper-blue-pacific | "Blue Pacific Juniper" | Juniperus conferta 'Blue Pacific' | Conifer | H 0.3m x W 1.5m | 10y | bloom (none) | zones 5-9 | sun full-sun | water low | tags [evergreen, blue, green, spreading, drought tolerant]
- hemlock | "Eastern Hemlock" | Tsuga canadensis | Conifer | H 15m x W 8m | 20y | bloom (none) | zones 3-7 | sun part-shade | water moderate | tags [evergreen, native, hedge]
- hemlock-sargent | "Weeping Hemlock" | Tsuga canadensis 'Sargentii' | Conifer | H 3m x W 4m | 18y | bloom (none) | zones 3-7 | sun part-shade | water moderate | tags [green, evergreen, weeping]
- hemlock-gentsch-white | "Gentsch White" | Tsuga canadensis 'Gentsch White' | Conifer | H 1.5m x W 1.5m | 15y | bloom (none) | zones 3-7 | sun part-shade | water moderate | tags [green, white, evergreen, dwarf]
- hemlock-jeddeloh | "Jeddeloh Hemlock" | Tsuga canadensis 'Jeddeloh' | Conifer | H 1m x W 1.5m | 15y | bloom (none) | zones 3-7 | sun part-shade | water moderate | tags [green, evergreen, dwarf]
- italian-cypress | "Italian Cypress" | Cupressus sempervirens | Conifer | H 12m x W 1m | 15y | bloom (none) | zones 7-10 | sun full-sun | water low | tags [evergreen, columnar, mediterranean, drought tolerant]
- italian-cypress-glauca | "Blue Italian Cypress" | Cupressus sempervirens 'Glauca' | Conifer | H 12m x W 1m | 15y | bloom (none) | zones 7-10 | sun full-sun | water low | tags [evergreen, blue, green, columnar, drought tolerant]
- italian-cypress-tiny-tower | "Tiny Tower" | Cupressus sempervirens 'Tiny Tower' | Conifer | H 4m x W 0.8m | 12y | bloom (none) | zones 7-10 | sun full-sun | water low | tags [evergreen, green, columnar, drought tolerant]
- italian-cypress-swanes-gold | "Swane's Gold" | Cupressus sempervirens 'Swane's Gold' | Conifer | H 4m x W 0.8m | 12y | bloom (none) | zones 7-10 | sun full-sun | water low | tags [evergreen, gold, green, columnar, drought tolerant]
- bald-cypress | "Bald Cypress" | Taxodium distichum | Conifer | H 18m x W 8m | 20y | bloom (none) | zones 4-9 | sun full-sun | water high | tags [native, fall color, water]
- bald-cypress-shawnee-brave | "Shawnee Brave" | Taxodium distichum 'Shawnee Brave' | Conifer | H 15m x W 5m | 20y | bloom (none) | zones 4-9 | sun full-sun | water high | tags [green, fall color, water]
- bald-cypress-peve-minaret | "Peve Minaret" | Taxodium distichum 'Peve Minaret' | Conifer | H 3m x W 1.5m | 15y | bloom (none) | zones 4-9 | sun full-sun | water high | tags [green, dwarf, fall color]
- bald-cypress-falling-waters | "Falling Waters" | Taxodium distichum 'Falling Waters' | Conifer | H 6m x W 2m | 18y | bloom (none) | zones 4-9 | sun full-sun | water high | tags [green, weeping, fall color]
