- maiden-grass | "Maiden Grass" | Miscanthus sinensis | Grass | H 1.8m x W 1.2m | 3y | bloom Sep-Oct #e6d8b0 | zones 5-9 | sun full-sun | water low | tags [plume, silver, drought tolerant]
- maiden-grass-green | "Gracillimus" | Miscanthus sinensis 'Gracillimus' | Grass | H 1.8m x W 1.2m | 3y | bloom Sep-Oct #e6d8b0 | zones 5-9 | sun full-sun | water low | tags [green, plume, drought tolerant]
- maiden-grass-white | "Morning Light" | Miscanthus sinensis 'Morning Light' | Grass | H 1.5m x W 1m | 3y | bloom Sep-Oct #e8dcc4 | zones 5-9 | sun full-sun | water low | tags [white, plume, drought tolerant]
- maiden-grass-gold | "Zebra Grass" | Miscanthus sinensis 'Zebrinus' | Grass | H 2m x W 1.5m | 3y | bloom Sep-Oct #e6d8b0 | zones 5-9 | sun full-sun | water low | tags [gold, plume, drought tolerant]
- maiden-grass-red | "Flame Grass" | Miscanthus sinensis var. purpurascens | Grass | H 1.3m x W 0.9m | 3y | bloom Aug-Oct #e0c0c8 | zones 4-9 | sun full-sun | water low | tags [red, plume, drought tolerant]
- fountain-grass | "Fountain Grass" | Pennisetum alopecuroides | Grass | H 1m x W 1m | 2y | bloom Aug-Oct #d8c0a0 | zones 5-9 | sun full-sun | water low | tags [green, plume, drought tolerant]
- fountain-grass-burgundy | "Purple Fountain Grass" | Pennisetum setaceum 'Rubrum' | Grass | H 1.2m x W 0.9m | 1y | bloom Jul-Oct #c89aa8 | zones 9-11 | sun full-sun | water low | tags [burgundy, plume, drought tolerant]
- fountain-grass-purple | "Moudry (Black Fountain Grass)" | Pennisetum alopecuroides 'Moudry' | Grass | H 1m x W 1m | 2y | bloom Aug-Oct #4a3a52 | zones 5-9 | sun full-sun | water low | tags [purple, plume, drought tolerant]
- fountain-grass-dwarf | "Little Bunny" | Pennisetum alopecuroides 'Little Bunny' | Grass | H 0.5m x W 0.5m | 2y | bloom Aug-Oct #d8c0a0 | zones 5-9 | sun full-sun | water low | tags [green, plume, drought tolerant]
- blue-fescue | "Blue Fescue" | Festuca glauca | Grass | H 0.3m x W 0.3m | 2y | bloom Jun-Jul #cdbf8a | zones 4-8 | sun full-sun | water low | tags [blue, foliage, drought tolerant]
- blue-fescue-gold | "Golden Toupee" | Festuca glauca 'Golden Toupee' | Grass | H 0.3m x W 0.3m | 2y | bloom Jun-Jul #cdbf8a | zones 4-8 | sun full-sun | water low | tags [gold, foliage, drought tolerant]
- blue-fescue-silver | "Cool As Ice" | Festuca glauca 'Cool As Ice' | Grass | H 0.3m x W 0.3m | 2y | bloom Jun-Jul #cdbf8a | zones 4-8 | sun full-sun | water low | tags [silver, foliage, drought tolerant]
- switchgrass | "Switchgrass" | Panicum virgatum | Grass | H 1.5m x W 0.8m | 3y | bloom Aug-Oct #dcae9e | zones 4-9 | sun full-sun | water low | tags [green, plume, native, drought tolerant]
- switchgrass-blue | "Heavy Metal" | Panicum virgatum 'Heavy Metal' | Grass | H 1.5m x W 0.8m | 3y | bloom Aug-Oct #dcae9e | zones 4-9 | sun full-sun | water low | tags [blue, plume, native, drought tolerant]
- switchgrass-red | "Shenandoah" | Panicum virgatum 'Shenandoah' | Grass | H 1.2m x W 0.6m | 3y | bloom Aug-Oct #d8a8a0 | zones 4-9 | sun full-sun | water low | tags [red, plume, native, drought tolerant]
- switchgrass-green | "Northwind" | Panicum virgatum 'Northwind' | Grass | H 1.8m x W 0.7m | 3y | bloom Aug-Oct #dcc0a0 | zones 4-9 | sun full-sun | water low | tags [green, plume, native, drought tolerant]
- feather-reed-grass | "Feather Reed Grass" | Calamagrostis × acutiflora | Grass | H 1.5m x W 0.6m | 2y | bloom Jun-Aug #e0cfa0 | zones 4-9 | sun full-sun | water moderate | tags [green, plume, vertical]
- feather-reed-grass-white | "Overdam" | Calamagrostis × acutiflora 'Overdam' | Grass | H 1.3m x W 0.5m | 2y | bloom Jun-Aug #e0cfa0 | zones 4-9 | sun full-sun | water moderate | tags [white, plume, vertical]
- feather-reed-grass-gold | "Eldorado" | Calamagrostis × acutiflora 'Eldorado' | Grass | H 1.4m x W 0.5m | 2y | bloom Jun-Aug #e0cfa0 | zones 4-9 | sun full-sun | water moderate | tags [gold, plume, vertical]
- pampas-grass | "Pampas Grass" | Cortaderia selloana | Grass | H 2.5m x W 1.5m | 3y | bloom Aug-Oct #f0e8d0 | zones 7-11 | sun full-sun | water low | tags [plume, white, drought tolerant]
- pampas-grass-pink | "Pink Feather Pampas" | Cortaderia selloana 'Rosea' | Grass | H 2.5m x W 1.5m | 3y | bloom Aug-Oct #e8a8b8 | zones 7-11 | sun full-sun | water low | tags [pink, plume, drought tolerant]
- pampas-grass-gold | "Gold Band Pampas" | Cortaderia selloana 'Aureolineata' | Grass | H 2m x W 1.3m | 3y | bloom Aug-Oct #f0e8d0 | zones 7-11 | sun full-sun | water low | tags [gold, plume, drought tolerant]
- pampas-grass-dwarf | "Dwarf Pampas (Pumila)" | Cortaderia selloana 'Pumila' | Grass | H 1.5m x W 1m | 3y | bloom Aug-Oct #f2ead2 | zones 6-11 | sun full-sun | water low | tags [cream, plume, drought tolerant]
- little-bluestem | "Little Bluestem" | Schizachyrium scoparium | Grass | H 1m x W 0.4m | 2y | bloom Aug-Sep #d8a87a | zones 3-9 | sun full-sun | water low | tags [blue, native, fall color, drought tolerant]
- little-bluestem-red | "Blaze" | Schizachyrium scoparium 'Blaze' | Grass | H 1m x W 0.4m | 2y | bloom Aug-Sep #d8a87a | zones 3-9 | sun full-sun | water low | tags [red, native, fall color, drought tolerant]
- little-bluestem-purple | "Twilight Zone" | Schizachyrium scoparium 'Twilight Zone' | Grass | H 1m x W 0.4m | 2y | bloom Aug-Sep #d8a87a | zones 3-9 | sun full-sun | water low | tags [purple, native, fall color, drought tolerant]
- northern-sea-oats | "Northern Sea Oats" | Chasmanthium latifolium | Grass | H 1m x W 0.6m | 2y | bloom Jul-Sep #d8c89a | zones 3-8 | sun part-shade | water moderate | tags [green, native, seed heads]
