- lavender | "Lavender" | Lavandula | Herb | H 0.6m x W 0.6m | 2y | bloom Jun-Aug #8a6fc4 | zones 5-9 | sun full-sun | water low | tags [purple, fragrant, pollinator, drought tolerant]
- lavender-hidcote | "Hidcote" | Lavandula angustifolia 'Hidcote' | Herb | H 0.45m x W 0.45m | 2y | bloom Jun-Aug #5e4a9e | zones 5-9 | sun full-sun | water low | tags [purple, violet, fragrant, pollinator, drought tolerant]
- lavender-munstead | "Munstead" | Lavandula angustifolia 'Munstead' | Herb | H 0.45m x W 0.45m | 2y | bloom Jun-Aug #8a72c2 | zones 5-9 | sun full-sun | water low | tags [purple, lavender, fragrant, pollinator, drought tolerant]
- lavender-phenomenal | "Phenomenal" | Lavandula × intermedia 'Phenomenal' | Herb | H 0.7m x W 0.8m | 2y | bloom Jun-Aug #7a6fc8 | zones 5-9 | sun full-sun | water low | tags [purple, blue, lavender, fragrant, pollinator, drought tolerant]
- lavender-grosso | "Grosso" | Lavandula × intermedia 'Grosso' | Herb | H 0.7m x W 0.8m | 2y | bloom Jun-Aug #6a4ea8 | zones 5-9 | sun full-sun | water low | tags [purple, violet, fragrant, pollinator, drought tolerant]
- lavender-provence | "Provence" | Lavandula × intermedia 'Provence' | Herb | H 0.8m x W 0.9m | 2y | bloom Jun-Aug #a890d0 | zones 5-9 | sun full-sun | water low | tags [purple, lavender, fragrant, pollinator, drought tolerant]
- lavender-hidcote-pink | "Hidcote Pink" | Lavandula angustifolia 'Hidcote Pink' | Herb | H 0.45m x W 0.45m | 2y | bloom Jun-Aug #e0b0c8 | zones 5-9 | sun full-sun | water low | tags [pink, blush, fragrant, pollinator, drought tolerant]
- lavender-edelweiss | "Edelweiss" | Lavandula × intermedia 'Edelweiss' | Herb | H 0.6m x W 0.7m | 2y | bloom Jun-Aug #eae8de | zones 5-9 | sun full-sun | water low | tags [white, fragrant, pollinator, drought tolerant]
- lavender-royal-velvet | "Royal Velvet" | Lavandula angustifolia 'Royal Velvet' | Herb | H 0.6m x W 0.5m | 2y | bloom Jun-Aug #5a4aa4 | zones 5-9 | sun full-sun | water low | tags [purple, violet, fragrant, pollinator, drought tolerant]
- lavender-spanish | "Spanish Lavender" | Lavandula stoechas | Herb | H 0.5m x W 0.5m | 2y | bloom May-Aug #7a3a9e | zones 7-9 | sun full-sun | water low | tags [purple, violet, fragrant, pollinator, drought tolerant]
- lavender-french | "French Lavender" | Lavandula dentata | Herb | H 0.6m x W 0.6m | 2y | bloom May-Sep #9a7ac4 | zones 8-9 | sun full-sun | water low | tags [purple, lavender, fragrant, pollinator, drought tolerant]
- lavender-nana-alba | "Nana Alba" | Lavandula angustifolia 'Nana Alba' | Herb | H 0.3m x W 0.3m | 2y | bloom Jun-Aug #ece9df | zones 5-9 | sun full-sun | water low | tags [white, dwarf, fragrant, pollinator, drought tolerant]
- rosemary | "Rosemary" | Salvia rosmarinus | Herb | H 1m x W 0.8m | 2y | bloom Mar-May #8f9fd6 | zones 7-10 | sun full-sun | water low | tags [blue, fragrant, edible, evergreen, drought tolerant]
- thyme | "Thyme" | Thymus | Herb | H 0.15m x W 0.3m | 2y | bloom May-Jul #c08fc6 | zones 4-9 | sun full-sun | water low | tags [purple, groundcover, edible, fragrant, drought tolerant]
- sage | "Sage" | Salvia officinalis | Herb | H 0.5m x W 0.6m | 2y | bloom May-Jun #9b8fd6 | zones 4-8 | sun full-sun | water low | tags [purple, edible, fragrant, drought tolerant]
- chives | "Chives" | Allium schoenoprasum | Herb | H 0.3m x W 0.3m | 2y | bloom May-Jun #b87fc6 | zones 3-9 | sun full-sun | water moderate | tags [purple, edible]
- oregano | "Oregano" | Origanum | Herb | H 0.4m x W 0.4m | 2y | bloom Jun-Aug #c69fd6 | zones 4-9 | sun full-sun | water low | tags [purple, edible, fragrant, drought tolerant]
- mint | "Mint" | Mentha | Herb | H 0.5m x W 0.6m | 2y | bloom Jun-Aug #b8a0d6 | zones 3-9 | sun part-sun | water high | tags [purple, edible, fragrant]
- basil | "Basil" | Ocimum basilicum | Herb | H 0.5m x W 0.3m | 1y | bloom (none) | zones 10-11 | sun full-sun | water moderate | tags [edible, fragrant, culinary]
- parsley | "Parsley" | Petroselinum crispum | Herb | H 0.3m x W 0.3m | 1y | bloom (none) | zones 5-9 | sun part-sun | water moderate | tags [edible, culinary]
- dill | "Dill" | Anethum graveolens | Herb | H 0.9m x W 0.3m | 1y | bloom Jun-Aug #e0d84a | zones 3-11 | sun full-sun | water moderate | tags [yellow, edible]
- lemon-balm | "Lemon Balm" | Melissa officinalis | Herb | H 0.6m x W 0.5m | 2y | bloom (none) | zones 3-7 | sun part-sun | water moderate | tags [edible, fragrant, pollinator]
