- daylily | "Daylily" | Hemerocallis | Perennial | H 0.8m x W 0.6m | 2y | bloom Jun-Aug #f08a3c | zones 3-9 | sun full-sun | water moderate | tags [orange, easy]
- daylily-stella-de-oro | "Stella de Oro" | Hemerocallis 'Stella de Oro' | Perennial | H 0.3m x W 0.4m | 2y | bloom Jun-Sep #f2b21e | zones 3-9 | sun full-sun | water moderate | tags [gold, yellow, dwarf, reblooming, fragrant, easy]
- daylily-happy-returns | "Happy Returns" | Hemerocallis 'Happy Returns' | Perennial | H 0.45m x W 0.5m | 2y | bloom Jun-Sep #f3df5e | zones 3-9 | sun full-sun | water moderate | tags [yellow, reblooming, fragrant]
- daylily-pardon-me | "Pardon Me" | Hemerocallis 'Pardon Me' | Perennial | H 0.45m x W 0.5m | 2y | bloom Jun-Sep #b8323a | zones 3-9 | sun full-sun | water moderate | tags [red, crimson, reblooming, dwarf]
- daylily-hyperion | "Hyperion" | Hemerocallis 'Hyperion' | Perennial | H 1m x W 0.7m | 2y | bloom Jun-Aug #f3df6a | zones 3-9 | sun full-sun | water moderate | tags [yellow, fragrant, tall, classic]
- daylily-chicago-apache | "Chicago Apache" | Hemerocallis 'Chicago Apache' | Perennial | H 0.7m x W 0.6m | 2y | bloom Jul-Aug #c02830 | zones 3-9 | sun full-sun | water moderate | tags [red, scarlet]
- daylily-catherine-woodbery | "Catherine Woodbery" | Hemerocallis 'Catherine Woodbery' | Perennial | H 0.8m x W 0.6m | 2y | bloom Jun-Aug #d49ac0 | zones 3-9 | sun full-sun | water moderate | tags [pink, lavender, purple, fragrant]
- daylily-joan-senior | "Joan Senior" | Hemerocallis 'Joan Senior' | Perennial | H 0.6m x W 0.6m | 2y | bloom Jun-Aug #f4eedd | zones 3-9 | sun full-sun | water moderate | tags [white, cream, reblooming]
- daylily-strawberry-candy | "Strawberry Candy" | Hemerocallis 'Strawberry Candy' | Perennial | H 0.6m x W 0.5m | 2y | bloom Jun-Aug #ef8a8e | zones 3-9 | sun full-sun | water moderate | tags [pink, red, reblooming]
- daylily-bela-lugosi | "Bela Lugosi" | Hemerocallis 'Bela Lugosi' | Perennial | H 0.75m x W 0.6m | 2y | bloom Jul-Aug #5a3270 | zones 3-9 | sun full-sun | water moderate | tags [purple]
- daylily-frans-hals | "Frans Hals" | Hemerocallis 'Frans Hals' | Perennial | H 0.65m x W 0.6m | 2y | bloom Jul-Aug #e8742a | zones 3-9 | sun full-sun | water moderate | tags [orange, yellow, bicolor]
- daylily-apricot-sparkles | "Apricot Sparkles" | Hemerocallis 'Apricot Sparkles' | Perennial | H 0.4m x W 0.45m | 2y | bloom Jun-Sep #f2b07e | zones 3-9 | sun full-sun | water moderate | tags [apricot, reblooming, dwarf]
- daylily-going-bananas | "Going Bananas" | Hemerocallis 'Going Bananas' | Perennial | H 0.5m x W 0.5m | 2y | bloom Jun-Sep #f3d83e | zones 3-9 | sun full-sun | water moderate | tags [yellow, reblooming, fragrant]
- daylily-purple-de-oro | "Purple de Oro" | Hemerocallis 'Purple de Oro' | Perennial | H 0.4m x W 0.45m | 2y | bloom Jun-Sep #7a4a93 | zones 3-9 | sun full-sun | water moderate | tags [purple, reblooming, dwarf]
- daylily-ruby-stella | "Ruby Stella" | Hemerocallis 'Ruby Stella' | Perennial | H 0.4m x W 0.45m | 2y | bloom Jun-Sep #a8283a | zones 3-9 | sun full-sun | water moderate | tags [red, reblooming, dwarf]
- daylily-el-desperado | "El Desperado" | Hemerocallis 'El Desperado' | Perennial | H 0.7m x W 0.6m | 2y | bloom Jul-Aug #f0c83e | zones 3-9 | sun full-sun | water moderate | tags [yellow, purple, bicolor]
- iris-bearded | "Bearded Iris" | Iris germanica | Perennial | H 0.8m x W 0.4m | 2y | bloom May-Jun #7e5fae | zones 3-9 | sun full-sun | water moderate | tags [purple, fragrant]
- coneflower | "Purple Coneflower" | Echinacea purpurea | Perennial | H 0.9m x W 0.5m | 2y | bloom Jul-Sep #c85a8e | zones 3-9 | sun full-sun | water low | tags [pink, pollinator, native, drought tolerant]
- coneflower-magnus | "Magnus" | Echinacea purpurea 'Magnus' | Perennial | H 0.9m x W 0.5m | 2y | bloom Jul-Sep #b5538f | zones 3-9 | sun full-sun | water low | tags [purple, pink, pollinator, native, drought tolerant]
- coneflower-white-swan | "White Swan" | Echinacea purpurea 'White Swan' | Perennial | H 0.8m x W 0.5m | 2y | bloom Jul-Sep #f2efe4 | zones 3-9 | sun full-sun | water low | tags [white, pollinator, drought tolerant]
- coneflower-powwow-wild-berry | "PowWow Wild Berry" | Echinacea 'PowWow Wild Berry' | Perennial | H 0.55m x W 0.4m | 2y | bloom Jun-Sep #c43a78 | zones 3-8 | sun full-sun | water low | tags [magenta, pink, pollinator, drought tolerant]
- coneflower-cheyenne-spirit | "Cheyenne Spirit" | Echinacea 'Cheyenne Spirit' | Perennial | H 0.6m x W 0.5m | 2y | bloom Jun-Sep #e08038 | zones 4-9 | sun full-sun | water low | tags [orange, red, yellow, mix, pollinator, drought tolerant]
