- black-eyed-susan-american-gold-rush | "American Gold Rush" | Rudbeckia 'American Gold Rush' | Perennial | H 0.6m x W 0.6m | 2y | bloom Jul-Sep #f2b01e | zones 4-9 | sun full-sun | water low | tags [yellow, gold, pollinator, native, drought tolerant]
- black-eyed-susan-indian-summer | "Indian Summer" | Rudbeckia hirta 'Indian Summer' | Perennial | H 0.9m x W 0.5m | 2y | bloom Jul-Sep #f4b81e | zones 3-7 | sun full-sun | water low | tags [yellow, gold, pollinator, drought tolerant]
- black-eyed-susan-cherry-brandy | "Cherry Brandy" | Rudbeckia hirta 'Cherry Brandy' | Perennial | H 0.6m x W 0.4m | 1y | bloom Jul-Sep #9e2a32 | zones 4-9 | sun full-sun | water low | tags [red, burgundy, pollinator, drought tolerant]
- black-eyed-susan-prairie-sun | "Prairie Sun" | Rudbeckia hirta 'Prairie Sun' | Perennial | H 0.8m x W 0.5m | 1y | bloom Jul-Sep #f6c83a | zones 3-7 | sun full-sun | water low | tags [yellow, pollinator, drought tolerant]
- black-eyed-susan-denver-daisy | "Denver Daisy" | Rudbeckia hirta 'Denver Daisy' | Perennial | H 0.6m x W 0.5m | 1y | bloom Jul-Sep #f0a020 | zones 3-7 | sun full-sun | water low | tags [yellow, gold, pollinator, drought tolerant]
- black-eyed-susan-autumn-colors | "Autumn Colors" | Rudbeckia hirta 'Autumn Colors' | Perennial | H 0.6m x W 0.4m | 1y | bloom Jul-Sep #d6802a | zones 3-7 | sun full-sun | water low | tags [orange, bronze, pollinator, drought tolerant]
- black-eyed-susan-goldilocks | "Goldilocks" | Rudbeckia hirta 'Goldilocks' | Perennial | H 0.6m x W 0.4m | 1y | bloom Jul-Sep #f2b01e | zones 5-9 | sun full-sun | water low | tags [yellow, gold, double, drought tolerant]
- black-eyed-susan-toto-gold | "Toto Gold" | Rudbeckia hirta 'Toto Gold' | Perennial | H 0.35m x W 0.3m | 1y | bloom Jul-Sep #f4b81e | zones 5-9 | sun full-sun | water low | tags [yellow, gold, drought tolerant]
- shasta-daisy | "Shasta Daisy" | Leucanthemum | Perennial | H 0.8m x W 0.5m | 2y | bloom Jun-Aug #fbfbfb | zones 5-9 | sun full-sun | water moderate | tags [white]
- shasta-daisy-becky | "Becky" | Leucanthemum × superbum 'Becky' | Perennial | H 0.9m x W 0.6m | 2y | bloom Jun-Sep #fcfcfa | zones 5-9 | sun full-sun | water moderate | tags [white]
- shasta-daisy-alaska | "Alaska" | Leucanthemum × superbum 'Alaska' | Perennial | H 0.7m x W 0.5m | 2y | bloom Jun-Aug #fbfbf8 | zones 4-9 | sun full-sun | water moderate | tags [white]
- shasta-daisy-snowcap | "Snowcap" | Leucanthemum × superbum 'Snowcap' | Perennial | H 0.4m x W 0.4m | 2y | bloom Jun-Aug #fcfcfa | zones 5-9 | sun full-sun | water moderate | tags [white]
- shasta-daisy-banana-cream | "Banana Cream" | Leucanthemum × superbum 'Banana Cream' | Perennial | H 0.45m x W 0.5m | 2y | bloom Jun-Sep #f4e8a0 | zones 5-9 | sun full-sun | water moderate | tags [yellow, cream]
- shasta-daisy-crazy-daisy | "Crazy Daisy" | Leucanthemum × superbum 'Crazy Daisy' | Perennial | H 0.7m x W 0.5m | 2y | bloom Jun-Aug #fafaf6 | zones 5-9 | sun full-sun | water moderate | tags [white, double]
- shasta-daisy-snow-lady | "Snow Lady" | Leucanthemum × superbum 'Snow Lady' | Perennial | H 0.3m x W 0.3m | 2y | bloom Jun-Aug #fbfbf8 | zones 5-9 | sun full-sun | water moderate | tags [white]
- coreopsis | "Coreopsis" | Coreopsis | Perennial | H 0.6m x W 0.5m | 2y | bloom Jun-Sep #f5c518 | zones 4-9 | sun full-sun | water low | tags [yellow, pollinator, drought tolerant]
- coreopsis-moonbeam | "Moonbeam" | Coreopsis verticillata 'Moonbeam' | Perennial | H 0.5m x W 0.5m | 2y | bloom Jun-Sep #f4e07a | zones 3-9 | sun full-sun | water low | tags [yellow, pollinator, drought tolerant]
- coreopsis-zagreb | "Zagreb" | Coreopsis verticillata 'Zagreb' | Perennial | H 0.4m x W 0.4m | 2y | bloom Jun-Sep #f4b81e | zones 3-9 | sun full-sun | water low | tags [yellow, gold, pollinator, drought tolerant]
- coreopsis-early-sunrise | "Early Sunrise" | Coreopsis grandiflora 'Early Sunrise' | Perennial | H 0.5m x W 0.5m | 2y | bloom Jun-Sep #f0a81e | zones 4-9 | sun full-sun | water low | tags [yellow, gold, pollinator, drought tolerant]
- coreopsis-creme-brulee | "Crème Brûlée" | Coreopsis verticillata 'Crème Brûlée' | Perennial | H 0.6m x W 0.6m | 2y | bloom Jun-Sep #f4d85a | zones 4-9 | sun full-sun | water low | tags [yellow, pollinator, drought tolerant]
- coreopsis-mercury-rising | "Mercury Rising" | Coreopsis 'Mercury Rising' | Perennial | H 0.4m x W 0.4m | 2y | bloom Jun-Sep #a82838 | zones 5-9 | sun full-sun | water low | tags [red, burgundy, pollinator, drought tolerant]
- coreopsis-route-66 | "Route 66" | Coreopsis 'Route 66' | Perennial | H 0.6m x W 0.5m | 2y | bloom Jun-Sep #e8b020 | zones 5-9 | sun full-sun | water low | tags [yellow, red, bicolor, pollinator, drought tolerant]
- coreopsis-sienna-sunset | "Sienna Sunset" | Coreopsis 'Sienna Sunset' | Perennial | H 0.4m x W 0.4m | 2y | bloom Jun-Sep #e0763a | zones 5-9 | sun full-sun | water low | tags [orange, coral, pollinator, drought tolerant]
- coreopsis-pink-sapphire | "Pink Sapphire" | Coreopsis 'Pink Sapphire' | Perennial | H 0.35m x W 0.4m | 2y | bloom Jun-Sep #e87aa8 | zones 5-9 | sun full-sun | water moderate | tags [pink, pollinator]
- coreopsis-pumpkin-pie | "Pumpkin Pie" | Coreopsis 'Pumpkin Pie' | Perennial | H 0.4m x W 0.4m | 2y | bloom Jun-Sep #e88a3a | zones 5-9 | sun full-sun | water low | tags [orange, yellow, pollinator, drought tolerant]
- coreopsis-red-satin | "Red Satin" | Coreopsis 'Red Satin' | Perennial | H 0.5m x W 0.4m | 2y | bloom Jun-Sep #c2283a | zones 4-9 | sun full-sun | water low | tags [red, cut flower, pollinator, drought tolerant]
