- hardy-hibiscus-cranberry-crush | "Cranberry Crush" | Hibiscus 'Cranberry Crush' | Perennial | H 1.1m x W 1m | 2y | bloom Jul-Sep #b0283e | zones 5-9 | sun full-sun | water high | tags [red, burgundy, large]
- hardy-hibiscus-luna-white | "Luna White" | Hibiscus moscheutos 'Luna White' | Perennial | H 0.8m x W 0.6m | 2y | bloom Jul-Sep #f2ece2 | zones 5-9 | sun full-sun | water high | tags [white, bicolor, large]
- hardy-hibiscus-luna-pink-swirl | "Luna Pink Swirl" | Hibiscus moscheutos 'Luna Pink Swirl' | Perennial | H 0.8m x W 0.6m | 2y | bloom Jul-Sep #e88ab0 | zones 5-9 | sun full-sun | water high | tags [pink, white, bicolor, large]
- hardy-hibiscus-kopper-king | "Kopper King" | Hibiscus 'Kopper King' | Perennial | H 1.1m x W 1m | 2y | bloom Jul-Sep #f0b0c0 | zones 5-9 | sun full-sun | water high | tags [pink, white, bicolor, large]
- hardy-hibiscus-cherry-choco-latte | "Cherry Choco Latte" | Hibiscus 'Cherry Choco Latte' | Perennial | H 1.2m x W 1.1m | 2y | bloom Jul-Sep #e06a9a | zones 5-9 | sun full-sun | water high | tags [pink, red, bicolor, large]
- hardy-hibiscus-holy-grail | "Holy Grail" | Hibiscus 'Holy Grail' | Perennial | H 1.2m x W 1m | 2y | bloom Jul-Sep #c2222e | zones 5-9 | sun full-sun | water high | tags [red, large]
- hardy-hibiscus-summer-storm | "Summer Storm" | Hibiscus 'Summer Storm' | Perennial | H 1.2m x W 1.1m | 2y | bloom Jul-Sep #e07aa8 | zones 5-9 | sun full-sun | water high | tags [pink, large]
- joe-pye-weed | "Joe Pye Weed" | Eutrochium | Perennial | H 1.8m x W 0.9m | 2y | bloom Jul-Sep #b06f9e | zones 4-9 | sun full-sun | water high | tags [pink, native, pollinator, tall]
- butterfly-weed | "Butterfly Weed" | Asclepias tuberosa | Perennial | H 0.6m x W 0.4m | 2y | bloom Jun-Aug #f08a2c | zones 3-9 | sun full-sun | water low | tags [orange, native, pollinator, drought tolerant]
- bluestar | "Bluestar" | Amsonia | Perennial | H 0.9m x W 0.8m | 3y | bloom Apr-May #9fb6e0 | zones 3-9 | sun full-sun | water moderate | tags [blue, native, fall color]
- brunnera | "Brunnera" | Brunnera macrophylla | Perennial | H 0.4m x W 0.5m | 2y | bloom Apr-May #6f8fd6 | zones 3-8 | sun part-shade | water moderate | tags [blue, foliage]
- lungwort | "Lungwort" | Pulmonaria | Perennial | H 0.3m x W 0.5m | 2y | bloom Mar-May #8f6fc6 | zones 3-8 | sun part-shade | water moderate | tags [purple, early]
- helenium | "Sneezeweed" | Helenium | Perennial | H 1m x W 0.5m | 2y | bloom Jul-Sep #e0641f | zones 3-8 | sun full-sun | water moderate | tags [orange, pollinator]
- solomons-seal | "Solomon's Seal" | Polygonatum | Perennial | H 0.7m x W 0.5m | 3y | bloom May-May #fbfbf2 | zones 3-8 | sun part-shade | water moderate | tags [white, native]
- virginia-bluebells | "Virginia Bluebells" | Mertensia virginica | Perennial | H 0.5m x W 0.4m | 2y | bloom Apr-May #6f8fd6 | zones 3-8 | sun part-shade | water moderate | tags [blue, native]
- cardinal-flower | "Cardinal Flower" | Lobelia cardinalis | Perennial | H 1m x W 0.4m | 2y | bloom Jul-Sep #d6281f | zones 3-9 | sun part-sun | water high | tags [red, native, pollinator]
- sea-thrift | "Sea Thrift" | Armeria maritima | Perennial | H 0.2m x W 0.3m | 2y | bloom Apr-Jun #e07fa8 | zones 4-8 | sun full-sun | water low | tags [pink, edging, drought tolerant]
- candytuft | "Candytuft" | Iberis sempervirens | Perennial | H 0.25m x W 0.5m | 2y | bloom Apr-May #fbfbfb | zones 3-9 | sun full-sun | water low | tags [white, evergreen, edging, drought tolerant]
- siberian-iris | "Siberian Iris" | Iris sibirica | Perennial | H 0.8m x W 0.5m | 2y | bloom May-Jun #6f5fb0 | zones 3-9 | sun full-sun | water moderate | tags [purple, easy]
- hollyhock | "Hollyhock" | Alcea rosea | Perennial | H 1.8m x W 0.6m | 2y | bloom Jun-Aug #d85a8e | zones 3-8 | sun full-sun | water moderate | tags [pink, cottage, tall]
- hollyhock-red | "Chater's Double Red" | Alcea rosea 'Chater's Double Red' | Perennial | H 1.9m x W 0.6m | 2y | bloom Jun-Aug #c0283a | zones 3-8 | sun full-sun | water moderate | tags [red, cottage, double, tall]
- hollyhock-white | "Chater's Double White" | Alcea rosea 'Chater's Double White' | Perennial | H 1.9m x W 0.6m | 2y | bloom Jun-Aug #f4f2ea | zones 3-8 | sun full-sun | water moderate | tags [white, cottage, double, tall]
- hollyhock-yellow | "Chater's Double Yellow" | Alcea rosea 'Chater's Double Yellow' | Perennial | H 1.9m x W 0.6m | 2y | bloom Jun-Aug #f2cc3a | zones 3-8 | sun full-sun | water moderate | tags [yellow, cottage, double, tall]
- hollyhock-purple | "Chater's Double Violet" | Alcea rosea 'Chater's Double Violet' | Perennial | H 1.9m x W 0.6m | 2y | bloom Jun-Aug #7a3a8e | zones 3-8 | sun full-sun | water moderate | tags [purple, cottage, double, tall]
- hollyhock-nigra | "Nigra" | Alcea rosea 'Nigra' | Perennial | H 1.8m x W 0.6m | 2y | bloom Jun-Aug #3a1a28 | zones 3-8 | sun full-sun | water moderate | tags [burgundy, purple, cottage, tall]
- hollyhock-creme-de-cassis | "Crème de Cassis" | Alcea rosea 'Creme de Cassis' | Perennial | H 1.8m x W 0.6m | 2y | bloom Jun-Aug #9e2a5a | zones 3-8 | sun full-sun | water moderate | tags [magenta, burgundy, cottage, tall]
- monkshood | "Monkshood" | Aconitum | Perennial | H 1.2m x W 0.4m | 3y | bloom Aug-Sep #5a4b9e | zones 3-7 | sun part-sun | water moderate | tags [purple]
- mullein | "Mullein" | Verbascum | Perennial | H 1.2m x W 0.4m | 2y | bloom Jun-Aug #f0d44a | zones 5-9 | sun full-sun | water low | tags [yellow, vertical, drought tolerant]
- balloon-flower | "Balloon Flower" | Platycodon | Perennial | H 0.6m x W 0.4m | 2y | bloom Jul-Aug #5f6fc0 | zones 3-8 | sun full-sun | water moderate | tags [blue]
- balloon-flower-fuji-white | "Fuji White" | Platycodon grandiflorus 'Fuji White' | Perennial | H 0.6m x W 0.4m | 2y | bloom Jul-Aug #f4f2ea | zones 3-8 | sun full-sun | water moderate | tags [white]
- balloon-flower-fuji-pink | "Fuji Pink" | Platycodon grandiflorus 'Fuji Pink' | Perennial | H 0.6m x W 0.4m | 2y | bloom Jul-Aug #e89ab8 | zones 3-8 | sun full-sun | water moderate | tags [pink]
- balloon-flower-sentimental-blue | "Sentimental Blue" | Platycodon grandiflorus 'Sentimental Blue' | Perennial | H 0.2m x W 0.3m | 2y | bloom Jul-Aug #4f5fb8 | zones 3-8 | sun full-sun | water moderate | tags [blue]
- balloon-flower-astra-double-blue | "Astra Double Blue" | Platycodon grandiflorus 'Astra Double Blue' | Perennial | H 0.25m x W 0.3m | 2y | bloom Jul-Aug #5060c0 | zones 3-8 | sun full-sun | water moderate | tags [blue, double]
- balloon-flower-komachi | "Komachi" | Platycodon grandiflorus 'Komachi' | Perennial | H 0.5m x W 0.4m | 2y | bloom Jul-Aug #6a5fc0 | zones 3-8 | sun full-sun | water moderate | tags [purple, blue]
- pincushion-flower | "Pincushion Flower" | Scabiosa | Perennial | H 0.5m x W 0.4m | 2y | bloom Jun-Sep #8f8fd6 | zones 3-7 | sun full-sun | water moderate | tags [blue, pollinator]
