- meadow-rue | "Meadow Rue" | Thalictrum | Perennial | H 1.2m x W 0.5m | 2y | bloom Jun-Jul #c89fd6 | zones 4-8 | sun part-shade | water moderate | tags [purple, airy, tall]
- sea-holly | "Sea Holly" | Eryngium | Perennial | H 0.7m x W 0.4m | 2y | bloom Jun-Aug #6f8fc6 | zones 4-9 | sun full-sun | water low | tags [blue, architectural, drought, drought tolerant]
- ladys-mantle | "Lady's Mantle" | Alchemilla mollis | Perennial | H 0.4m x W 0.6m | 2y | bloom May-Jul #c0d04a | zones 3-8 | sun part-shade | water moderate | tags [chartreuse, edging]
- pachysandra | "Pachysandra" | Pachysandra terminalis | Perennial | H 0.2m x W 0.4m | 2y | bloom Apr-May #f2f5ee | zones 4-8 | sun full-shade | water moderate | tags [foliage, groundcover, evergreen]
- periwinkle | "Periwinkle" | Vinca minor | Perennial | H 0.15m x W 0.5m | 2y | bloom Apr-Jun #6f7fc6 | zones 4-9 | sun part-shade | water low | tags [blue, groundcover, evergreen, drought tolerant]
- lamium | "Dead Nettle" | Lamium maculatum | Perennial | H 0.2m x W 0.5m | 2y | bloom May-Jul #d68fc6 | zones 3-8 | sun part-shade | water moderate | tags [pink, groundcover, silver]
- sweet-woodruff | "Sweet Woodruff" | Galium odoratum | Perennial | H 0.2m x W 0.4m | 2y | bloom May-Jun #fbfbfb | zones 4-8 | sun full-shade | water moderate | tags [white, groundcover, fragrant]
- epimedium | "Barrenwort" | Epimedium | Perennial | H 0.3m x W 0.4m | 2y | bloom Apr-May #f0d44a | zones 4-8 | sun part-shade | water moderate | tags [yellow, groundcover]
- agastache-apricot-sprite | "Agastache 'Apricot Sprite'" | Agastache 'Apricot Sprite' | Perennial | H 0.5m x W 0.4m | 1y | bloom Jun-Oct #e89b6b | zones 6-11 | sun full-sun | water low | tags [apricot, peach, orange, agastache, hyssop, compact, fragrant, drought tolerant]
- agastache-firebird | "Agastache 'Firebird'" | Agastache 'Firebird' | Perennial | H 0.6m x W 0.45m | 1y | bloom Jun-Oct #d84830 | zones 6-11 | sun full-sun | water low | tags [red, coral, agastache, hyssop, fragrant, drought tolerant, bee friendly]
- autumn-sun-coneflower | "Autumn Sun Coneflower" | Rudbeckia nitida 'Autumn Sun' | Perennial | H 1.2m x W 0.6m | 2y | bloom Aug-Oct #ffd700 | zones 4-9 | sun full-sun | water moderate | tags [yellow, gold, rudbeckia, black-eyed susan, tall, daisy-like, late blooming]
