- peony-bartzella | "Bartzella" | Paeonia 'Bartzella' | Perennial | H 0.8m x W 1m | 3y | bloom May-Jun #f4dd5a | zones 3-8 | sun full-sun | water moderate | tags [yellow, itoh, fragrant]
- peony-shirley-temple | "Shirley Temple" | Paeonia 'Shirley Temple' | Perennial | H 0.9m x W 0.9m | 3y | bloom May-Jun #f3dde0 | zones 3-8 | sun full-sun | water moderate | tags [pink, blush, white, double, fragrant]
- peony-red-charm | "Red Charm" | Paeonia 'Red Charm' | Perennial | H 0.85m x W 0.9m | 3y | bloom May-Jun #b02030 | zones 3-8 | sun full-sun | water moderate | tags [red, double, fragrant, cut flower]
- peony-monsieur-jules-elie | "Monsieur Jules Elie" | Paeonia 'Monsieur Jules Elie' | Perennial | H 0.9m x W 0.9m | 3y | bloom May-Jun #e89ab8 | zones 3-8 | sun full-sun | water moderate | tags [pink, double, fragrant, cut flower]
- peony-coral-sunset | "Coral Sunset" | Paeonia 'Coral Sunset' | Perennial | H 0.9m x W 0.9m | 3y | bloom May-Jun #f0916a | zones 3-8 | sun full-sun | water moderate | tags [coral, orange, peach, semi-double]
- peony-kansas | "Kansas" | Paeonia 'Kansas' | Perennial | H 0.9m x W 0.9m | 3y | bloom May-Jun #cc3458 | zones 3-8 | sun full-sun | water moderate | tags [red, pink, double, cut flower]
- peony-gardenia | "Gardenia" | Paeonia 'Gardenia' | Perennial | H 0.85m x W 0.9m | 3y | bloom May-Jun #f5eee4 | zones 3-8 | sun full-sun | water moderate | tags [white, blush, double, fragrant]
- peony-pink-hawaiian-coral | "Pink Hawaiian Coral" | Paeonia 'Pink Hawaiian Coral' | Perennial | H 0.9m x W 0.9m | 3y | bloom May-Jun #f08a8a | zones 3-8 | sun full-sun | water moderate | tags [coral, pink, semi-double, fragrant]
- peony-do-tell | "Do Tell" | Paeonia 'Do Tell' | Perennial | H 0.85m x W 0.9m | 3y | bloom May-Jun #f0b8cc | zones 3-8 | sun full-sun | water moderate | tags [pink, blush, fragrant]
- bee-balm | "Bee Balm" | Monarda | Perennial | H 0.9m x W 0.6m | 2y | bloom Jul-Aug #d6402e | zones 3-9 | sun full-sun | water moderate | tags [red, pollinator, fragrant]
- bee-balm-jacob-cline | "Jacob Cline" | Monarda didyma 'Jacob Cline' | Perennial | H 1.2m x W 0.9m | 2y | bloom Jul-Sep #cc2e26 | zones 3-9 | sun full-sun | water moderate | tags [red, pollinator, fragrant]
- bee-balm-raspberry-wine | "Raspberry Wine" | Monarda 'Raspberry Wine' | Perennial | H 1m x W 0.7m | 2y | bloom Jul-Sep #9e2848 | zones 3-9 | sun full-sun | water moderate | tags [red, magenta, pollinator, fragrant]
- bee-balm-marshalls-delight | "Marshall's Delight" | Monarda 'Marshall's Delight' | Perennial | H 0.9m x W 0.6m | 2y | bloom Jul-Sep #e0508e | zones 3-9 | sun full-sun | water moderate | tags [pink, magenta, pollinator, fragrant]
- bee-balm-gardenview-scarlet | "Gardenview Scarlet" | Monarda 'Gardenview Scarlet' | Perennial | H 0.9m x W 0.6m | 2y | bloom Jul-Sep #e0382e | zones 3-9 | sun full-sun | water moderate | tags [red, scarlet, pollinator, fragrant]
- bee-balm-snow-white | "Snow White" | Monarda 'Schneewittchen' | Perennial | H 0.9m x W 0.6m | 2y | bloom Jul-Sep #f2f0e8 | zones 3-9 | sun full-sun | water moderate | tags [white, pollinator, fragrant]
- bee-balm-purple-rooster | "Purple Rooster" | Monarda 'Purple Rooster' | Perennial | H 0.9m x W 0.6m | 2y | bloom Jul-Sep #7a3a9e | zones 3-9 | sun full-sun | water moderate | tags [purple, violet, pollinator, fragrant]
- bee-balm-claire-grace | "Claire Grace" | Monarda fistulosa 'Claire Grace' | Perennial | H 0.9m x W 0.6m | 2y | bloom Jul-Sep #b08ac8 | zones 3-9 | sun full-sun | water moderate | tags [lavender, purple, pollinator, fragrant]
- bee-balm-pardon-my-cerise | "Pardon My Cerise" | Monarda didyma 'Pardon My Cerise' | Perennial | H 0.3m x W 0.3m | 2y | bloom Jul-Sep #d22e5e | zones 3-9 | sun full-sun | water moderate | tags [magenta, red, pink, dwarf, pollinator]
- bee-balm-pardon-my-purple | "Pardon My Purple" | Monarda didyma 'Pardon My Purple' | Perennial | H 0.3m x W 0.3m | 2y | bloom Jul-Sep #8a4aae | zones 3-9 | sun full-sun | water moderate | tags [purple, violet, dwarf, pollinator]
- bee-balm-rockin-raspberry | "Rockin' Raspberry" | Monarda 'Rockin' Raspberry' | Perennial | H 0.6m x W 0.5m | 2y | bloom Jul-Sep #b0386e | zones 3-9 | sun full-sun | water moderate | tags [magenta, purple, pink, pollinator]
- bee-balm-grand-marshall | "Grand Marshall" | Monarda 'Grand Marshall' | Perennial | H 0.8m x W 0.6m | 2y | bloom Jul-Sep #a83a8e | zones 3-9 | sun full-sun | water moderate | tags [magenta, purple, pink, pollinator]
- phlox | "Garden Phlox" | Phlox paniculata | Perennial | H 1m x W 0.6m | 2y | bloom Jul-Sep #e07ab0 | zones 4-8 | sun full-sun | water moderate | tags [pink, fragrant]
- phlox-david | "David" | Phlox paniculata 'David' | Perennial | H 1m x W 0.6m | 2y | bloom Jul-Sep #f4f2ea | zones 4-8 | sun full-sun | water moderate | tags [white, fragrant]
- phlox-jeana | "Jeana" | Phlox paniculata 'Jeana' | Perennial | H 1.2m x W 0.6m | 2y | bloom Jul-Sep #d488b8 | zones 4-8 | sun full-sun | water moderate | tags [pink, lavender, fragrant, pollinator]
- phlox-bright-eyes | "Bright Eyes" | Phlox paniculata 'Bright Eyes' | Perennial | H 0.9m x W 0.6m | 2y | bloom Jul-Sep #f0a8c8 | zones 4-8 | sun full-sun | water moderate | tags [pink, bicolor, fragrant]
- phlox-laura | "Laura" | Phlox paniculata 'Laura' | Perennial | H 0.9m x W 0.6m | 2y | bloom Jul-Sep #a84a9e | zones 4-8 | sun full-sun | water moderate | tags [purple, magenta, bicolor, fragrant]
