- sedum-brilliant | "Brilliant Sedum" | Hylotelephium spectabile 'Brilliant' | Perennial | H 0.5m x W 0.5m | 2y | bloom Aug-Oct #d6588e | zones 3-9 | sun full-sun | water low | tags [pink, rose, drought tolerant]
- sedum-matrona | "Matrona" | Hylotelephium 'Matrona' | Perennial | H 0.6m x W 0.5m | 2y | bloom Aug-Oct #d68aa0 | zones 3-9 | sun full-sun | water low | tags [pink, drought tolerant]
- sedum-purple-emperor | "Purple Emperor" | Hylotelephium 'Purple Emperor' | Perennial | H 0.4m x W 0.5m | 2y | bloom Aug-Oct #c0607a | zones 3-9 | sun full-sun | water low | tags [pink, purple, drought tolerant]
- sedum-neon | "Neon Sedum" | Hylotelephium spectabile 'Neon' | Perennial | H 0.5m x W 0.5m | 2y | bloom Aug-Oct #d63a86 | zones 3-9 | sun full-sun | water low | tags [magenta, pink, drought tolerant]
- sedum-autumn-fire | "Autumn Fire" | Hylotelephium 'Autumn Fire' | Perennial | H 0.5m x W 0.5m | 2y | bloom Aug-Oct #c84a52 | zones 3-9 | sun full-sun | water low | tags [red, rust, pink, drought tolerant]
- sedum-frosty-morn | "Frosty Morn" | Hylotelephium 'Frosty Morn' | Perennial | H 0.4m x W 0.4m | 2y | bloom Aug-Oct #e8b0c0 | zones 3-9 | sun full-sun | water low | tags [pink, white, drought tolerant]
- sedum-thunderhead | "Thunderhead" | Hylotelephium 'Thunderhead' | Perennial | H 0.6m x W 0.5m | 2y | bloom Aug-Oct #c03a5a | zones 3-9 | sun full-sun | water low | tags [red, pink, drought tolerant]
- sedum-mr-goodbud | "Mr. Goodbud" | Hylotelephium 'Mr. Goodbud' | Perennial | H 0.5m x W 0.5m | 2y | bloom Aug-Oct #c44a7e | zones 3-9 | sun full-sun | water low | tags [pink, purple, magenta, drought tolerant]
- aster | "Aster" | Symphyotrichum | Perennial | H 0.9m x W 0.6m | 2y | bloom Sep-Oct #8e6fc6 | zones 3-8 | sun full-sun | water moderate | tags [purple, pollinator]
- aster-purple-dome | "Purple Dome" | Symphyotrichum novae-angliae 'Purple Dome' | Perennial | H 0.6m x W 0.6m | 2y | bloom Sep-Oct #7a4aae | zones 3-8 | sun full-sun | water moderate | tags [purple, violet, pollinator]
- aster-alma-potschke | "Alma Pötschke" | Symphyotrichum novae-angliae 'Alma Pötschke' | Perennial | H 0.9m x W 0.6m | 2y | bloom Sep-Oct #e0507e | zones 3-8 | sun full-sun | water moderate | tags [pink, magenta, rose, pollinator]
- aster-woods-blue | "Wood's Blue" | Symphyotrichum dumosum 'Wood's Blue' | Perennial | H 0.4m x W 0.4m | 2y | bloom Sep-Oct #7a8ad0 | zones 4-8 | sun full-sun | water moderate | tags [blue, lavender, pollinator]
- aster-woods-pink | "Wood's Pink" | Symphyotrichum dumosum 'Wood's Pink' | Perennial | H 0.4m x W 0.4m | 2y | bloom Sep-Oct #e88ab8 | zones 4-8 | sun full-sun | water moderate | tags [pink, pollinator]
- aster-woods-purple | "Wood's Purple" | Symphyotrichum dumosum 'Wood's Purple' | Perennial | H 0.4m x W 0.4m | 2y | bloom Sep-Oct #8a5ab8 | zones 4-8 | sun full-sun | water moderate | tags [purple, violet, pollinator]
- aster-october-skies | "October Skies" | Symphyotrichum oblongifolium 'October Skies' | Perennial | H 0.5m x W 0.7m | 2y | bloom Sep-Oct #6a7ac8 | zones 3-8 | sun full-sun | water low | tags [blue, purple, pollinator, drought tolerant]
- aster-patricia-ballard | "Patricia Ballard" | Symphyotrichum novi-belgii 'Patricia Ballard' | Perennial | H 0.9m x W 0.6m | 2y | bloom Sep-Oct #c44a8e | zones 4-8 | sun full-sun | water moderate | tags [pink, magenta, purple, pollinator]
- aster-snow-flurry | "Snow Flurry" | Symphyotrichum ericoides 'Snow Flurry' | Perennial | H 0.2m x W 0.6m | 2y | bloom Sep-Oct #f2f0e8 | zones 3-8 | sun full-sun | water moderate | tags [white, pollinator]
- aster-kickin-carmine | "Kickin' Carmine Red" | Symphyotrichum 'Kickin Carmine Red' | Perennial | H 0.5m x W 0.5m | 2y | bloom Sep-Oct #c2284e | zones 4-8 | sun full-sun | water moderate | tags [red, magenta, pollinator]
