- hosta | "Hosta" | Hosta | Perennial | H 0.6m x W 0.9m | 3y | bloom (none) | zones 3-9 | sun full-shade | water moderate | tags [foliage, green]
- hosta-sum-and-substance | "Sum and Substance" | Hosta 'Sum and Substance' | Perennial | H 0.75m x W 1.5m | 3y | bloom (none) | zones 3-9 | sun part-shade | water moderate | tags [gold, chartreuse, giant, foliage]
- hosta-blue-angel | "Blue Angel" | Hosta 'Blue Angel' | Perennial | H 0.9m x W 1.2m | 3y | bloom (none) | zones 3-9 | sun full-shade | water moderate | tags [blue, giant, foliage]
- hosta-frances-williams | "Frances Williams" | Hosta 'Frances Williams' | Perennial | H 0.6m x W 1m | 3y | bloom (none) | zones 3-9 | sun part-shade | water moderate | tags [blue, gold, variegated, foliage]
- hosta-patriot | "Patriot" | Hosta 'Patriot' | Perennial | H 0.5m x W 0.9m | 3y | bloom (none) | zones 3-9 | sun part-shade | water moderate | tags [green, white, variegated, foliage]
- hosta-halcyon | "Halcyon" | Hosta 'Halcyon' | Perennial | H 0.45m x W 0.75m | 3y | bloom (none) | zones 3-9 | sun full-shade | water moderate | tags [blue, foliage]
- hosta-guacamole | "Guacamole" | Hosta 'Guacamole' | Perennial | H 0.55m x W 0.9m | 3y | bloom (none) | zones 3-9 | sun part-shade | water moderate | tags [gold, green, chartreuse, fragrant, foliage]
- hosta-june | "June" | Hosta 'June' | Perennial | H 0.4m x W 0.7m | 3y | bloom (none) | zones 3-9 | sun part-shade | water moderate | tags [gold, blue, variegated, foliage]
- hosta-francee | "Francee" | Hosta 'Francee' | Perennial | H 0.55m x W 0.9m | 3y | bloom (none) | zones 3-9 | sun part-shade | water moderate | tags [green, white, variegated, foliage]
- hosta-gold-standard | "Gold Standard" | Hosta 'Gold Standard' | Perennial | H 0.55m x W 0.9m | 3y | bloom (none) | zones 3-9 | sun part-shade | water moderate | tags [gold, green, variegated, foliage]
- hosta-empress-wu | "Empress Wu" | Hosta 'Empress Wu' | Perennial | H 1.2m x W 1.5m | 4y | bloom (none) | zones 3-9 | sun part-shade | water moderate | tags [green, giant, foliage]
- hosta-krossa-regal | "Krossa Regal" | Hosta 'Krossa Regal' | Perennial | H 0.9m x W 1m | 3y | bloom (none) | zones 3-9 | sun full-shade | water moderate | tags [blue, foliage]
- hosta-wide-brim | "Wide Brim" | Hosta 'Wide Brim' | Perennial | H 0.5m x W 0.8m | 3y | bloom (none) | zones 3-9 | sun part-shade | water moderate | tags [blue, cream, variegated, foliage]
- hosta-fire-and-ice | "Fire and Ice" | Hosta 'Fire and Ice' | Perennial | H 0.35m x W 0.6m | 3y | bloom (none) | zones 3-9 | sun full-shade | water moderate | tags [white, green, variegated, foliage]
- hosta-august-moon | "August Moon" | Hosta 'August Moon' | Perennial | H 0.5m x W 0.9m | 3y | bloom (none) | zones 3-9 | sun part-shade | water moderate | tags [gold, foliage]
- hosta-minuteman | "Minuteman" | Hosta 'Minuteman' | Perennial | H 0.5m x W 0.8m | 3y | bloom (none) | zones 3-9 | sun part-shade | water moderate | tags [green, white, variegated, foliage]
- astilbe | "Astilbe" | Astilbe | Perennial | H 0.6m x W 0.5m | 2y | bloom Jun-Jul #e07ab0 | zones 3-8 | sun part-shade | water high | tags [pink]
- astilbe-fanal | "Fanal" | Astilbe × arendsii 'Fanal' | Perennial | H 0.6m x W 0.5m | 2y | bloom Jun-Jul #a82832 | zones 3-8 | sun part-shade | water high | tags [red]
- astilbe-bridal-veil | "Bridal Veil" | Astilbe × arendsii 'Brautschleier' | Perennial | H 0.7m x W 0.5m | 2y | bloom Jun-Jul #f2efe6 | zones 3-8 | sun part-shade | water high | tags [white]
- astilbe-visions | "Visions" | Astilbe chinensis 'Visions' | Perennial | H 0.4m x W 0.4m | 2y | bloom Jun-Aug #cc4a7e | zones 3-8 | sun part-shade | water high | tags [pink, magenta]
- astilbe-deutschland | "Deutschland" | Astilbe japonica 'Deutschland' | Perennial | H 0.5m x W 0.4m | 2y | bloom Jun-Jul #f4f2ea | zones 3-8 | sun part-shade | water high | tags [white]
- astilbe-peach-blossom | "Peach Blossom" | Astilbe japonica 'Peach Blossom' | Perennial | H 0.5m x W 0.4m | 2y | bloom Jun-Jul #f0a890 | zones 3-8 | sun part-shade | water high | tags [coral, peach, pink]
- astilbe-montgomery | "Montgomery" | Astilbe japonica 'Montgomery' | Perennial | H 0.6m x W 0.5m | 2y | bloom Jun-Jul #b02838 | zones 3-8 | sun part-shade | water high | tags [red]
- astilbe-rheinland | "Rheinland" | Astilbe japonica 'Rheinland' | Perennial | H 0.6m x W 0.5m | 2y | bloom Jun-Jul #e885b0 | zones 3-8 | sun part-shade | water high | tags [pink]
- astilbe-purple-candles | "Purple Candles" | Astilbe chinensis 'Purpurlanze' | Perennial | H 1m x W 0.6m | 2y | bloom Jul-Aug #8a4aae | zones 3-8 | sun part-shade | water high | tags [purple, magenta]
- astilbe-amethyst | "Amethyst" | Astilbe × arendsii 'Amethyst' | Perennial | H 0.8m x W 0.5m | 2y | bloom Jun-Jul #a87ac4 | zones 3-8 | sun part-shade | water high | tags [purple, lavender]
- astilbe-sprite | "Sprite" | Astilbe simplicifolia 'Sprite' | Perennial | H 0.3m x W 0.4m | 2y | bloom Jul-Aug #f0b0c8 | zones 3-8 | sun part-shade | water high | tags [pink, dwarf]
- astilbe-red-sentinel | "Red Sentinel" | Astilbe × arendsii 'Red Sentinel' | Perennial | H 0.6m x W 0.5m | 2y | bloom Jun-Jul #c2283a | zones 3-8 | sun part-shade | water high | tags [red]
- hellebore | "Hellebore" | Helleborus | Perennial | H 0.4m x W 0.5m | 2y | bloom Feb-Apr #b66a8e | zones 4-9 | sun part-shade | water moderate | tags [early]
- hellebore-christmas-rose | "Christmas Rose" | Helleborus niger | Perennial | H 0.3m x W 0.4m | 2y | bloom Jan-Mar #f4f2ea | zones 4-9 | sun part-shade | water moderate | tags [white, early]
- hellebore-penny-pink | "Penny's Pink" | Helleborus × hybridus 'Penny's Pink' | Perennial | H 0.4m x W 0.5m | 2y | bloom Feb-Apr #d6588e | zones 4-9 | sun part-shade | water moderate | tags [pink]
- hellebore-anna-red | "Anna's Red" | Helleborus × hybridus 'Anna's Red' | Perennial | H 0.4m x W 0.5m | 2y | bloom Feb-Apr #a82846 | zones 4-9 | sun part-shade | water moderate | tags [red, magenta]
- hellebore-ivory-prince | "Ivory Prince" | Helleborus 'Ivory Prince' | Perennial | H 0.35m x W 0.4m | 2y | bloom Feb-Apr #f0e8d8 | zones 4-9 | sun part-shade | water moderate | tags [white, cream, pink]
- hellebore-onyx-odyssey | "Onyx Odyssey" | Helleborus × hybridus 'Onyx Odyssey' | Perennial | H 0.4m x W 0.5m | 2y | bloom Feb-Apr #3a2a44 | zones 4-9 | sun part-shade | water moderate | tags [purple]
- hellebore-golden-lotus | "Golden Lotus" | Helleborus × hybridus 'Golden Lotus' | Perennial | H 0.4m x W 0.5m | 2y | bloom Feb-Apr #e8d068 | zones 4-9 | sun part-shade | water moderate | tags [yellow]
