- hellebore-cinnamon-snow | "Cinnamon Snow" | Helleborus 'Cinnamon Snow' | Perennial | H 0.35m x W 0.4m | 2y | bloom Jan-Mar #f0dcc8 | zones 4-9 | sun part-shade | water moderate | tags [white, cream, peach]
- hellebore-pink-frost | "Pink Frost" | Helleborus 'Pink Frost' | Perennial | H 0.4m x W 0.4m | 2y | bloom Jan-Mar #e0a0b8 | zones 4-9 | sun part-shade | water moderate | tags [pink]
- hellebore-green | "Green Hellebore" | Helleborus × hybridus 'Green' | Perennial | H 0.4m x W 0.5m | 2y | bloom Feb-Apr #a8c088 | zones 4-9 | sun part-shade | water moderate | tags [green]
- hellebore-wedding-party | "Wedding Party" | Helleborus × hybridus 'Wedding Party' | Perennial | H 0.4m x W 0.5m | 2y | bloom Feb-Apr #f2f0e6 | zones 4-9 | sun part-shade | water moderate | tags [white]
- bleeding-heart | "Bleeding Heart" | Lamprocapnos spectabilis | Perennial | H 0.7m x W 0.6m | 2y | bloom Apr-Jun #ec7faa | zones 3-9 | sun part-shade | water moderate | tags [pink]
- bleeding-heart-alba | "Alba" | Lamprocapnos spectabilis 'Alba' | Perennial | H 0.7m x W 0.6m | 2y | bloom Apr-Jun #f4f2ea | zones 3-9 | sun part-shade | water moderate | tags [white]
- bleeding-heart-valentine | "Valentine" | Lamprocapnos spectabilis 'Valentine' | Perennial | H 0.7m x W 0.6m | 2y | bloom Apr-Jun #c83a4a | zones 3-9 | sun part-shade | water moderate | tags [red]
- bleeding-heart-gold-heart | "Gold Heart" | Lamprocapnos spectabilis 'Gold Heart' | Perennial | H 0.7m x W 0.6m | 2y | bloom Apr-Jun #ec7faa | zones 3-9 | sun part-shade | water moderate | tags [pink]
- bleeding-heart-king-of-hearts | "King of Hearts" | Dicentra 'King of Hearts' | Perennial | H 0.25m x W 0.4m | 2y | bloom May-Sep #d65a8e | zones 3-9 | sun part-shade | water moderate | tags [pink, rose]
- bleeding-heart-burning-hearts | "Burning Hearts" | Dicentra 'Burning Hearts' | Perennial | H 0.25m x W 0.4m | 2y | bloom May-Sep #d2384a | zones 3-9 | sun part-shade | water moderate | tags [red]
- columbine | "Columbine" | Aquilegia | Perennial | H 0.6m x W 0.4m | 2y | bloom Apr-Jun #7e5fae | zones 3-8 | sun part-shade | water moderate | tags [purple]
