- foxglove-pams-choice | "Pam's Choice" | Digitalis purpurea 'Pam's Choice' | Perennial | H 1.3m x W 0.4m | 2y | bloom May-Jul #f2ece2 | zones 4-8 | sun part-shade | water moderate | tags [white, bicolor]
- foxglove-grandiflora-yellow | "Yellow Foxglove" | Digitalis grandiflora | Perennial | H 0.8m x W 0.4m | 2y | bloom Jun-Aug #f0dc78 | zones 4-8 | sun part-shade | water moderate | tags [yellow]
- foxglove-purpurea | "Common Foxglove" | Digitalis purpurea | Perennial | H 1.4m x W 0.4m | 2y | bloom May-Jul #c45a9e | zones 4-8 | sun part-shade | water moderate | tags [purple, pink, magenta]
- delphinium | "Delphinium" | Delphinium | Perennial | H 1.4m x W 0.5m | 2y | bloom Jun-Jul #3f51b5 | zones 3-7 | sun full-sun | water moderate | tags [blue]
- delphinium-black-knight | "Black Knight" | Delphinium 'Black Knight' | Perennial | H 1.5m x W 0.5m | 2y | bloom Jun-Jul #3a2a7e | zones 3-7 | sun full-sun | water moderate | tags [purple, violet]
- delphinium-galahad | "Galahad" | Delphinium 'Galahad' | Perennial | H 1.5m x W 0.5m | 2y | bloom Jun-Jul #f4f2ea | zones 3-7 | sun full-sun | water moderate | tags [white]
- delphinium-king-arthur | "King Arthur" | Delphinium 'King Arthur' | Perennial | H 1.5m x W 0.5m | 2y | bloom Jun-Jul #5a3aa8 | zones 3-7 | sun full-sun | water moderate | tags [purple, violet]
- delphinium-blue-bird | "Blue Bird" | Delphinium 'Blue Bird' | Perennial | H 1.5m x W 0.5m | 2y | bloom Jun-Jul #4a6ad0 | zones 3-7 | sun full-sun | water moderate | tags [blue]
- delphinium-blue-jay | "Blue Jay" | Delphinium 'Blue Jay' | Perennial | H 1.5m x W 0.5m | 2y | bloom Jun-Jul #3a52c0 | zones 3-7 | sun full-sun | water moderate | tags [blue, purple]
- delphinium-astolat | "Astolat" | Delphinium 'Astolat' | Perennial | H 1.5m x W 0.5m | 2y | bloom Jun-Jul #c47ab0 | zones 3-7 | sun full-sun | water moderate | tags [pink, lavender, purple]
- delphinium-guinevere | "Guinevere" | Delphinium 'Guinevere' | Perennial | H 1.5m x W 0.5m | 2y | bloom Jun-Jul #b08ac8 | zones 3-7 | sun full-sun | water moderate | tags [lavender, pink, purple]
- delphinium-summer-skies | "Summer Skies" | Delphinium 'Summer Skies' | Perennial | H 1.5m x W 0.5m | 2y | bloom Jun-Jul #7a9ad8 | zones 3-7 | sun full-sun | water moderate | tags [blue]
- delphinium-magic-fountains-dark-blue | "Magic Fountains Dark Blue" | Delphinium 'Magic Fountains Dark Blue' | Perennial | H 0.8m x W 0.4m | 2y | bloom Jun-Jul #3a4ab0 | zones 3-7 | sun full-sun | water moderate | tags [blue, purple, dwarf]
- delphinium-magic-fountains-cherry | "Magic Fountains Cherry Blossom" | Delphinium 'Magic Fountains Cherry Blossom' | Perennial | H 0.8m x W 0.4m | 2y | bloom Jun-Jul #e88ab0 | zones 3-7 | sun full-sun | water moderate | tags [pink, dwarf]
- delphinium-blue-mirror | "Blue Mirror" | Delphinium grandiflorum 'Blue Mirror' | Perennial | H 0.4m x W 0.3m | 2y | bloom Jun-Aug #3a5ad0 | zones 3-7 | sun full-sun | water moderate | tags [blue, dwarf]
- lupine | "Lupine" | Lupinus | Perennial | H 0.9m x W 0.4m | 2y | bloom May-Jun #5e6fc6 | zones 4-8 | sun full-sun | water moderate | tags [purple]
- lupine-the-governor | "The Governor" | Lupinus 'The Governor' | Perennial | H 0.9m x W 0.4m | 2y | bloom May-Jun #4a5ac0 | zones 4-8 | sun full-sun | water moderate | tags [blue, white, bicolor]
- lupine-noble-maiden | "Noble Maiden" | Lupinus 'Noble Maiden' | Perennial | H 0.9m x W 0.4m | 2y | bloom May-Jun #f2f0e6 | zones 4-8 | sun full-sun | water moderate | tags [white, cream]
- lupine-the-pages | "The Pages" | Lupinus 'The Pages' | Perennial | H 0.9m x W 0.4m | 2y | bloom May-Jun #c2284e | zones 4-8 | sun full-sun | water moderate | tags [red, magenta, pink]
- lupine-chandelier | "Chandelier" | Lupinus 'Chandelier' | Perennial | H 0.9m x W 0.4m | 2y | bloom May-Jun #f0d048 | zones 4-8 | sun full-sun | water moderate | tags [yellow]
- lupine-my-castle | "My Castle" | Lupinus 'My Castle' | Perennial | H 0.9m x W 0.4m | 2y | bloom May-Jun #cc5a6e | zones 4-8 | sun full-sun | water moderate | tags [red, pink, rose]
- lupine-the-chatelaine | "The Chatelaine" | Lupinus 'The Chatelaine' | Perennial | H 0.9m x W 0.4m | 2y | bloom May-Jun #e888b0 | zones 4-8 | sun full-sun | water moderate | tags [pink, white, bicolor]
- lupine-gallery-blue | "Gallery Blue" | Lupinus 'Gallery Blue' | Perennial | H 0.5m x W 0.4m | 2y | bloom May-Jun #4a5ac8 | zones 4-8 | sun full-sun | water moderate | tags [blue, purple, dwarf]
- lupine-gallery-red | "Gallery Red" | Lupinus 'Gallery Red' | Perennial | H 0.5m x W 0.4m | 2y | bloom May-Jun #c83a4e | zones 4-8 | sun full-sun | water moderate | tags [red, pink, dwarf]
- lupine-gallery-white | "Gallery White" | Lupinus 'Gallery White' | Perennial | H 0.5m x W 0.4m | 2y | bloom May-Jun #f2f0ea | zones 4-8 | sun full-sun | water moderate | tags [white, dwarf]
- lupine-masterpiece | "Masterpiece" | Lupinus 'Masterpiece' | Perennial | H 0.9m x W 0.4m | 2y | bloom May-Jun #7a4aae | zones 4-8 | sun full-sun | water moderate | tags [purple, violet]
- lupine-manhattan-lights | "Manhattan Lights" | Lupinus 'Manhattan Lights' | Perennial | H 0.9m x W 0.4m | 2y | bloom May-Jun #7a5aae | zones 4-8 | sun full-sun | water moderate | tags [purple, yellow, bicolor]
- gaillardia | "Blanket Flower" | Gaillardia | Perennial | H 0.5m x W 0.4m | 2y | bloom Jun-Sep #e8642e | zones 3-10 | sun full-sun | water low | tags [orange, red, drought tolerant]
- gaillardia-arizona-sun | "Arizona Sun" | Gaillardia × grandiflora 'Arizona Sun' | Perennial | H 0.35m x W 0.5m | 2y | bloom Jun-Sep #d24a2a | zones 3-9 | sun full-sun | water low | tags [red, orange, yellow, drought tolerant]
- gaillardia-goblin | "Goblin" | Gaillardia × grandiflora 'Goblin' | Perennial | H 0.3m x W 0.4m | 2y | bloom Jun-Sep #c83a2a | zones 3-9 | sun full-sun | water low | tags [red, yellow, drought tolerant]
- gaillardia-mesa-yellow | "Mesa Yellow" | Gaillardia × grandiflora 'Mesa Yellow' | Perennial | H 0.45m x W 0.5m | 2y | bloom Jun-Sep #f2c020 | zones 3-9 | sun full-sun | water low | tags [yellow, drought tolerant]
- gaillardia-arizona-apricot | "Arizona Apricot" | Gaillardia × grandiflora 'Arizona Apricot' | Perennial | H 0.35m x W 0.5m | 2y | bloom Jun-Sep #f0a860 | zones 3-9 | sun full-sun | water low | tags [apricot, peach, yellow, drought tolerant]
- gaillardia-burgundy | "Burgundy" | Gaillardia × grandiflora 'Burgundy' | Perennial | H 0.6m x W 0.5m | 2y | bloom Jun-Sep #8a2438 | zones 3-9 | sun full-sun | water low | tags [red, burgundy, drought tolerant]
- gaillardia-oranges-and-lemons | "Oranges and Lemons" | Gaillardia × grandiflora 'Oranges and Lemons' | Perennial | H 0.5m x W 0.5m | 2y | bloom Jun-Sep #f08030 | zones 3-9 | sun full-sun | water low | tags [orange, yellow, drought tolerant]
- veronica | "Veronica" | Veronica spicata | Perennial | H 0.5m x W 0.4m | 2y | bloom Jun-Aug #5e5fb0 | zones 3-8 | sun full-sun | water moderate | tags [blue, purple]
