- veronica-royal-candles | "Royal Candles" | Veronica spicata 'Royal Candles' | Perennial | H 0.4m x W 0.3m | 2y | bloom Jun-Aug #4a4ab0 | zones 3-8 | sun full-sun | water moderate | tags [blue, purple, violet]
- veronica-sunny-border-blue | "Sunny Border Blue" | Veronica 'Sunny Border Blue' | Perennial | H 0.5m x W 0.4m | 2y | bloom Jun-Sep #4a52b8 | zones 3-8 | sun full-sun | water moderate | tags [blue, purple, violet]
- veronica-red-fox | "Red Fox" | Veronica spicata 'Rotfuchs' | Perennial | H 0.4m x W 0.3m | 2y | bloom Jun-Aug #d6588e | zones 3-8 | sun full-sun | water moderate | tags [pink, rose, magenta]
- veronica-icicle | "Icicle" | Veronica spicata 'Icicle' | Perennial | H 0.5m x W 0.4m | 2y | bloom Jun-Aug #f2f0e8 | zones 3-8 | sun full-sun | water moderate | tags [white]
- veronica-giles-van-hees | "Giles van Hees" | Veronica spicata 'Giles van Hees' | Perennial | H 0.2m x W 0.3m | 2y | bloom Jun-Aug #e07aa8 | zones 3-8 | sun full-sun | water moderate | tags [pink, dwarf]
- veronica-crater-lake-blue | "Crater Lake Blue" | Veronica austriaca ssp. teucrium 'Crater Lake Blue' | Perennial | H 0.2m x W 0.4m | 2y | bloom May-Jun #3a5ad0 | zones 3-8 | sun full-sun | water moderate | tags [blue]
- veronica-pink-damask | "Pink Damask" | Veronica 'Pink Damask' | Perennial | H 0.5m x W 0.4m | 2y | bloom Jun-Aug #e088a8 | zones 3-8 | sun full-sun | water moderate | tags [pink, rose]
- veronica-first-love | "First Love" | Veronica spicata 'First Love' | Perennial | H 0.4m x W 0.3m | 2y | bloom Jun-Sep #e06a9e | zones 3-8 | sun full-sun | water moderate | tags [pink, magenta]
- veronica-snow-candles | "Snow Candles" | Veronica 'Snow Candles' | Perennial | H 0.4m x W 0.3m | 2y | bloom Jun-Aug #f4f2ea | zones 3-8 | sun full-sun | water moderate | tags [white]
- veronica-purpleicious | "Purpleicious" | Veronica 'Purpleicious' | Perennial | H 0.5m x W 0.4m | 2y | bloom Jun-Sep #7a4aae | zones 3-8 | sun full-sun | water moderate | tags [purple, violet, magenta]
- liatris | "Blazing Star" | Liatris | Perennial | H 0.9m x W 0.3m | 2y | bloom Jul-Aug #9b5fc6 | zones 3-9 | sun full-sun | water low | tags [purple, pollinator, native, drought tolerant]
