- chrysanthemum | "Garden Mum" | Chrysanthemum | Perennial | H 0.6m x W 0.6m | 1y | bloom Sep-Oct #e0602e | zones 5-9 | sun full-sun | water moderate | tags [orange]
- chrysanthemum-yellow | "Yellow Mum" | Chrysanthemum 'Yellow' | Perennial | H 0.6m x W 0.6m | 1y | bloom Sep-Nov #f4c220 | zones 5-9 | sun full-sun | water moderate | tags [yellow]
- chrysanthemum-gold | "Gold Mum" | Chrysanthemum 'Gold' | Perennial | H 0.6m x W 0.6m | 1y | bloom Sep-Nov #e0a020 | zones 5-9 | sun full-sun | water moderate | tags [gold, yellow]
- chrysanthemum-bronze | "Bronze Mum" | Chrysanthemum 'Bronze' | Perennial | H 0.6m x W 0.6m | 1y | bloom Sep-Nov #c5722a | zones 5-9 | sun full-sun | water moderate | tags [bronze, orange]
- chrysanthemum-rust | "Rust Mum" | Chrysanthemum 'Rust' | Perennial | H 0.6m x W 0.6m | 1y | bloom Sep-Nov #b5482a | zones 5-9 | sun full-sun | water moderate | tags [rust, red, orange]
- chrysanthemum-red | "Red Mum" | Chrysanthemum 'Red' | Perennial | H 0.6m x W 0.6m | 1y | bloom Sep-Nov #b52a2a | zones 5-9 | sun full-sun | water moderate | tags [red]
- chrysanthemum-burgundy | "Burgundy Mum" | Chrysanthemum 'Burgundy' | Perennial | H 0.6m x W 0.6m | 1y | bloom Sep-Nov #7a2438 | zones 5-9 | sun full-sun | water moderate | tags [burgundy, red]
- chrysanthemum-purple | "Purple Mum" | Chrysanthemum 'Purple' | Perennial | H 0.6m x W 0.6m | 1y | bloom Sep-Nov #8a4e9e | zones 5-9 | sun full-sun | water moderate | tags [purple]
- chrysanthemum-lavender | "Lavender Mum" | Chrysanthemum 'Lavender' | Perennial | H 0.6m x W 0.6m | 1y | bloom Sep-Nov #b288c4 | zones 5-9 | sun full-sun | water moderate | tags [lavender, purple]
- chrysanthemum-pink | "Pink Mum" | Chrysanthemum 'Pink' | Perennial | H 0.6m x W 0.6m | 1y | bloom Sep-Nov #e87aa4 | zones 5-9 | sun full-sun | water moderate | tags [pink]
- chrysanthemum-white | "White Mum" | Chrysanthemum 'White' | Perennial | H 0.6m x W 0.6m | 1y | bloom Sep-Nov #f4f2ea | zones 5-9 | sun full-sun | water moderate | tags [white]
- chrysanthemum-coral | "Coral Mum" | Chrysanthemum 'Coral' | Perennial | H 0.6m x W 0.6m | 1y | bloom Sep-Nov #f0845e | zones 5-9 | sun full-sun | water moderate | tags [coral, orange, peach]
- chrysanthemum-sheffield-pink | "Sheffield Pink" | Chrysanthemum 'Sheffield Pink' | Perennial | H 0.8m x W 0.8m | 2y | bloom Sep-Nov #f0b89c | zones 3-9 | sun full-sun | water moderate | tags [apricot, peach, pink]
- chrysanthemum-clara-curtis | "Clara Curtis" | Chrysanthemum 'Clara Curtis' | Perennial | H 0.8m x W 0.8m | 2y | bloom Aug-Oct #e87298 | zones 3-9 | sun full-sun | water moderate | tags [pink]
- chrysanthemum-mary-stoker | "Mary Stoker" | Chrysanthemum 'Mary Stoker' | Perennial | H 0.8m x W 0.8m | 2y | bloom Sep-Oct #e8c068 | zones 3-9 | sun full-sun | water moderate | tags [yellow, gold, apricot]
- dianthus | "Dianthus" | Dianthus | Perennial | H 0.3m x W 0.3m | 2y | bloom May-Aug #e05a8e | zones 3-9 | sun full-sun | water low | tags [pink, fragrant, drought tolerant]
