- rose-shrub | "Shrub Rose" | Rosa | Rose | H 1.2m x W 1m | 3y | bloom May-Oct #e0507e | zones 4-9 | sun full-sun | water moderate | tags [pink, fragrant]
- knockout-rose | "Knock Out Rose" | Rosa 'Knock Out' | Rose | H 1m x W 1m | 3y | bloom May-Oct #e23b5e | zones 4-10 | sun full-sun | water moderate | tags [red, easy]
- hybrid-tea-rose | "Hybrid Tea Rose" | Rosa | Rose | H 1.2m x W 0.8m | 3y | bloom May-Oct #d6304a | zones 5-9 | sun full-sun | water moderate | tags [red, fragrant, cut flower]
- floribunda-rose | "Floribunda Rose" | Rosa | Rose | H 0.9m x W 0.7m | 3y | bloom May-Oct #f0a0b8 | zones 5-9 | sun full-sun | water moderate | tags [pink, clusters]
- gertrude-jekyll | "Gertrude Jekyll" | Rosa 'Ausbord' | Rose | H 1.5m x W 1.2m | 3y | bloom May-Oct #dc6e96 | zones 5-10 | sun full-sun | water moderate | tags [pink, fragrant, english rose, repeat blooming]
- graham-thomas | "Graham Thomas" | Rosa 'Ausmas' | Rose | H 1.3m x W 1.2m | 3y | bloom May-Oct #f2c83e | zones 5-10 | sun full-sun | water moderate | tags [yellow, fragrant, english rose, repeat blooming]
- munstead-wood | "Munstead Wood" | Rosa 'Ausbernard' | Rose | H 1m x W 0.9m | 3y | bloom May-Oct #7c1f30 | zones 5-10 | sun full-sun | water moderate | tags [crimson, red, fragrant, english rose]
- lady-of-shalott | "Lady of Shalott" | Rosa 'Ausnyson' | Rose | H 1.4m x W 1.1m | 3y | bloom May-Oct #ef9a52 | zones 5-10 | sun full-sun | water moderate | tags [apricot, orange, fragrant, english rose, easy]
- olivia-rose-austin | "Olivia Rose Austin" | Rosa 'Ausmixture' | Rose | H 1m x W 0.9m | 3y | bloom May-Oct #f0b6cb | zones 5-10 | sun full-sun | water moderate | tags [pink, fragrant, english rose, easy]
- claire-austin | "Claire Austin" | Rosa 'Ausprior' | Rose | H 1.5m x W 1.2m | 3y | bloom May-Oct #f4eedd | zones 5-10 | sun full-sun | water moderate | tags [white, cream, fragrant, english rose]
- boscobel | "Boscobel" | Rosa 'Auscousin' | Rose | H 1.2m x W 0.9m | 3y | bloom May-Oct #ef8870 | zones 5-10 | sun full-sun | water moderate | tags [coral, pink, fragrant, english rose]
- golden-celebration | "Golden Celebration" | Rosa 'Ausgold' | Rose | H 1.4m x W 1.2m | 3y | bloom May-Oct #f2cf52 | zones 5-10 | sun full-sun | water moderate | tags [yellow, fragrant, english rose]
- darcey-bussell | "Darcey Bussell" | Rosa 'Ausdecorum' | Rose | H 1m x W 0.8m | 3y | bloom May-Oct #902438 | zones 5-10 | sun full-sun | water moderate | tags [crimson, red, fragrant, english rose]
- roald-dahl | "Roald Dahl" | Rosa 'Ausowlish' | Rose | H 1.1m x W 1m | 3y | bloom May-Oct #f3ad6e | zones 5-10 | sun full-sun | water moderate | tags [apricot, fragrant, english rose, easy]
- queen-of-sweden | "Queen of Sweden" | Rosa 'Austiger' | Rose | H 1.2m x W 0.8m | 3y | bloom May-Oct #f1bccc | zones 5-10 | sun full-sun | water moderate | tags [pink, fragrant, english rose, upright]
- lady-emma-hamilton | "Lady Emma Hamilton" | Rosa 'Ausbrother' | Rose | H 1.2m x W 1m | 3y | bloom May-Oct #ee7f3e | zones 5-10 | sun full-sun | water moderate | tags [orange, tangerine, fragrant, english rose]
- the-pilgrim | "The Pilgrim" | Rosa 'Auswalker' | Rose | H 1.3m x W 1.1m | 3y | bloom May-Oct #f2dd7a | zones 5-10 | sun full-sun | water moderate | tags [yellow, fragrant, english rose]
- harlow-carr | "Harlow Carr" | Rosa 'Aushouse' | Rose | H 1.1m x W 1m | 3y | bloom May-Oct #ea7fa2 | zones 5-10 | sun full-sun | water moderate | tags [pink, fragrant, english rose]
- jubilee-celebration | "Jubilee Celebration" | Rosa 'Aushunter' | Rose | H 1.2m x W 1.2m | 3y | bloom May-Oct #f0876e | zones 5-10 | sun full-sun | water moderate | tags [coral, pink, fragrant, english rose]
- princess-alexandra-of-kent | "Princess Alexandra of Kent" | Rosa 'Ausmerchant' | Rose | H 1.1m x W 0.9m | 3y | bloom May-Oct #e6749a | zones 5-10 | sun full-sun | water moderate | tags [pink, fragrant, english rose]
- gentle-hermione | "Gentle Hermione" | Rosa 'Ausrumba' | Rose | H 1.2m x W 1m | 3y | bloom May-Oct #f0c0cf | zones 5-10 | sun full-sun | water moderate | tags [pink, blush, fragrant, english rose]
- tess-of-the-durbervilles | "Tess of the d'Urbervilles" | Rosa 'Ausmove' | Rose | H 1.3m x W 1.2m | 3y | bloom May-Oct #9c2233 | zones 5-10 | sun full-sun | water moderate | tags [crimson, red, fragrant, english rose]
- abraham-darby | "Abraham Darby" | Rosa 'Auscot' | Rose | H 1.5m x W 1.4m | 3y | bloom May-Oct #f0a07e | zones 5-10 | sun full-sun | water moderate | tags [apricot, pink, fragrant, english rose]
- heritage-rose | "Heritage" | Rosa 'Ausblush' | Rose | H 1.2m x W 1.2m | 3y | bloom May-Oct #f3cdd9 | zones 5-10 | sun full-sun | water moderate | tags [pink, blush, fragrant, english rose]
- the-lady-gardener | "The Lady Gardener" | Rosa 'Ausbrass' | Rose | H 1.2m x W 1m | 3y | bloom May-Oct #f2b074 | zones 5-10 | sun full-sun | water moderate | tags [apricot, fragrant, english rose]
- desdemona | "Desdemona" | Rosa 'Auskindling' | Rose | H 1.1m x W 1m | 3y | bloom May-Oct #f4ece2 | zones 5-10 | sun full-sun | water moderate | tags [white, blush, fragrant, english rose]
- vanessa-bell | "Vanessa Bell" | Rosa 'Auseasel' | Rose | H 1.3m x W 1m | 3y | bloom May-Oct #f3e29a | zones 5-10 | sun full-sun | water moderate | tags [yellow, fragrant, english rose]
- tranquillity | "Tranquillity" | Rosa 'Ausnoble' | Rose | H 1.2m x W 1m | 3y | bloom May-Oct #f6f2e8 | zones 5-10 | sun full-sun | water moderate | tags [white, fragrant, english rose]
- susan-williams-ellis | "Susan Williams-Ellis" | Rosa 'Ausquirk' | Rose | H 1.1m x W 0.9m | 3y | bloom May-Oct #f8f5ec | zones 4-9 | sun full-sun | water moderate | tags [white, fragrant, english rose, hardy]
- charlotte-rose | "Charlotte" | Rosa 'Auspoly' | Rose | H 1.1m x W 0.9m | 3y | bloom May-Oct #f3d76a | zones 5-10 | sun full-sun | water moderate | tags [yellow, fragrant, english rose]
- carding-mill | "Carding Mill" | Rosa 'Auswest' | Rose | H 1.2m x W 1m | 3y | bloom May-Oct #f1a47c | zones 5-10 | sun full-sun | water moderate | tags [apricot, pink, fragrant, english rose]
- emily-bronte | "Emily Brontë" | Rosa 'Ausearnshaw' | Rose | H 1.1m x W 0.9m | 3y | bloom May-Oct #f2cbb8 | zones 5-10 | sun full-sun | water moderate | tags [pink, apricot, fragrant, english rose]
- james-galway | "James Galway" | Rosa 'Auscrystal' | Rose | H 1.5m x W 1.2m | 3y | bloom May-Oct #ec92ac | zones 5-10 | sun full-sun | water moderate | tags [pink, fragrant, english rose]
