- juliet-rose | "Juliet" | Rosa 'Ausjameson' | Rose | H 1m x W 0.8m | 3y | bloom May-Oct #f0b884 | zones 5-10 | sun full-sun | water moderate | tags [apricot, peach, english rose]
- the-generous-gardener | "The Generous Gardener" | Rosa 'Ausdrawn' | Rose | H 3.5m x W 2m | 4y | bloom May-Oct #f4cdd8 | zones 4-10 | sun full-sun | water moderate | tags [pink, fragrant, climbing, english rose]
- crown-princess-margareta | "Crown Princess Margareta" | Rosa 'Auswinter' | Rose | H 3m x W 1.8m | 4y | bloom May-Oct #f2a868 | zones 5-10 | sun full-sun | water moderate | tags [apricot, orange, fragrant, climbing, english rose]
- teasing-georgia | "Teasing Georgia" | Rosa 'Ausbaker' | Rose | H 3m x W 1.5m | 4y | bloom May-Oct #f2d264 | zones 5-10 | sun full-sun | water moderate | tags [yellow, fragrant, climbing, english rose]
- wollerton-old-hall | "Wollerton Old Hall" | Rosa 'Ausblanket' | Rose | H 3.5m x W 1.8m | 4y | bloom May-Oct #f3dcc0 | zones 5-10 | sun full-sun | water moderate | tags [apricot, cream, fragrant, climbing, english rose]
- strawberry-hill | "Strawberry Hill" | Rosa 'Ausrimini' | Rose | H 3m x W 1.5m | 4y | bloom May-Oct #ef9bb6 | zones 4-10 | sun full-sun | water moderate | tags [pink, fragrant, climbing, english rose]
- peace-rose | "Peace" | Rosa 'Madame A. Meilland' | Rose | H 1.2m x W 1m | 3y | bloom May-Oct #f3dd84 | zones 5-9 | sun full-sun | water moderate | tags [yellow, pink, fragrant, hybrid tea, cut flower]
- mister-lincoln | "Mister Lincoln" | Rosa 'Mister Lincoln' | Rose | H 1.5m x W 0.9m | 3y | bloom May-Oct #9a1c2a | zones 5-9 | sun full-sun | water moderate | tags [red, fragrant, hybrid tea, cut flower]
- double-delight | "Double Delight" | Rosa 'Double Delight' | Rose | H 1m x W 0.8m | 3y | bloom May-Oct #e85c6e | zones 5-9 | sun full-sun | water moderate | tags [red, cream, fragrant, hybrid tea, cut flower]
- iceberg-rose | "Iceberg" | Rosa 'Korbin' | Rose | H 1.2m x W 1m | 3y | bloom May-Oct #f7f3ea | zones 5-9 | sun full-sun | water moderate | tags [white, floribunda, easy, clusters]
- julia-child-rose | "Julia Child" | Rosa 'WEKvossutono' | Rose | H 0.9m x W 0.8m | 3y | bloom May-Oct #f2d564 | zones 5-9 | sun full-sun | water moderate | tags [yellow, floribunda, fragrant, easy]
- queen-elizabeth-rose | "Queen Elizabeth" | Rosa 'Queen Elizabeth' | Rose | H 1.6m x W 0.9m | 3y | bloom May-Oct #ec9bb4 | zones 5-9 | sun full-sun | water moderate | tags [pink, grandiflora, cut flower]
- new-dawn-rose | "New Dawn" | Rosa 'New Dawn' | Rose | H 3.5m x W 2.5m | 4y | bloom May-Oct #f4cdd8 | zones 5-9 | sun full-sun | water moderate | tags [pink, fragrant, climbing, classic]
- zephirine-drouhin | "Zéphirine Drouhin" | Rosa 'Zéphirine Drouhin' | Rose | H 3m x W 1.8m | 4y | bloom May-Oct #e87a9a | zones 5-9 | sun full-sun | water moderate | tags [pink, fragrant, climbing, thornless]
- cecile-brunner | "Cécile Brünner" | Rosa 'Cécile Brünner' | Rose | H 0.9m x W 0.7m | 3y | bloom May-Oct #f3c8d2 | zones 5-9 | sun full-sun | water moderate | tags [pink, fragrant, polyantha]
- the-fairy-rose | "The Fairy" | Rosa 'The Fairy' | Rose | H 0.7m x W 1m | 3y | bloom Jun-Oct #f2c0ce | zones 4-9 | sun full-sun | water moderate | tags [pink, groundcover, easy, clusters]
