- princess-charlene-de-monaco | "Princess Charlene de Monaco Rose" | Rosa 'Princess Charlene de Monaco' | Rose | H 0.8m x W 0.6m | 2y | bloom May-Oct #f0b090 | zones 6-10 | sun full-sun | water moderate | tags [pink, fragrant, hybrid tea, disease resistant, repeat blooming]
- rosa-damascena-damask-rose | "Rosa damascena (Damask Rose)" | Rosa damascena | Rose | H 1.8m x W 1.5m | 3y | bloom Jun-Jul #e8829a | zones 4-9 | sun full-sun | water moderate | tags [rosa da, damask rose, pink, fragrant, heritage rose, old rose, cut flower, rose oil, attar of roses]
- rosa-de-echt-moss-rose | "Duchesse de Verneuil (Moss Rose)" | Rosa 'Duchesse de Verneuil' | Rose | H 1.5m x W 1.2m | 3y | bloom Jun-Jul #e8a0b8 | zones 4-9 | sun full-sun | water moderate | tags [rosa de, moss rose, pink, old rose, fragrant, once flowering, cottage garden, arching]
- rosa-de-meaux-centifolia-rose | "Rosa de Meaux (Centifolia Rose)" | Rosa × centifolia 'De Meaux' | Rose | H 1m x W 0.8m | 3y | bloom Jun-Jul #e8829a | zones 4-9 | sun full-sun | water moderate | tags [rosa de meaux, de meaux, rosa de, pink, centifolia, old rose, fragrant, cottage garden, compact, pompon]
- rosa-de-rescht-damask-rose | "Rosa de Rescht (Damask Rose)" | Rosa 'De Rescht' | Rose | H 1.2m x W 1m | 3y | bloom Jun-Oct #c0205a | zones 4-9 | sun full-sun | water moderate | tags [rosa de rescht, de rescht, rosa de, crimson, magenta, damask rose, portland rose, old rose, fragrant, repeat blooming]
- rosa-fantin-latour | "Rosa 'Fantin-Latour'" | Rosa 'Fantin-Latour' | Rose | H 1.5m x W 1.2m | 3y | bloom May-Jun #f5d5d5 | zones 5-11 | sun full-sun | water moderate | tags [rosa f, pink, centifolia, fragrant, old garden rose]
- rosa-felicia | "Rosa 'Felicia'" | Rosa 'Felicia' | Rose | H 1.2m x W 1.2m | 2y | bloom May-Oct #f4a6a6 | zones 5-11 | sun full-sun | water moderate | tags [rosa f, pink, hybrid musk, fragrant, repeat flowering]
- rosa-fragrant-cloud | "Rosa 'Fragrant Cloud'" | Rosa 'Fragrant Cloud' | Rose | H 1m x W 0.8m | 2y | bloom May-Oct #ff6b35 | zones 5-11 | sun full-sun | water moderate | tags [rosa f, orange, coral, fragrant, hybrid tea, repeat flowering]
- rosa-frau-karl-druschki | "Rosa 'Frau Karl Druschki'" | Rosa 'Frau Karl Druschki' | Rose | H 1.8m x W 1.2m | 3y | bloom May-Oct #ffffff | zones 4-11 | sun full-sun | water moderate | tags [rosa f, white, hybrid perpetual, repeat flowering, classic]
- rosa-ispahan | "Rosa 'Ispahan'" | Rosa 'Ispahan' | Rose | H 1.8m x W 1.2m | 3y | bloom Jun-Jul #e8708a | zones 4-9 | sun full-sun | water moderate | tags [rosa da, damask rose, pink, fragrant, heritage rose, old rose, ispahan]
- rosa-madame-hardy | "Rosa 'Madame Hardy'" | Rosa 'Madame Hardy' | Rose | H 1.8m x W 1.5m | 3y | bloom Jun-Jul #f5f0ee | zones 4-9 | sun full-sun | water moderate | tags [rosa da, damask rose, white, cream, fragrant, heritage rose, old rose, madame hardy]
- rosa-patience | "Patience Rose" | Rosa 'Patience' | Rose | H 1.2m x W 1m | 2y | bloom May-Oct #f5f0e1 | zones 5-11 | sun full-sun | water moderate | tags [rosa, red, english rose, fragrant, repeat flowering]
- rosa-shropshire-lad | "Shropshire Lad Rose" | Rosa 'Shropshire Lad' | Rose | H 1.8m x W 1.5m | 2y | bloom May-Oct #e07ba0 | zones 5-11 | sun full-sun | water moderate | tags [rosa, pink, english rose, fragrant, repeat flowering]
- rosa-trigintipetala | "Rosa 'Trigintipetala'" | Rosa damascena 'Trigintipetala' | Rose | H 2m x W 1.5m | 3y | bloom Jun-Jul #d95f7a | zones 4-9 | sun full-sun | water moderate | tags [rosa da, damask rose, pink, fragrant, heritage rose, old rose, kazanlik rose, bulgarian rose, rose oil, attar of roses]
- sally-holmes | "Sally Holmes" | Rosa 'Sally Holmes' | Rose | H 1.2m x W 1m | 2y | bloom May-Oct #f5e6d3 | zones 5-11 | sun full-sun | water moderate | tags [cream, white, shrub rose, fragrant, disease resistant, repeat flowering]
- scarlet-fire | "Scarlet Fire" | Rosa 'Scarlet Fire' | Rose | H 2m x W 1.5m | 3y | bloom May-Jul #dc143c | zones 5-10 | sun full-sun | water moderate | tags [red, scarlet, shrub rose, fragrant, once-flowering, hips]
- stanwell-perpetual | "Stanwell Perpetual" | Rosa 'Stanwell Perpetual' | Rose | H 1.2m x W 1.2m | 2y | bloom Apr-Nov #f5d5e0 | zones 4-10 | sun full-sun | water moderate | tags [pink, pale pink, shrub rose, fragrant, repeat flowering, hardy, old garden rose]
