- hydrangea | "Bigleaf Hydrangea" | Hydrangea macrophylla | Shrub | H 1.5m x W 1.5m | 4y | bloom Jun-Sep #6f8ad6 | zones 5-9 | sun part-sun | water high | tags [blue, pink]
- hydrangea-panicle | "Panicle Hydrangea" | Hydrangea paniculata | Shrub | H 2m x W 1.8m | 4y | bloom Jul-Sep #f3f0ea | zones 3-8 | sun full-sun | water moderate | tags [white]
- hydrangea-oakleaf | "Oakleaf Hydrangea" | Hydrangea quercifolia | Shrub | H 1.8m x W 1.8m | 4y | bloom May-Jul #f3f0ea | zones 5-9 | sun part-sun | water moderate | tags [white, fall foliage]
- lilac | "Lilac" | Syringa vulgaris | Shrub | H 3m x W 2.5m | 4y | bloom Apr-May #b07ac6 | zones 3-7 | sun full-sun | water moderate | tags [purple, fragrant]
- lilac-sensation | "Sensation" | Syringa vulgaris 'Sensation' | Shrub | H 3m x W 2.5m | 4y | bloom Apr-May #7a4a9e | zones 3-7 | sun full-sun | water moderate | tags [purple, white, bicolor, fragrant]
- lilac-charles-joly | "Charles Joly" | Syringa vulgaris 'Charles Joly' | Shrub | H 3m x W 2.5m | 4y | bloom Apr-May #9e2e6e | zones 3-7 | sun full-sun | water moderate | tags [magenta, purple, fragrant]
- lilac-beauty-of-moscow | "Beauty of Moscow" | Syringa vulgaris 'Krasavitsa Moskvy' | Shrub | H 3m x W 2.2m | 4y | bloom Apr-May #f0e4ea | zones 3-7 | sun full-sun | water moderate | tags [white, pink, fragrant]
- lilac-miss-kim | "Miss Kim" | Syringa pubescens 'Miss Kim' | Shrub | H 1.8m x W 1.5m | 4y | bloom May-Jun #9a8ac8 | zones 3-8 | sun full-sun | water moderate | tags [lavender, blue, purple, fragrant]
- lilac-president-grevy | "President Grevy" | Syringa vulgaris 'President Grevy' | Shrub | H 3m x W 2.5m | 4y | bloom Apr-May #7a7ac0 | zones 3-7 | sun full-sun | water moderate | tags [blue, lavender, fragrant]
- lilac-madame-lemoine | "Madame Lemoine" | Syringa vulgaris 'Madame Lemoine' | Shrub | H 3m x W 2.5m | 4y | bloom Apr-May #f4f2ea | zones 3-7 | sun full-sun | water moderate | tags [white, fragrant]
- lilac-primrose | "Primrose" | Syringa vulgaris 'Primrose' | Shrub | H 2.5m x W 2.2m | 4y | bloom Apr-May #eee4a8 | zones 3-7 | sun full-sun | water moderate | tags [yellow, cream, fragrant]
- lilac-wedgwood-blue | "Wedgwood Blue" | Syringa vulgaris 'Wedgwood Blue' | Shrub | H 2.5m x W 2.2m | 4y | bloom Apr-May #8a8ac8 | zones 3-7 | sun full-sun | water moderate | tags [blue, lavender, purple, fragrant]
- lilac-katherine-havemeyer | "Katherine Havemeyer" | Syringa vulgaris 'Katherine Havemeyer' | Shrub | H 3m x W 2.5m | 4y | bloom Apr-May #c490c4 | zones 3-7 | sun full-sun | water moderate | tags [lavender, pink, purple, fragrant]
- lilac-bloomerang-purple | "Bloomerang Purple" | Syringa 'Bloomerang Purple' | Shrub | H 1.5m x W 1.5m | 3y | bloom Apr-Sep #7a4aae | zones 3-7 | sun full-sun | water moderate | tags [purple, violet, fragrant]
- lilac-yankee-doodle | "Yankee Doodle" | Syringa vulgaris 'Yankee Doodle' | Shrub | H 2.5m x W 2.2m | 4y | bloom Apr-May #5a2e8e | zones 3-7 | sun full-sun | water moderate | tags [purple, violet, fragrant]
- lilac-president-lincoln | "President Lincoln" | Syringa vulgaris 'President Lincoln' | Shrub | H 3m x W 2.5m | 4y | bloom Apr-May #7a82c4 | zones 3-7 | sun full-sun | water moderate | tags [blue, purple, fragrant]
- lilac-ludwig-spaeth | "Ludwig Späth" | Syringa vulgaris 'Andenken an Ludwig Späth' | Shrub | H 3m x W 2.5m | 4y | bloom Apr-May #6a2e7e | zones 3-7 | sun full-sun | water moderate | tags [purple, magenta, fragrant]
- azalea | "Azalea" | Rhododendron | Shrub | H 1.2m x W 1.2m | 4y | bloom Apr-May #e06a9e | zones 5-9 | sun part-shade | water moderate | tags [pink]
- azalea-stewartstonian | "Stewartstonian" | Rhododendron 'Stewartstonian' | Shrub | H 1.2m x W 1.2m | 4y | bloom Apr-May #d6442e | zones 5-8 | sun part-shade | water moderate | tags [red, orange]
- azalea-gibraltar | "Gibraltar" | Rhododendron 'Gibraltar' | Shrub | H 1.5m x W 1.2m | 4y | bloom Apr-May #ef7a1e | zones 5-8 | sun part-shade | water moderate | tags [orange]
- azalea-delaware-valley-white | "Delaware Valley White" | Rhododendron 'Delaware Valley White' | Shrub | H 1m x W 1.2m | 4y | bloom Apr-May #f4f2ea | zones 6-9 | sun part-shade | water moderate | tags [white]
- azalea-george-tabor | "George Tabor" | Rhododendron 'George Tabor' | Shrub | H 1.8m x W 1.5m | 4y | bloom Apr-May #dca0cc | zones 7-9 | sun part-shade | water moderate | tags [pink, lavender]
- azalea-formosa | "Formosa" | Rhododendron 'Formosa' | Shrub | H 1.8m x W 1.5m | 4y | bloom Apr-May #c0468e | zones 7-9 | sun part-shade | water moderate | tags [magenta, purple]
- azalea-hino-crimson | "Hino-Crimson" | Rhododendron 'Hino-Crimson' | Shrub | H 0.8m x W 1m | 4y | bloom Apr-May #cc2a32 | zones 5-8 | sun part-shade | water moderate | tags [red, crimson]
- azalea-girards-crimson | "Girard's Crimson" | Rhododendron 'Girard's Crimson' | Shrub | H 0.9m x W 1m | 4y | bloom Apr-May #bc2838 | zones 5-9 | sun part-shade | water moderate | tags [red, crimson]
- azalea-rosebud | "Rosebud" | Rhododendron 'Rosebud' | Shrub | H 0.8m x W 1m | 4y | bloom Apr-May #e87aa8 | zones 6-9 | sun part-shade | water moderate | tags [pink, double]
- azalea-gumpo-pink | "Gumpo Pink" | Rhododendron 'Gumpo Pink' | Shrub | H 0.5m x W 0.8m | 4y | bloom May-Jun #f0a0c0 | zones 6-9 | sun part-shade | water moderate | tags [pink, dwarf]
- azalea-karen | "Karen" | Rhododendron 'Karen' | Shrub | H 1m x W 1m | 4y | bloom Apr-May #b073c0 | zones 5-8 | sun part-shade | water moderate | tags [purple, lavender]
- azalea-fireball | "Fireball" | Rhododendron 'Fireball' | Shrub | H 1.5m x W 1.2m | 4y | bloom Apr-May #e84e22 | zones 5-8 | sun part-shade | water moderate | tags [orange, red]
- azalea-white-lights | "White Lights" | Rhododendron 'White Lights' | Shrub | H 1.2m x W 1.2m | 4y | bloom May-Jun #f4e8ee | zones 4-7 | sun part-shade | water moderate | tags [white, pink]
- azalea-golden-lights | "Golden Lights" | Rhododendron 'Golden Lights' | Shrub | H 1.5m x W 1.5m | 4y | bloom May-Jun #f0b83a | zones 4-7 | sun part-shade | water moderate | tags [yellow, gold, orange, fragrant]
- azalea-encore-autumn-amethyst | "Encore Autumn Amethyst" | Rhododendron 'Encore Autumn Amethyst' | Shrub | H 1.2m x W 1.2m | 4y | bloom Apr-Oct #9a5aae | zones 6-9 | sun part-shade | water moderate | tags [purple]
- rhododendron | "Rhododendron" | Rhododendron | Shrub | H 1.8m x W 1.8m | 5y | bloom May-Jun #c06ab0 | zones 4-8 | sun part-shade | water moderate | tags [purple]
