- rhododendron-pjm | "PJM" | Rhododendron 'PJM' | Shrub | H 1.2m x W 1.2m | 5y | bloom Apr-May #b56ab0 | zones 4-8 | sun part-shade | water moderate | tags [lavender, pink, purple]
- rhododendron-english-roseum | "English Roseum" | Rhododendron 'English Roseum' | Shrub | H 1.8m x W 1.8m | 5y | bloom May-Jun #c890bc | zones 4-8 | sun part-shade | water moderate | tags [pink, lavender]
- rhododendron-purple-splendor | "Purple Splendor" | Rhododendron 'Purple Splendour' | Shrub | H 1.5m x W 1.5m | 5y | bloom May-Jun #6a3a96 | zones 5-8 | sun part-shade | water moderate | tags [purple, violet]
- rhododendron-cunninghams-white | "Cunningham's White" | Rhododendron 'Cunningham's White' | Shrub | H 1.5m x W 1.5m | 5y | bloom May-Jun #f2f0e6 | zones 4-8 | sun part-shade | water moderate | tags [white]
- rhododendron-boule-de-neige | "Boule de Neige" | Rhododendron 'Boule de Neige' | Shrub | H 1.2m x W 1.5m | 5y | bloom May-Jun #f4f2ea | zones 4-8 | sun part-shade | water moderate | tags [white]
- rhododendron-scintillation | "Scintillation" | Rhododendron 'Scintillation' | Shrub | H 1.5m x W 1.5m | 5y | bloom May-Jun #e89ab8 | zones 5-8 | sun part-shade | water moderate | tags [pink]
- rhododendron-yaku-princess | "Yaku Princess" | Rhododendron 'Yaku Princess' | Shrub | H 1m x W 1.2m | 5y | bloom May-Jun #f0c8d6 | zones 5-8 | sun part-shade | water moderate | tags [pink, white]
- rhododendron-anah-kruschke | "Anah Kruschke" | Rhododendron 'Anah Kruschke' | Shrub | H 1.8m x W 1.5m | 5y | bloom May-Jun #8a3a78 | zones 5-9 | sun part-shade | water moderate | tags [purple, magenta]
- rhododendron-capistrano | "Capistrano" | Rhododendron 'Capistrano' | Shrub | H 1.2m x W 1.2m | 5y | bloom May-Jun #f0e08a | zones 5-8 | sun part-shade | water moderate | tags [yellow]
- rhododendron-blue-peter | "Blue Peter" | Rhododendron 'Blue Peter' | Shrub | H 1.5m x W 1.5m | 5y | bloom May-Jun #8a7ac4 | zones 5-8 | sun part-shade | water moderate | tags [blue, lavender, purple]
- butterfly-bush | "Butterfly Bush" | Buddleia davidii | Shrub | H 2m x W 1.8m | 3y | bloom Jun-Sep #9b5fc6 | zones 5-9 | sun full-sun | water low | tags [purple, pollinator, fragrant, drought tolerant]
- butterfly-bush-black-knight | "Black Knight" | Buddleia davidii 'Black Knight' | Shrub | H 2m x W 1.8m | 3y | bloom Jun-Sep #4a2e7e | zones 5-9 | sun full-sun | water low | tags [purple, violet, pollinator, fragrant, drought tolerant]
- butterfly-bush-pink-delight | "Pink Delight" | Buddleia davidii 'Pink Delight' | Shrub | H 2m x W 1.8m | 3y | bloom Jun-Sep #e87ab0 | zones 5-9 | sun full-sun | water low | tags [pink, pollinator, fragrant, drought tolerant]
- butterfly-bush-white-profusion | "White Profusion" | Buddleia davidii 'White Profusion' | Shrub | H 2m x W 1.8m | 3y | bloom Jun-Sep #f4f2ea | zones 5-9 | sun full-sun | water low | tags [white, pollinator, fragrant, drought tolerant]
- butterfly-bush-nanho-blue | "Nanho Blue" | Buddleia davidii 'Nanho Blue' | Shrub | H 1.5m x W 1.5m | 3y | bloom Jun-Sep #7a7ac4 | zones 5-9 | sun full-sun | water low | tags [blue, lavender, purple, pollinator, fragrant, drought tolerant]
- butterfly-bush-royal-red | "Royal Red" | Buddleia davidii 'Royal Red' | Shrub | H 2m x W 1.8m | 3y | bloom Jun-Sep #a8306e | zones 5-9 | sun full-sun | water low | tags [magenta, red, purple, pollinator, fragrant, drought tolerant]
- butterfly-bush-miss-molly | "Miss Molly" | Buddleia 'Miss Molly' | Shrub | H 1.5m x W 1.5m | 3y | bloom Jun-Sep #c23a5e | zones 5-9 | sun full-sun | water low | tags [magenta, pink, red, pollinator, fragrant, drought tolerant]
- butterfly-bush-blue-chip | "Blue Chip" | Buddleia 'Lo & Behold Blue Chip' | Shrub | H 0.8m x W 0.8m | 3y | bloom Jun-Sep #8a7ac8 | zones 5-9 | sun full-sun | water low | tags [blue, purple, violet, dwarf, pollinator, fragrant, drought tolerant]
- butterfly-bush-honeycomb | "Honeycomb" | Buddleia × weyeriana 'Honeycomb' | Shrub | H 2m x W 1.8m | 3y | bloom Jun-Sep #f0d058 | zones 5-9 | sun full-sun | water low | tags [yellow, gold, pollinator, fragrant, drought tolerant]
- butterfly-bush-pugster-blue | "Pugster Blue" | Buddleia 'Pugster Blue' | Shrub | H 0.6m x W 0.8m | 3y | bloom Jun-Sep #6a72c4 | zones 5-9 | sun full-sun | water low | tags [blue, purple, dwarf, pollinator, fragrant, drought tolerant]
- butterfly-bush-miss-ruby | "Miss Ruby" | Buddleia 'Miss Ruby' | Shrub | H 1.5m x W 1.5m | 3y | bloom Jun-Sep #cc3a7e | zones 5-9 | sun full-sun | water low | tags [magenta, pink, pollinator, fragrant, drought tolerant]
- butterfly-bush-empire-blue | "Empire Blue" | Buddleia davidii 'Empire Blue' | Shrub | H 2m x W 1.8m | 3y | bloom Jun-Sep #6a5ab8 | zones 5-9 | sun full-sun | water low | tags [blue, purple, violet, pollinator, fragrant, drought tolerant]
