- spirea-bridal-wreath | "Bridal Wreath" | Spiraea × vanhouttei | Shrub | H 1.8m x W 2m | 3y | bloom Apr-May #f4f2ea | zones 3-8 | sun full-sun | water moderate | tags [white]
- spirea-snowmound | "Snowmound" | Spiraea nipponica 'Snowmound' | Shrub | H 1.2m x W 1.5m | 3y | bloom May-Jun #f2f0e8 | zones 3-8 | sun full-sun | water moderate | tags [white]
- spirea-double-play-big-bang | "Double Play Big Bang" | Spiraea 'Double Play Big Bang' | Shrub | H 0.8m x W 0.9m | 3y | bloom Jun-Jul #e06a9a | zones 4-8 | sun full-sun | water moderate | tags [pink]
- spirea-double-play-candy-corn | "Double Play Candy Corn" | Spiraea 'Double Play Candy Corn' | Shrub | H 0.6m x W 0.6m | 3y | bloom Jun-Jul #c23a6e | zones 4-8 | sun full-sun | water moderate | tags [magenta, pink, red]
- spirea-neon-flash | "Neon Flash" | Spiraea japonica 'Neon Flash' | Shrub | H 0.9m x W 1m | 3y | bloom Jun-Aug #d6386e | zones 4-8 | sun full-sun | water moderate | tags [red, magenta, pink]
- boxwood | "Boxwood" | Buxus | Shrub | H 1.2m x W 1.2m | 4y | bloom (none) | zones 5-9 | sun full-sun | water moderate | tags [foliage, evergreen, hedge]
- boxwood-green-velvet | "Green Velvet" | Buxus 'Green Velvet' | Shrub | H 1m x W 1m | 4y | bloom (none) | zones 5-9 | sun full-sun | water moderate | tags [green, evergreen, hedge]
- boxwood-green-mountain | "Green Mountain" | Buxus 'Green Mountain' | Shrub | H 1.5m x W 0.9m | 4y | bloom (none) | zones 4-9 | sun full-sun | water moderate | tags [green, evergreen, hedge]
- boxwood-winter-gem | "Winter Gem" | Buxus microphylla 'Winter Gem' | Shrub | H 1.2m x W 1.2m | 4y | bloom (none) | zones 4-9 | sun full-sun | water moderate | tags [green, evergreen, hedge]
- boxwood-english | "English Boxwood" | Buxus sempervirens 'Suffruticosa' | Shrub | H 0.6m x W 0.6m | 5y | bloom (none) | zones 6-8 | sun full-sun | water moderate | tags [green, evergreen, hedge]
- boxwood-american | "American Boxwood" | Buxus sempervirens | Shrub | H 3m x W 2.5m | 6y | bloom (none) | zones 5-8 | sun full-sun | water moderate | tags [green, evergreen, hedge]
- boxwood-graham-blandy | "Graham Blandy" | Buxus sempervirens 'Graham Blandy' | Shrub | H 2.5m x W 0.4m | 6y | bloom (none) | zones 6-9 | sun full-sun | water moderate | tags [green, evergreen]
- boxwood-baby-gem | "Baby Gem" | Buxus microphylla 'Baby Gem' | Shrub | H 0.6m x W 0.6m | 4y | bloom (none) | zones 5-9 | sun full-sun | water moderate | tags [green, evergreen, hedge]
- rose-of-sharon | "Rose of Sharon" | Hibiscus syriacus | Shrub | H 2.5m x W 1.8m | 4y | bloom Jul-Sep #b07ac6 | zones 5-9 | sun full-sun | water moderate | tags [purple]
- rose-of-sharon-blue-bird | "Blue Bird" | Hibiscus syriacus 'Oiseau Bleu' | Shrub | H 2.5m x W 1.8m | 4y | bloom Jul-Sep #6a72c0 | zones 5-9 | sun full-sun | water moderate | tags [blue, violet, bicolor]
- rose-of-sharon-diana | "Diana" | Hibiscus syriacus 'Diana' | Shrub | H 2.5m x W 1.8m | 4y | bloom Jul-Sep #f4f2ea | zones 5-9 | sun full-sun | water moderate | tags [white]
- rose-of-sharon-aphrodite | "Aphrodite" | Hibiscus syriacus 'Aphrodite' | Shrub | H 2.5m x W 1.8m | 4y | bloom Jul-Sep #e08aa8 | zones 5-9 | sun full-sun | water moderate | tags [pink, bicolor]
- rose-of-sharon-helene | "Helene" | Hibiscus syriacus 'Helene' | Shrub | H 2.5m x W 1.8m | 4y | bloom Jul-Sep #f0ece2 | zones 5-9 | sun full-sun | water moderate | tags [white, bicolor]
- rose-of-sharon-blushing-bride | "Blushing Bride" | Hibiscus syriacus 'Blushing Bride' | Shrub | H 2.5m x W 1.8m | 4y | bloom Jul-Sep #e89ab8 | zones 5-9 | sun full-sun | water moderate | tags [pink]
- rose-of-sharon-minerva | "Minerva" | Hibiscus syriacus 'Minerva' | Shrub | H 2.5m x W 1.8m | 4y | bloom Jul-Sep #c48ac0 | zones 5-9 | sun full-sun | water moderate | tags [lavender, pink, purple, bicolor]
- rose-of-sharon-blue-chiffon | "Blue Chiffon" | Hibiscus syriacus 'Blue Chiffon' | Shrub | H 2.5m x W 1.8m | 4y | bloom Jul-Sep #8a8ac8 | zones 5-9 | sun full-sun | water moderate | tags [blue, lavender, purple]
- rose-of-sharon-lavender-chiffon | "Lavender Chiffon" | Hibiscus syriacus 'Lavender Chiffon' | Shrub | H 2.5m x W 1.8m | 4y | bloom Jul-Sep #b08ac8 | zones 5-9 | sun full-sun | water moderate | tags [lavender, purple]
- rose-of-sharon-white-chiffon | "White Chiffon" | Hibiscus syriacus 'White Chiffon' | Shrub | H 2.5m x W 1.8m | 4y | bloom Jul-Sep #f4f2ea | zones 5-9 | sun full-sun | water moderate | tags [white]
- rose-of-sharon-lucy | "Lucy" | Hibiscus syriacus 'Lucy' | Shrub | H 2.5m x W 1.8m | 4y | bloom Jul-Sep #cc3a6e | zones 5-9 | sun full-sun | water moderate | tags [magenta, red, pink]
- rose-of-sharon-red-heart | "Red Heart" | Hibiscus syriacus 'Red Heart' | Shrub | H 2.5m x W 1.8m | 4y | bloom Jul-Sep #f2ece2 | zones 5-9 | sun full-sun | water moderate | tags [white, red, bicolor]
- rose-of-sharon-purple-pillar | "Purple Pillar" | Hibiscus syriacus 'Purple Pillar' | Shrub | H 3m x W 0.8m | 4y | bloom Jul-Sep #8a5ab0 | zones 5-9 | sun full-sun | water moderate | tags [purple, violet, bicolor]
- camellia | "Camellia" | Camellia japonica | Shrub | H 2m x W 1.5m | 5y | bloom Jan-Mar #e0607e | zones 7-9 | sun part-shade | water moderate | tags [pink, evergreen]
- camellia-pink-perfection | "Pink Perfection" | Camellia japonica 'Pink Perfection' | Shrub | H 2m x W 1.5m | 5y | bloom Feb-Apr #f0a8c0 | zones 7-9 | sun part-shade | water moderate | tags [pink, evergreen]
- camellia-debutante | "Debutante" | Camellia japonica 'Debutante' | Shrub | H 2m x W 1.5m | 5y | bloom Jan-Mar #f0a0bc | zones 7-9 | sun part-shade | water moderate | tags [pink, evergreen]
- camellia-alba-plena | "Alba Plena" | Camellia japonica 'Alba Plena' | Shrub | H 2m x W 1.5m | 5y | bloom Jan-Mar #f4f2ea | zones 7-9 | sun part-shade | water moderate | tags [white, evergreen]
- camellia-kramers-supreme | "Kramer's Supreme" | Camellia japonica 'Kramer's Supreme' | Shrub | H 2m x W 1.5m | 5y | bloom Feb-Apr #cc2e3a | zones 7-9 | sun part-shade | water moderate | tags [red, evergreen, fragrant]
- camellia-yuletide | "Yuletide" | Camellia sasanqua 'Yuletide' | Shrub | H 2m x W 1.3m | 5y | bloom Nov-Dec #d22e3a | zones 7-9 | sun part-shade | water moderate | tags [red, evergreen]
- camellia-setsugekka | "Setsugekka" | Camellia sasanqua 'Setsugekka' | Shrub | H 2.2m x W 1.5m | 5y | bloom Oct-Dec #f2f0e8 | zones 7-9 | sun part-shade | water moderate | tags [white, evergreen]
- camellia-professor-sargent | "Professor Sargent" | Camellia japonica 'Professor Sargent' | Shrub | H 2m x W 1.5m | 5y | bloom Feb-Apr #c8283a | zones 7-9 | sun part-shade | water moderate | tags [red, evergreen]
- camellia-nuccios-pearl | "Nuccio's Pearl" | Camellia japonica 'Nuccio's Pearl' | Shrub | H 2m x W 1.5m | 5y | bloom Feb-Apr #f4e8ec | zones 7-9 | sun part-shade | water moderate | tags [white, pink, evergreen]
