- camellia-pink-icicle | "Pink Icicle" | Camellia × 'Pink Icicle' | Shrub | H 1.8m x W 1.3m | 5y | bloom Feb-Apr #e898b4 | zones 6-9 | sun part-shade | water moderate | tags [pink, evergreen]
- camellia-april-rose | "April Rose" | Camellia japonica 'April Rose' | Shrub | H 1.8m x W 1.5m | 5y | bloom Mar-Apr #d6588e | zones 6-9 | sun part-shade | water moderate | tags [pink, rose, evergreen]
- gardenia | "Gardenia" | Gardenia jasminoides | Shrub | H 1.2m x W 1.2m | 4y | bloom May-Jul #fbfbf5 | zones 8-11 | sun part-sun | water high | tags [white, fragrant, evergreen]
- gardenia-august-beauty | "August Beauty" | Gardenia jasminoides 'August Beauty' | Shrub | H 1.5m x W 1.2m | 4y | bloom May-Sep #fcfcf6 | zones 8-11 | sun part-sun | water high | tags [white, fragrant, evergreen]
- gardenia-frostproof | "Frostproof" | Gardenia jasminoides 'Frostproof' | Shrub | H 1.4m x W 1.2m | 4y | bloom May-Jul #fbfbf5 | zones 7-11 | sun part-sun | water high | tags [white, fragrant, evergreen]
- gardenia-kleims-hardy | "Kleim's Hardy" | Gardenia jasminoides 'Kleim's Hardy' | Shrub | H 0.8m x W 0.8m | 4y | bloom May-Jul #fcfcf8 | zones 7-10 | sun part-sun | water high | tags [white, fragrant, evergreen]
- gardenia-radicans | "Radicans" | Gardenia jasminoides 'Radicans' | Shrub | H 0.4m x W 1m | 4y | bloom May-Jul #fbfbf5 | zones 8-11 | sun part-sun | water high | tags [white, fragrant, evergreen]
- gardenia-veitchii | "Veitchii" | Gardenia jasminoides 'Veitchii' | Shrub | H 1.3m x W 1.1m | 4y | bloom May-Sep #fcfcf6 | zones 8-11 | sun part-sun | water high | tags [white, fragrant, evergreen]
- gardenia-crown-jewel | "Crown Jewel" | Gardenia jasminoides 'Crown Jewel' | Shrub | H 0.8m x W 1.2m | 4y | bloom May-Jul #fbfbf5 | zones 6-10 | sun part-sun | water high | tags [white, fragrant, evergreen]
- weigela | "Weigela" | Weigela florida | Shrub | H 1.5m x W 1.5m | 3y | bloom May-Jun #e0507e | zones 4-8 | sun full-sun | water moderate | tags [pink]
- weigela-wine-and-roses | "Wine & Roses" | Weigela florida 'Wine & Roses' | Shrub | H 1.5m x W 1.5m | 3y | bloom May-Jun #e0507e | zones 4-8 | sun full-sun | water moderate | tags [pink, magenta]
- weigela-red-prince | "Red Prince" | Weigela florida 'Red Prince' | Shrub | H 1.5m x W 1.5m | 3y | bloom May-Jun #cc2e3a | zones 4-8 | sun full-sun | water moderate | tags [red]
- weigela-java-red | "Java Red" | Weigela florida 'Java Red' | Shrub | H 1.2m x W 1.2m | 3y | bloom May-Jun #d63a5e | zones 4-8 | sun full-sun | water moderate | tags [pink, red]
- weigela-my-monet | "My Monet" | Weigela florida 'My Monet' | Shrub | H 0.4m x W 0.5m | 3y | bloom May-Jun #e87aa4 | zones 4-8 | sun full-sun | water moderate | tags [pink, dwarf]
