- crape-myrtle-sioux | "Sioux" | Lagerstroemia 'Sioux' | Shrub | H 4m x W 3m | 5y | bloom Jul-Sep #e85a9a | zones 7-10 | sun full-sun | water low | tags [pink, magenta, tree, drought tolerant]
- crape-myrtle-catawba | "Catawba" | Lagerstroemia 'Catawba' | Shrub | H 3.5m x W 3m | 5y | bloom Jul-Sep #7a4aae | zones 7-10 | sun full-sun | water low | tags [purple, violet, tree, drought tolerant]
- crape-myrtle-red-rocket | "Red Rocket" | Lagerstroemia 'Red Rocket' | Shrub | H 6m x W 4m | 5y | bloom Jul-Sep #d6283a | zones 7-10 | sun full-sun | water low | tags [red, tree, drought tolerant]
- crape-myrtle-acoma | "Acoma" | Lagerstroemia 'Acoma' | Shrub | H 2.5m x W 3m | 5y | bloom Jul-Sep #f2efe6 | zones 7-10 | sun full-sun | water low | tags [white, tree, drought tolerant]
- crape-myrtle-pink-velour | "Pink Velour" | Lagerstroemia 'Pink Velour' | Shrub | H 4m x W 3m | 5y | bloom Jul-Sep #d63a86 | zones 6-10 | sun full-sun | water low | tags [pink, magenta, tree, drought tolerant]
- crape-myrtle-twilight | "Twilight" | Lagerstroemia 'Twilight' | Shrub | H 6m x W 4m | 5y | bloom Jul-Sep #6a3a9e | zones 7-10 | sun full-sun | water low | tags [purple, violet, tree, drought tolerant]
- crape-myrtle-cherry-dazzle | "Cherry Dazzle" | Lagerstroemia 'Cherry Dazzle' | Shrub | H 1.2m x W 1.2m | 4y | bloom Jul-Sep #cc2e4a | zones 7-10 | sun full-sun | water low | tags [red, magenta, drought tolerant]
- crape-myrtle-hopi | "Hopi" | Lagerstroemia 'Hopi' | Shrub | H 3m x W 3m | 5y | bloom Jul-Sep #f0a8c0 | zones 6-9 | sun full-sun | water low | tags [pink, tree, drought tolerant]
- crape-myrtle-black-diamond-red | "Black Diamond Red Hot" | Lagerstroemia 'Black Diamond Red Hot' | Shrub | H 3.5m x W 3m | 5y | bloom Jul-Sep #cc2832 | zones 7-9 | sun full-sun | water low | tags [red, tree, drought tolerant]
- potentilla | "Potentilla" | Potentilla fruticosa | Shrub | H 0.9m x W 1m | 3y | bloom Jun-Sep #f4c518 | zones 2-7 | sun full-sun | water low | tags [yellow, drought tolerant]
- potentilla-goldfinger | "Goldfinger" | Potentilla fruticosa 'Goldfinger' | Shrub | H 0.9m x W 1m | 3y | bloom Jun-Sep #f4c020 | zones 2-7 | sun full-sun | water low | tags [yellow, drought tolerant]
- potentilla-abbotswood | "Abbotswood" | Potentilla fruticosa 'Abbotswood' | Shrub | H 0.8m x W 1m | 3y | bloom Jun-Sep #f4f2ea | zones 2-7 | sun full-sun | water low | tags [white, drought tolerant]
- potentilla-pink-beauty | "Pink Beauty" | Potentilla fruticosa 'Pink Beauty' | Shrub | H 0.8m x W 1m | 3y | bloom Jun-Sep #e89ab8 | zones 2-7 | sun full-sun | water low | tags [pink, drought tolerant]
- potentilla-mango-tango | "Mango Tango" | Potentilla fruticosa 'Mango Tango' | Shrub | H 0.6m x W 0.7m | 3y | bloom Jun-Sep #f0902a | zones 2-7 | sun full-sun | water low | tags [orange, yellow, red, bicolor, drought tolerant]
- potentilla-red-ace | "Red Ace" | Potentilla fruticosa 'Red Ace' | Shrub | H 0.6m x W 0.8m | 3y | bloom Jun-Sep #e8542a | zones 2-7 | sun full-sun | water low | tags [red, orange, drought tolerant]
- potentilla-tangerine | "Tangerine" | Potentilla fruticosa 'Tangerine' | Shrub | H 0.7m x W 0.9m | 3y | bloom Jun-Sep #f0903a | zones 2-7 | sun full-sun | water low | tags [orange, yellow, drought tolerant]
