- smokebush-young-lady | "Young Lady" | Cotinus coggygria 'Young Lady' | Shrub | H 1.8m x W 1.8m | 5y | bloom Jun-Aug #e8c8d0 | zones 4-8 | sun full-sun | water low | tags [green, foliage, drought tolerant]
- smokebush-winecraft-black | "Winecraft Black" | Cotinus coggygria 'NCCO1' | Shrub | H 1.5m x W 1.5m | 5y | bloom Jun-Jul #d0a0b0 | zones 4-8 | sun full-sun | water low | tags [purple, burgundy, foliage, drought tolerant]
- beautyberry | "Beautyberry" | Callicarpa | Shrub | H 1.5m x W 1.5m | 4y | bloom Jun-Jul #d6a0d0 | zones 5-8 | sun part-sun | water moderate | tags [purple, berries]
- beautyberry-profusion | "Profusion" | Callicarpa bodinieri 'Profusion' | Shrub | H 1.8m x W 1.8m | 4y | bloom Aug-Oct #9a4fb0 | zones 5-8 | sun part-sun | water moderate | tags [purple, berries]
- beautyberry-early-amethyst | "Early Amethyst" | Callicarpa dichotoma 'Early Amethyst' | Shrub | H 1.2m x W 1.5m | 4y | bloom Aug-Oct #9a5ab0 | zones 5-8 | sun part-sun | water moderate | tags [purple, berries]
- beautyberry-american | "American Beautyberry" | Callicarpa americana | Shrub | H 1.8m x W 1.8m | 4y | bloom Aug-Oct #b04a90 | zones 6-10 | sun part-sun | water moderate | tags [purple, magenta, native, berries]
- beautyberry-pearl-glam | "Pearl Glam" | Callicarpa 'Pearl Glam' | Shrub | H 1.5m x W 1.2m | 4y | bloom Aug-Oct #a050a0 | zones 5-8 | sun part-sun | water moderate | tags [purple, foliage, berries]
- beautyberry-white | "White Beautyberry" | Callicarpa dichotoma f. albifructa | Shrub | H 1.5m x W 1.5m | 4y | bloom Aug-Oct #f0f0e8 | zones 5-8 | sun part-sun | water moderate | tags [white, berries]
- witch-hazel | "Witch Hazel" | Hamamelis | Shrub | H 3m x W 3m | 6y | bloom Feb-Mar #f0b22c | zones 3-8 | sun part-sun | water moderate | tags [yellow, fragrant, native]
- witch-hazel-arnold-promise | "Arnold Promise" | Hamamelis × intermedia 'Arnold Promise' | Shrub | H 3.5m x W 3m | 6y | bloom Feb-Mar #f2c020 | zones 5-8 | sun part-sun | water moderate | tags [yellow, fragrant]
- witch-hazel-jelena | "Jelena" | Hamamelis × intermedia 'Jelena' | Shrub | H 3m x W 3m | 6y | bloom Jan-Mar #e07a2a | zones 5-8 | sun part-sun | water moderate | tags [orange, fragrant]
- witch-hazel-diane | "Diane" | Hamamelis × intermedia 'Diane' | Shrub | H 3m x W 3m | 6y | bloom Jan-Mar #c0402a | zones 5-8 | sun part-sun | water moderate | tags [red, fragrant]
- witch-hazel-pallida | "Pallida" | Hamamelis × intermedia 'Pallida' | Shrub | H 3m x W 3m | 6y | bloom Jan-Mar #f4dc6a | zones 5-8 | sun part-sun | water moderate | tags [yellow, fragrant]
- witch-hazel-vernalis | "Ozark Witch Hazel" | Hamamelis vernalis | Shrub | H 2.5m x W 2.5m | 6y | bloom Jan-Mar #f0a82a | zones 4-8 | sun part-sun | water moderate | tags [yellow, orange, native]
- winterberry | "Winterberry" | Ilex verticillata | Shrub | H 2m x W 2m | 5y | bloom Oct-Dec #cc2a2a | zones 3-9 | sun full-sun | water high | tags [red, berries, native]
- winterberry-winter-red | "Winter Red" | Ilex verticillata 'Winter Red' | Shrub | H 2.5m x W 2.5m | 5y | bloom Oct-Dec #cc2a2a | zones 3-9 | sun full-sun | water high | tags [red, berries, native]
- winterberry-red-sprite | "Red Sprite" | Ilex verticillata 'Red Sprite' | Shrub | H 1m x W 1.2m | 5y | bloom Oct-Dec #d02828 | zones 3-9 | sun full-sun | water high | tags [red, berries, native]
