- tropical-hibiscus-red | "Red Tropical Hibiscus" | Hibiscus rosa-sinensis | Shrub | H 1.5m x W 1m | 2y | bloom Jun-Oct #e0202e | zones 9-11 | sun full-sun | water moderate | tags [red, tropical, large]
- tropical-hibiscus-yellow | "Yellow Tropical Hibiscus" | Hibiscus rosa-sinensis | Shrub | H 1.5m x W 1m | 2y | bloom Jun-Oct #f4c020 | zones 9-11 | sun full-sun | water moderate | tags [yellow, tropical, large]
- tropical-hibiscus-orange | "Orange Tropical Hibiscus" | Hibiscus rosa-sinensis | Shrub | H 1.5m x W 1m | 2y | bloom Jun-Oct #f0802a | zones 9-11 | sun full-sun | water moderate | tags [orange, tropical, large]
- tropical-hibiscus-white | "White Tropical Hibiscus" | Hibiscus rosa-sinensis | Shrub | H 1.5m x W 1m | 2y | bloom Jun-Oct #f4f2ea | zones 9-11 | sun full-sun | water moderate | tags [white, tropical, large]
- tropical-hibiscus-coral | "Coral Tropical Hibiscus" | Hibiscus rosa-sinensis | Shrub | H 1.5m x W 1m | 2y | bloom Jun-Oct #f0746a | zones 9-11 | sun full-sun | water moderate | tags [coral, orange, tropical, large]
- tropical-hibiscus-peach | "Peach Tropical Hibiscus" | Hibiscus rosa-sinensis | Shrub | H 1.5m x W 1m | 2y | bloom Jun-Oct #f0a868 | zones 9-11 | sun full-sun | water moderate | tags [peach, apricot, coral, tropical, large]
- tropical-hibiscus-lavender | "Lavender Tropical Hibiscus" | Hibiscus rosa-sinensis | Shrub | H 1.5m x W 1m | 2y | bloom Jun-Oct #b07ac4 | zones 9-11 | sun full-sun | water moderate | tags [lavender, purple, tropical, large]
- tropical-hibiscus-fiesta | "Fiesta" | Hibiscus rosa-sinensis 'Fiesta' | Shrub | H 1.5m x W 1m | 2y | bloom Jun-Oct #f0602a | zones 9-11 | sun full-sun | water moderate | tags [orange, red, bicolor, tropical, large]
- tropical-hibiscus-hula-girl | "Hula Girl" | Hibiscus rosa-sinensis 'Hula Girl' | Shrub | H 1.5m x W 1m | 2y | bloom Jun-Oct #f0c028 | zones 9-11 | sun full-sun | water moderate | tags [yellow, gold, bicolor, tropical, large]
- tropical-hibiscus-president | "President" | Hibiscus rosa-sinensis 'President' | Shrub | H 1.5m x W 1m | 2y | bloom Jun-Oct #d6304a | zones 9-11 | sun full-sun | water moderate | tags [red, pink, tropical, large]
- tropical-hibiscus-magenta | "Magenta Tropical Hibiscus" | Hibiscus rosa-sinensis | Shrub | H 1.5m x W 1m | 2y | bloom Jun-Oct #cc2e8e | zones 9-11 | sun full-sun | water moderate | tags [magenta, pink, tropical, large]
- annabelle | "Annabelle" | Hydrangea arborescens 'Annabelle' | Shrub | H 1.5m x W 1.5m | 3y | bloom Jun-Sep #ffffff | zones 3-9 | sun part-sun | water moderate | tags [white, hydrangea, annabelle, deciduous, fragrant, shade tolerant, cut flowers]
- california-flannel-bush-ken-taylor | "California Flannel Bush 'Ken Taylor'" | Fremontodendron 'Ken Taylor' | Shrub | H 1.5m x W 3m | 3y | bloom Apr-Jul #e8920a | zones 8-11 | sun full-sun | water low | tags [california, flannel bush, yellow, orange, drought tolerant, evergreen, native, california ke, fremontia, groundcover]
- california-flannel-bush-pacific-sunset | "California Flannel Bush 'Pacific Sunset'" | Fremontodendron 'Pacific Sunset' | Shrub | H 5m x W 4m | 3y | bloom Apr-Aug #f0a000 | zones 8-11 | sun full-sun | water low | tags [california, flannel bush, yellow, orange, drought tolerant, evergreen, native, california ke, fremontia, repeat blooming]
- california-keiki-fremontodendron | "California Flannelbush" | Fremontodendron californicum | Shrub | H 4.5m x W 3.5m | 3y | bloom Apr-Jul #f5a800 | zones 8-11 | sun full-sun | water low | tags [california, flannel bush, yellow, drought tolerant, evergreen, native, california ke, fremontia]
- california-lilac | "California Lilac" | Ceanothus 'Concha' | Shrub | H 2.4m x W 3m | 3y | bloom Apr-May #3b5fc0 | zones 8-11 | sun full-sun | water low | tags [california k, california lilac, ceanothus, blue, purple, drought tolerant, evergreen, native, california native, coastal]
- white-limelight-hydrangea | "White Limelight Hydrangea" | Hydrangea paniculata 'Limelight' | Shrub | H 2.5m x W 2.5m | 3y | bloom Jul-Oct #f5f5f0 | zones 3-8 | sun full-sun | water moderate | tags [white, cream, panicle hydrangea, limelight, deciduous, fragrant, late summer bloomer]
- white-variegated-privet | "White Variegated Privet" | Ligustrum sinense 'Variegatum' | Shrub | H 2m x W 1.5m | 2y | bloom May-Jul #ffffff | zones 6-10 | sun full-sun | water moderate | tags [white, variegated, lime green, privet, deciduous, fragrant]
