- japanese-maple | "Japanese Maple" | Acer palmatum | Tree | H 5m x W 4.5m | 15y | bloom (none) | zones 5-8 | sun part-shade | water moderate | tags [red, foliage, fall color, specimen]
- bloodgood | "Bloodgood" | Acer palmatum 'Bloodgood' | Tree | H 6m x W 5m | 15y | bloom (none) | zones 5-8 | sun part-shade | water moderate | tags [red, purple, foliage, fall color, specimen]
- emperor | "Emperor I" | Acer palmatum 'Emperor I' | Tree | H 5m x W 4.5m | 15y | bloom (none) | zones 5-8 | sun part-shade | water moderate | tags [red, foliage, fall color, specimen]
- sango-kaku | "Coral Bark Maple" | Acer palmatum 'Sango-kaku' | Tree | H 5m x W 4m | 15y | bloom (none) | zones 5-8 | sun part-shade | water moderate | tags [green, coral, gold, foliage, fall color, specimen]
- crimson-queen | "Crimson Queen" | Acer palmatum var. dissectum 'Crimson Queen' | Tree | H 3m x W 4m | 15y | bloom (none) | zones 5-8 | sun part-shade | water moderate | tags [red, foliage, laceleaf, fall color, specimen]
- viridis | "Viridis" | Acer palmatum var. dissectum 'Viridis' | Tree | H 3m x W 4m | 15y | bloom (none) | zones 5-8 | sun part-shade | water moderate | tags [green, foliage, laceleaf, fall color, specimen]
- tamukeyama | "Tamukeyama" | Acer palmatum var. dissectum 'Tamukeyama' | Tree | H 2.5m x W 3.5m | 15y | bloom (none) | zones 5-9 | sun part-shade | water moderate | tags [red, purple, foliage, laceleaf, specimen]
- butterfly | "Butterfly" | Acer palmatum 'Butterfly' | Tree | H 4m x W 2.5m | 15y | bloom (none) | zones 5-8 | sun part-shade | water moderate | tags [green, cream, white, foliage, variegated, specimen]
- orange-dream | "Orange Dream" | Acer palmatum 'Orange Dream' | Tree | H 4m x W 3m | 15y | bloom (none) | zones 5-8 | sun part-shade | water moderate | tags [orange, gold, yellow, foliage, specimen]
- fireglow | "Fireglow" | Acer palmatum 'Fireglow' | Tree | H 4.5m x W 4m | 15y | bloom (none) | zones 5-8 | sun part-sun | water moderate | tags [red, foliage, fall color, specimen]
- osakazuki | "Osakazuki" | Acer palmatum 'Osakazuki' | Tree | H 6m x W 5m | 15y | bloom (none) | zones 5-8 | sun part-shade | water moderate | tags [green, red, foliage, fall color, specimen]
- waterfall | "Waterfall" | Acer palmatum var. dissectum 'Waterfall' | Tree | H 3m x W 4m | 15y | bloom (none) | zones 5-8 | sun part-shade | water moderate | tags [green, foliage, laceleaf, fall color, specimen]
- redbud | "Eastern Redbud" | Cercis canadensis | Tree | H 7m x W 8m | 10y | bloom Apr-Apr #c45a92 | zones 4-9 | sun part-sun | water moderate | tags [pink, native]
- forest-pansy | "Forest Pansy" | Cercis canadensis 'Forest Pansy' | Tree | H 6m x W 7m | 10y | bloom Apr-Apr #c45a92 | zones 5-9 | sun part-sun | water moderate | tags [pink, native]
- hearts-of-gold | "Hearts of Gold" | Cercis canadensis 'Hearts of Gold' | Tree | H 6m x W 6m | 10y | bloom Apr-Apr #c45a92 | zones 5-9 | sun part-sun | water moderate | tags [pink, native]
- rising-sun | "The Rising Sun" | Cercis canadensis 'The Rising Sun' | Tree | H 4m x W 4m | 10y | bloom Apr-Apr #c45a92 | zones 5-9 | sun part-sun | water moderate | tags [pink, native]
- royal-white | "Royal White Redbud" | Cercis canadensis f. alba 'Royal White' | Tree | H 6m x W 7m | 10y | bloom Apr-Apr #f6f2ea | zones 4-9 | sun part-sun | water moderate | tags [white, native]
- ruby-falls | "Ruby Falls" | Cercis canadensis 'Ruby Falls' | Tree | H 2m x W 2m | 10y | bloom Apr-Apr #c04a8e | zones 5-9 | sun part-sun | water moderate | tags [pink, native, weeping]
- lavender-twist | "Lavender Twist" | Cercis canadensis 'Covey' | Tree | H 2.5m x W 2.5m | 10y | bloom Apr-Apr #c46a9e | zones 4-9 | sun part-sun | water moderate | tags [pink, lavender, native, weeping]
- oklahoma-redbud | "Oklahoma Redbud" | Cercis canadensis var. texensis 'Oklahoma' | Tree | H 5m x W 5m | 10y | bloom Apr-Apr #b03a7e | zones 6-9 | sun full-sun | water moderate | tags [magenta, purple]
- appalachian-red | "Appalachian Red" | Cercis canadensis 'Appalachian Red' | Tree | H 5m x W 5m | 10y | bloom Apr-Apr #c83a6e | zones 5-9 | sun part-sun | water moderate | tags [magenta, pink, native]
- flame-thrower | "Flame Thrower" | Cercis canadensis 'Flame Thrower' | Tree | H 5m x W 5m | 10y | bloom Apr-Apr #c45a92 | zones 5-9 | sun part-sun | water moderate | tags [pink, native]
- dogwood-tree | "Flowering Dogwood" | Cornus florida | Tree | H 7m x W 7m | 12y | bloom Apr-May #fbfbfb | zones 5-9 | sun part-shade | water moderate | tags [white, native]
- cherokee-chief | "Cherokee Chief" | Cornus florida 'Cherokee Chief' | Tree | H 6m x W 6m | 12y | bloom Apr-May #d6486a | zones 5-9 | sun part-shade | water moderate | tags [red, pink, native]
- cherokee-princess | "Cherokee Princess" | Cornus florida 'Cherokee Princess' | Tree | H 6m x W 6m | 12y | bloom Apr-May #f8f6ee | zones 5-9 | sun part-shade | water moderate | tags [white, native]
- cherokee-brave | "Cherokee Brave" | Cornus florida 'Cherokee Brave' | Tree | H 6m x W 6m | 12y | bloom Apr-May #e0567e | zones 5-9 | sun part-shade | water moderate | tags [pink, red, native]
- cloud-nine | "Cloud Nine" | Cornus florida 'Cloud Nine' | Tree | H 6m x W 6m | 12y | bloom Apr-May #f8f6ee | zones 5-9 | sun part-shade | water moderate | tags [white, native]
- dogwood-rubra | "Pink Dogwood" | Cornus florida var. rubra | Tree | H 6m x W 6m | 12y | bloom Apr-May #f0b8c8 | zones 5-9 | sun part-shade | water moderate | tags [pink, native]
- kousa-dogwood | "Kousa Dogwood" | Cornus kousa | Tree | H 6m x W 6m | 12y | bloom May-Jun #f4f2ea | zones 5-8 | sun part-shade | water moderate | tags [white]
- milky-way | "Milky Way Kousa" | Cornus kousa 'Milky Way' | Tree | H 6m x W 6m | 12y | bloom May-Jun #f4f2ea | zones 5-8 | sun part-shade | water moderate | tags [white]
- wolf-eyes | "Wolf Eyes" | Cornus kousa 'Wolf Eyes' | Tree | H 3m x W 3m | 12y | bloom May-Jun #f2f0e8 | zones 5-8 | sun part-shade | water moderate | tags [white, green, cream, variegated]
