- star-magnolia | "Star Magnolia" | Magnolia stellata | Tree | H 5m x W 5m | 12y | bloom Mar-Mar #f6f2ea | zones 4-8 | sun full-sun | water moderate | tags [white, fragrant, early]
- jane-magnolia | "Jane Magnolia" | Magnolia 'Jane' | Tree | H 4m x W 3m | 12y | bloom Apr-May #a85a9e | zones 4-8 | sun full-sun | water moderate | tags [purple, pink, fragrant]
- ann-magnolia | "Ann Magnolia" | Magnolia 'Ann' | Tree | H 4m x W 3m | 12y | bloom Apr-Apr #9a4a8e | zones 4-8 | sun full-sun | water moderate | tags [purple, magenta, fragrant]
- royal-star | "Royal Star Magnolia" | Magnolia stellata 'Royal Star' | Tree | H 4m x W 4m | 12y | bloom Mar-Apr #f8f4ec | zones 4-8 | sun full-sun | water moderate | tags [white, fragrant, early]
- leonard-messel | "Leonard Messel" | Magnolia × loebneri 'Leonard Messel' | Tree | H 6m x W 5m | 12y | bloom Mar-Apr #d6a0c4 | zones 4-8 | sun full-sun | water moderate | tags [pink, lilac, fragrant]
- alexandrina | "Alexandrina Magnolia" | Magnolia × soulangeana 'Alexandrina' | Tree | H 6m x W 5m | 12y | bloom Mar-Apr #d68ab8 | zones 4-9 | sun full-sun | water moderate | tags [pink, purple, fragrant]
- little-gem | "Little Gem Magnolia" | Magnolia grandiflora 'Little Gem' | Tree | H 6m x W 3m | 15y | bloom May-Sep #f8f6ec | zones 7-10 | sun full-sun | water moderate | tags [white, evergreen, fragrant]
- sweetbay-magnolia | "Sweetbay Magnolia" | Magnolia virginiana | Tree | H 9m x W 6m | 15y | bloom May-Jul #f4f0e4 | zones 5-10 | sun part-sun | water high | tags [white, cream, fragrant, native]
- butterflies-magnolia | "Butterflies Magnolia" | Magnolia 'Butterflies' | Tree | H 5m x W 4m | 12y | bloom Apr-Apr #f0dc78 | zones 5-9 | sun full-sun | water moderate | tags [yellow, fragrant]
- genie-magnolia | "Genie Magnolia" | Magnolia 'Genie' | Tree | H 4m x W 3m | 12y | bloom Apr-May #8a3a6e | zones 5-9 | sun full-sun | water moderate | tags [purple, magenta, burgundy, fragrant]
- betty-magnolia | "Betty Magnolia" | Magnolia 'Betty' | Tree | H 4m x W 4m | 12y | bloom Apr-May #a05a9e | zones 4-8 | sun full-sun | water moderate | tags [purple, pink, fragrant]
- crabapple | "Flowering Crabapple" | Malus | Tree | H 6m x W 6m | 10y | bloom Apr-May #e87da0 | zones 4-8 | sun full-sun | water moderate | tags [pink, berries]
- prairifire | "Prairifire" | Malus 'Prairifire' | Tree | H 6m x W 6m | 10y | bloom Apr-May #d6486a | zones 4-8 | sun full-sun | water moderate | tags [red, pink, berries]
- royal-raindrops | "Royal Raindrops" | Malus 'Royal Raindrops' | Tree | H 6m x W 5m | 10y | bloom Apr-May #cc4a7e | zones 4-8 | sun full-sun | water moderate | tags [magenta, pink, berries]
- snowdrift | "Snowdrift" | Malus 'Snowdrift' | Tree | H 5m x W 5m | 10y | bloom Apr-May #f8f6ee | zones 4-8 | sun full-sun | water moderate | tags [white, berries]
