- coles-select | "Cole's Select" | Amelanchier × grandiflora 'Cole's Select' | Tree | H 6m x W 5m | 10y | bloom Apr-Apr #f8f6ee | zones 4-8 | sun part-sun | water moderate | tags [white, native, fall color]
- rainbow-pillar | "Rainbow Pillar" | Amelanchier canadensis 'Rainbow Pillar' | Tree | H 6m x W 2.5m | 10y | bloom Apr-Apr #f8f6ee | zones 4-8 | sun part-sun | water moderate | tags [white, native, fall color]
- serviceberry-ballerina | "Ballerina Serviceberry" | Amelanchier × grandiflora 'Ballerina' | Tree | H 6m x W 5m | 10y | bloom Apr-Apr #f8f6ee | zones 4-8 | sun part-sun | water moderate | tags [white, native, fall color]
- southern-magnolia | "Southern Magnolia" | Magnolia grandiflora | Tree | H 18m x W 12m | 20y | bloom May-Jul #fbfbf2 | zones 7-10 | sun full-sun | water moderate | tags [white, evergreen, fragrant]
- red-maple | "Red Maple" | Acer rubrum | Tree | H 15m x W 12m | 20y | bloom (none) | zones 3-9 | sun full-sun | water moderate | tags [fall color, native]
- sugar-maple | "Sugar Maple" | Acer saccharum | Tree | H 18m x W 12m | 25y | bloom (none) | zones 3-8 | sun full-sun | water moderate | tags [fall color, native]
- river-birch | "River Birch" | Betula nigra | Tree | H 15m x W 12m | 20y | bloom (none) | zones 4-9 | sun full-sun | water high | tags [native, bark]
- ginkgo | "Ginkgo" | Ginkgo biloba | Tree | H 15m x W 10m | 25y | bloom (none) | zones 3-8 | sun full-sun | water moderate | tags [yellow, fall color]
- tulip-tree | "Tulip Tree" | Liriodendron tulipifera | Tree | H 20m x W 12m | 25y | bloom May-Jun #ccd866 | zones 4-9 | sun full-sun | water moderate | tags [native, yellow]
- weeping-willow | "Weeping Willow" | Salix babylonica | Tree | H 12m x W 12m | 15y | bloom (none) | zones 4-9 | sun full-sun | water high | tags [water, specimen]
- honeylocust | "Honeylocust" | Gleditsia triacanthos | Tree | H 15m x W 12m | 20y | bloom (none) | zones 3-9 | sun full-sun | water moderate | tags [yellow]
- linden | "Littleleaf Linden" | Tilia cordata | Tree | H 15m x W 10m | 20y | bloom (none) | zones 3-8 | sun full-sun | water moderate | tags [fragrant]
- lime-tree | "Lime Tree" | Citrus aurantifolia | Tree | H 4m x W 3m | 3y | bloom Apr-Jun #ffffff | zones 9-11 | sun full-sun | water moderate | tags [white, lime, citrus, edible, fragrant flowers, tropical]
- miyako | "Japanese Maple 'Miyako'" | Acer palmatum 'Miyako' | Tree | H 2.5m x W 2m | 5y | bloom (none) | zones 5-8 | sun part-shade | water moderate | tags [red foliage, deciduous, ornamental, shade tolerant, fine texture]
