slug,name,botanical,genus,cat,grouped,group,groupDefault,bloomCount,bloomColors,foliage,sun,water,zones,tags
tulip,Tulip,Tulipa,Tulipa,Bulb,true,tulips,true,1,#e0457b,,full-sun,moderate,3-8,pink cut flower
tulip-apeldoorn,Apeldoorn,Tulipa 'Apeldoorn',Tulipa,Bulb,true,tulips,false,1,#d63027,,full-sun,moderate,3-8,red darwin hybrid cut flower
tulip-golden-apeldoorn,Golden Apeldoorn,Tulipa 'Golden Apeldoorn',Tulipa,Bulb,true,tulips,false,1,#f2bc1e,,full-sun,moderate,3-8,yellow darwin hybrid cut flower
tulip-pink-impression,Pink Impression,Tulipa 'Pink Impression',Tulipa,Bulb,true,tulips,false,1,#ec6f94,,full-sun,moderate,3-8,pink darwin hybrid cut flower
tulip-apricot-beauty,Apricot Beauty,Tulipa 'Apricot Beauty',Tulipa,Bulb,true,tulips,false,1,#f2a878,,full-sun,moderate,3-8,apricot salmon single early fragrant cut flower
tulip-princess-irene,Princess Irene,Tulipa 'Princess Irene',Tulipa,Bulb,true,tulips,false,1,#e87a2a,,full-sun,moderate,3-8,orange purple triumph fragrant
tulip-negrita,Negrita,Tulipa 'Negrita',Tulipa,Bulb,true,tulips,false,1,#74428f,,full-sun,moderate,3-8,purple triumph cut flower
tulip-couleur-cardinal,Couleur Cardinal,Tulipa 'Couleur Cardinal',Tulipa,Bulb,true,tulips,false,1,#b62630,,full-sun,moderate,3-8,red crimson triumph fragrant
tulip-angelique,Angelique,Tulipa 'Angelique',Tulipa,Bulb,true,tulips,false,1,#f3c3d4,,full-sun,moderate,3-8,pink blush double peony fragrant
tulip-monte-carlo,Monte Carlo,Tulipa 'Monte Carlo',Tulipa,Bulb,true,tulips,false,1,#f2cf3c,,full-sun,moderate,3-8,yellow double fragrant early
tulip-spring-green,Spring Green,Tulipa 'Spring Green',Tulipa,Bulb,true,tulips,false,1,#e7eccb,,full-sun,moderate,3-8,white green viridiflora
tulip-ballerina,Ballerina,Tulipa 'Ballerina',Tulipa,Bulb,true,tulips,false,1,#ec6a24,,full-sun,moderate,3-8,orange lily-flowered fragrant cut flower
tulip-white-triumphator,White Triumphator,Tulipa 'White Triumphator',Tulipa,Bulb,true,tulips,false,1,#f7f5ee,,full-sun,moderate,3-8,white lily-flowered cut flower
tulip-purissima,Purissima,Tulipa 'Purissima',Tulipa,Bulb,true,tulips,false,1,#f8f6f0,,full-sun,moderate,3-8,white fosteriana early
tulip-orange-emperor,Orange Emperor,Tulipa 'Orange Emperor',Tulipa,Bulb,true,tulips,false,1,#ee7320,,full-sun,moderate,3-8,orange fosteriana early
tulip-flaming-parrot,Flaming Parrot,Tulipa 'Flaming Parrot',Tulipa,Bulb,true,tulips,false,1,#f2c33a,,full-sun,moderate,3-8,yellow red parrot cut flower
tulip-black-parrot,Black Parrot,Tulipa 'Black Parrot',Tulipa,Bulb,true,tulips,false,1,#3a2433,,full-sun,moderate,3-8,purple black parrot
tulip-queen-of-night,Queen of Night,Tulipa 'Queen of Night',Tulipa,Bulb,true,tulips,false,1,#2e1d2b,,full-sun,moderate,3-8,purple black single late cut flower
daffodil,Daffodil,Narcissus,Narcissus,Bulb,true,daffodils,true,1,#f5d033,,full-sun,moderate,3-8,yellow deer-resistant early
