existing_plant,botanical,proposed_aliases,buckets,top_freq,n_aliases
Bigleaf Hydrangea,Hydrangea macrophylla,big leaf hydrangea; endless summer; endless summer hydrangea; french hydrangea; hidrangea; hortensia; hydranga; hydrangeas; hydrangia; hyrangea; lacecap; let's dance; mop head hydrangea; mophead; mophead hydrangea,alt-common-name; brand-series; misspelling; plural-format; regional,high,15
Panicle Hydrangea,Hydrangea paniculata,bobo; hidrangea; hydranga; hydrangeas; hydrangia; little lime; pee gee hydrangea; peegee; peegee hydrangea; pinky winky; quick fire; vanilla strawberry,alt-common-name; brand-series; misspelling; plural-format,high,12
Hardy Hibiscus,Hibiscus moscheutos,dinner plate hibiscus; dinnerplate hibiscus; hibicus; hibiscous; hibsicus; hybiscus; perennial hibiscus; rose mallow; swamp hibiscus; swamp mallow; swamp rose mallow,alt-common-name; misspelling,high,11
Garden Mum,Chrysanthemum,chrisanthemum; chrysanthamum; chrysanthenum; crysanthemum; fall mum; garden mums; hardy chrysanthemum; hardy mum; mum; mums,alt-common-name; misspelling; plural-format,high,10
Rhododendron,Rhododendron,rhodadendron; rhodedendron; rhodendron; rhododendran; rhododendrom; rhododendron bush; rhododendrons; rhododendrun; rhody; rododendron,misspelling; plural-format,high,10
Impatiens,Impatiens walleriana,beacon impatiens; busy lizzie; busy lizzy; garden balsam; impatians; impatience; impatiens flowers; impatients; patience plant; sultana,alt-common-name; brand-series; misspelling; plural-format; regional,high,10
Arborvitae,Thuja occidentalis,american arborvitae; arbor vitae; arborvitae hedge; arborvite; arborvitea; arbovitae; cedar hedge; eastern white cedar; northern white cedar; white cedar,alt-common-name; misspelling; plural-format; regional,high,10
Pansy,Viola \u00d7 wittrockiana,cool wave; cool wave pansy; heartsease; johnny jump up; matrix pansy; pansey; pansies; panzy; violet,alt-common-name; brand-series; misspelling; plural-format,high,9
Rose of Sharon,Hibiscus syriacus,althaea; althea; althea bush; rose mallow; rose of sharon bush; rose of sharron; rose-of-sharon; roses of sharon; shrub althea,alt-common-name; misspelling; plural-format; regional,high,9
Geranium (Annual),Pelargonium,bedding geranium; calliope geranium; geraniam; geraniums; geranuim; geranum; granium; storksbill; zonal geranium,alt-common-name; brand-series; misspelling; plural-format,high,9
Wisteria,Wisteria,american wisteria; chinese wisteria; japanese wisteria; kentucky wisteria; westeria; wistaria; wisterias; wisterria; wysteria,alt-common-name; misspelling; plural-format,high,9
Daffodil,Narcissus,daffadil; daffidil; daffodill; daffodils; daffs; dafodil; jonquil; jonquils; narcissi,alt-common-name; misspelling; plural-format,high,9
Rugosa Rose,Rosa rugosa,beach rose; hedge rose; hedgehog rose; japanese rose; ramanas rose; rugosa roses; salt spray rose; saltspray rose; sea tomato,alt-common-name; plural-format,high,9
Crimson Queen,Acer palmatum var. dissectum 'Crimson Queen',crimson queen japanese maple; crimson queen maple; cutleaf japanese maple; dwarf japanese maple; lace leaf maple; laceleaf maple; red japanese maple; threadleaf maple; weeping japanese maple,alt-common-name; cultivar-trade; plural-format,high,9
Hardy Geranium,Geranium,crane's bill; cranesbill; cranesbill geranium; geraniam; geranuim; granium; hardy cranesbill; perennial geranium,alt-common-name; misspelling,high,8
Lavender,Lavandula,english lavender; lavander; lavendar; lavender plant; lavendor; lavendula; levender; true lavender,alt-common-name; misspelling; plural-format,high,8
African Daisy,Osteospermum,african daisy gazania; blue eyed daisy; cape daisy; cape marguerite; cape marigold; osteospernum; osteosperum; sunscape daisy,alt-common-name; brand-series; misspelling,high,8
Nasturtium,Tropaeolum,alaska nasturtium; indian cress; nastertium; nasturium; nastursium; nasturtion; nasturtiums; whirlybird nasturtium,alt-common-name; brand-series; misspelling; plural-format,high,8
Ranunculus,Ranunculus asiaticus,buttercup; persian buttercup; rananculus; ranunculas; ranunculous; ranunculus bulbs; renunculus; rununculus,alt-common-name; misspelling; plural-format,high,8
Knock Out Rose,Rosa 'Knock Out',double knock out; double knock out rose; double knockout rose; knockout rose; knockout roses; landscape rose; pink knockout rose; red knockout rose,alt-common-name; brand-series; misspelling,high,8
Drift Rose,Rosa 'Meijocos',coral drift rose; drift roses; ground cover roses; groundcover rose; landscape rose; peach drift rose; pink drift rose; red drift rose,alt-common-name; brand-series; plural-format,high,8
Tamukeyama,Acer palmatum var. dissectum 'Tamukeyama',cutleaf japanese maple; dwarf japanese maple; lace leaf maple; laceleaf maple; red japanese maple; tamukeyama japanese maple; threadleaf maple; weeping japanese maple,alt-common-name; cultivar-trade; plural-format,high,8
Serviceberry,Amelanchier,downy serviceberry; june berry; juneberry; juneberry tree; saskatoon; serviceberry tree; shadblow; shadbush,alt-common-name; plural-format,high,8
Black-Eyed Susan,Rudbeckia,black eyed susan; black eyed susans; black-eyed susan; blackeyed susan; brown eyed susan; gloriosa daisy; rudbekia,alt-common-name; misspelling; plural-format,high,7
Black-Eyed Susan Vine,Thunbergia alata,black eyed susan; black eyed susan vine; black eyed susans; black-eyed susan; blackeyed susan vine; clock vine; clockvine,alt-common-name; misspelling; plural-format,high,7
Smooth Hydrangea,Hydrangea arborescens,hidrangea; hydrangia; hyrangea; incrediball; invincibelle; snowball bush; snowball hydrangea,alt-common-name; brand-series; misspelling,high,7
Azalea,Rhododendron,azaela; azalea bush; azaleas; azalia; azelea; bloom-a-thon; encore azalea,brand-series; misspelling; plural-format,high,7
Fuchsia,Fuchsia,fuchia; fucshia; fuschia; fuscia; fushia; lady's eardrops; ladys eardrops,alt-common-name; misspelling,high,7
Petunia,Petunia,cascadia petunia; patunia; petchunia; petunias; petunya; surfinia; trailing petunia,alt-common-name; brand-series; misspelling; plural-format,high,7
Daylily,Hemerocallis,day lilies; day lilly; day lily; daylilies; daylillies; daylilly; rainbow rhythm,brand-series; misspelling; plural-format,high,7
Delphinium,Delphinium,delfinium; delphenium; delphiniums; delphinuim; delphinum; larkspur; perennial larkspur,alt-common-name; misspelling; plural-format,high,7
Coral Bells,Heuchera,alum root; alumroot; colorsplash; coralbells; dolce; huchera; huechera,alt-common-name; brand-series; misspelling; plural-format,high,7
Crape Myrtle,Lagerstroemia,crape myrtle tree; crape myrtles; crapemyrtle; crepe myrtle; crepe myrtle tree; crepe myrtles; grape myrtle,misspelling; plural-format; regional,high,7
Gardenia,Gardenia jasminoides,cape jasmine; cape jessamine; gardenia bush; gardenias; gardennia; gardenya; gardinia,alt-common-name; misspelling; plural-format,high,7
Clematis,Clematis,clamatis; clematus; clemetis; climatis; leather flower; old man's beard; virgins bower,alt-common-name; misspelling,high,7
Gladiolus,Gladiolus,gladiola; gladiolas; gladioli; gladiolous; gladiolus bulbs; glads; sword lily,alt-common-name; misspelling; plural-format,high,7
Flowering Cherry,Prunus serrulata,cherry blossom; cherry blossom tree; cherry tree; flowering cherry tree; japanese cherry; japanese flowering cherry; sakura,alt-common-name; plural-format; regional,high,7
