Abbotswood | Potentilla fruticosa 'Abbotswood' | Shrub | Potentilla
Abraham Darby | Rosa 'Auscot' | Rose | English (David Austin) Roses
Acoma | Lagerstroemia 'Acoma' | Shrub | Crape Myrtle
Actaea | Narcissus 'Actaea' | Bulb | Daffodils
Adirondack | Malus 'Adirondack' | Tree | Crabapple
Admiral | Anemone coronaria 'Admiral' | Bulb | Anemone
African Daisy | Osteospermum | Annual | African Daisy
African Marigold | Tagetes erecta | Annual | Marigolds
Agapanthus | Agapanthus | Bulb | Agapanthus
Agastache 'Apricot Sprite' | Agastache 'Apricot Sprite' | Perennial | 
Agastache 'Firebird' | Agastache 'Firebird' | Perennial | 
Agave | Agave | Perennial | 
Ageratum | Ageratum houstonianum | Annual | Ageratum
Akebono Cherry | Prunus × yedoensis 'Akebono' | Tree | Flowering Cherry
Alaska | Leucanthemum × superbum 'Alaska' | Perennial | Shasta Daisy
Alba | Lamprocapnos spectabilis 'Alba' | Perennial | Bleeding Heart
Alba | Scilla luciliae 'Alba' | Bulb | Glory of the Snow
Alba Plena | Camellia japonica 'Alba Plena' | Shrub | Camellia
Albostriata | Hakonechloa macra 'Albostriata' | Grass | Japanese Forest Grass
Album | Colchicum autumnale 'Album' | Bulb | Autumn Crocus
Alexandrina Magnolia | Magnolia × soulangeana 'Alexandrina' | Tree | Magnolia
Alma Pötschke | Symphyotrichum novae-angliae 'Alma Pötschke' | Perennial | Aster
Alocasia Polly | Alocasia × amazonica 'Polly' | Bulb | Elephant Ear
Aloe | Aloe | Perennial | 
Alpine Squill | Scilla bifolia | Bulb | Scilla
Amaryllis | Hippeastrum | Bulb | Amaryllis
Amazing Grace | Phlox subulata 'Amazing Grace' | Perennial | Creeping Phlox
Amber Jubilee | Physocarpus opulifolius 'Jefam' | Shrub | Ninebark
American Beautyberry | Callicarpa americana | Shrub | Beautyberry
American Boxwood | Buxus sempervirens | Shrub | Boxwood
American Gold Rush | Rudbeckia 'American Gold Rush' | Perennial | Black-Eyed Susan
Amethyst | Astilbe × arendsii 'Amethyst' | Perennial | Astilbe
Amethyst Falls Wisteria | Wisteria frutescens 'Amethyst Falls' | Climber | Wisteria
Anah Kruschke | Rhododendron 'Anah Kruschke' | Shrub | Rhododendrons
Angelface Raspberry | Angelonia 'Angelface Raspberry' | Annual | Angelonia
Angelique | Tulipa 'Angelique' | Bulb | Tulips
Angelonia | Angelonia angustifolia | Annual | Angelonia
Anise Hyssop | Agastache | Perennial | 
Ann Folkard | Geranium 'Ann Folkard' | Perennial | Hardy Geranium
Ann Magnolia | Magnolia 'Ann' | Tree | Magnolia
Anna Marie | Hyacinthus 'Anna Marie' | Bulb | Hyacinth
Anna's Red | Helleborus × hybridus 'Anna's Red' | Perennial | Hellebore
Annabelle | Hydrangea arborescens 'Annabelle' | Shrub | 
Annual Phlox | Phlox drummondii | Annual | Annual Phlox
Anthony Waterer | Spiraea japonica 'Anthony Waterer' | Shrub | Spirea
Apeldoorn | Tulipa 'Apeldoorn' | Bulb | Tulips
Aphrodite | Hibiscus syriacus 'Aphrodite' | Shrub | Rose of Sharon
Appalachian Red | Cercis canadensis 'Appalachian Red' | Tree | Redbud
Apple Blossom | Hippeastrum 'Apple Blossom' | Bulb | Amaryllis
Apricot Beauty | Tulipa 'Apricot Beauty' | Bulb | Tulips
Apricot Calendula | Calendula officinalis | Annual | Calendula
Apricot Delight | Achillea millefolium 'Apricot Delight' | Perennial | Yarrow
Apricot Lemonade | Cosmos bipinnatus 'Apricot Lemonade' | Annual | Cosmos
Apricot Lisianthus | Eustoma grandiflorum | Annual | Lisianthus
Apricot Marguerite Daisy | Argyranthemum | Annual | Marguerite Daisy
Apricot Ranunculus | Ranunculus asiaticus | Bulb | Ranunculus
Apricot Sparkles | Hemerocallis 'Apricot Sparkles' | Perennial | Daylilies
Apricot Statice | Limonium sinuatum | Annual | Statice
Apricot Strawflower | Xerochrysum bracteatum | Annual | Strawflower
Apricot Sweet Alyssum | Lobularia 'Apricot' | Annual | Sweet Alyssum
Apricot Tuberous Begonia | Begonia × tuberhybrida | Annual | Tuberous Begonia
Apricot Vinca | Catharanthus roseus | Annual | Vinca
April Night | Salvia nemorosa 'April Night' | Perennial | Salvia
April Rose | Camellia japonica 'April Rose' | Shrub | Camellia
Arabian Night | Dahlia 'Arabian Night' | Bulb | Dahlias
Arabicum | Ornithogalum arabicum | Bulb | Star of Bethlehem
Arborvitae | Thuja occidentalis | Conifer | Arborvitae
Arizona Apricot | Gaillardia × grandiflora 'Arizona Apricot' | Perennial | Blanket Flower
Arizona Glow | Thunbergia alata 'Arizona Glow' | Climber | Black-Eyed Susan Vine
Arizona Rose | Thunbergia alata 'Arizona Rose' | Climber | Black-Eyed Susan Vine
Arizona Sun | Gaillardia × grandiflora 'Arizona Sun' | Perennial | Blanket Flower
Arnold Promise | Hamamelis × intermedia 'Arnold Promise' | Shrub | Witch Hazel
Arrowwood | Viburnum dentatum | Shrub | Viburnum
Asiatic Lily | Lilium | Bulb | Lilies
Aster | Symphyotrichum | Perennial | Aster
Astilbe | Astilbe | Perennial | Astilbe
Astolat | Delphinium 'Astolat' | Perennial | Delphinium
Astra Double Blue | Platycodon grandiflorus 'Astra Double Blue' | Perennial | Balloon Flower
August Beauty | Gardenia jasminoides 'August Beauty' | Shrub | Gardenia
August Moon | Hosta 'August Moon' | Perennial | Hostas
Australia | Canna 'Australia' | Bulb | Canna Lily
Autumn Beauty | Helianthus annuus 'Autumn Beauty' | Annual | Sunflower
Autumn Brilliance | Amelanchier × grandiflora 'Autumn Brilliance' | Tree | Serviceberry
Autumn Colors | Rudbeckia hirta 'Autumn Colors' | Perennial | Black-Eyed Susan
Autumn Crocus | Colchicum | Bulb | Autumn Crocus
Autumn Damask Rose | Rosa damascena var. semperflorens | Rose | 
Autumn Fern | Dryopteris erythrosora | Fern | 
Autumn Fire | Hylotelephium 'Autumn Fire' | Perennial | Sedum
Autumn Flowering Cherry | Prunus subhirtella 'Autumnalis' | Tree | Flowering Cherry
Autumn Joy Sedum | Hylotelephium 'Herbstfreude' | Perennial | Sedum
Autumn Sun Coneflower | Rudbeckia nitida 'Autumn Sun' | Perennial | 
Azalea | Rhododendron | Shrub | Azaleas
Baby Blue | Picea pungens 'Baby Blue' | Conifer | Spruce
Baby Gem | Buxus microphylla 'Baby Gem' | Shrub | Boxwood
Bachelor's Button | Centaurea cyanus | Annual | Bachelor's Button
Bacopa | Chaenostoma cordatum | Annual | Bacopa
Bald Cypress | Taxodium distichum | Conifer | Bald Cypress
Ballerina | Tulipa 'Ballerina' | Bulb | Tulips
Ballerina Serviceberry | Amelanchier × grandiflora 'Ballerina' | Tree | Serviceberry
Balloon Flower | Platycodon | Perennial | Balloon Flower
Banana Cream | Leucanthemum × superbum 'Banana Cream' | Perennial | Shasta Daisy
Bandana Cherry | Lantana 'Bandana Cherry' | Annual | Lantana
Bandana Pink | Lantana 'Bandana Pink' | Annual | Lantana
Bandana Rose | Lantana 'Bandana Rose' | Annual | Lantana
Barrenwort | Epimedium | Perennial | 
Bartzella | Paeonia 'Bartzella' | Perennial | Peonies
Basil | Ocimum basilicum | Herb | 
Basket of Gold | Aurinia saxatilis | Perennial | 
Bath's Pink | Dianthus 'Bath's Pink' | Perennial | Dianthus
Bathsheba Rose | Rosa 'Auschimbley' | Rose | 
Bearded Iris | Iris germanica | Perennial | Irises
Beauty of Moscow | Syringa vulgaris 'Krasavitsa Moskvy' | Shrub | Lilac
Beautyberry | Callicarpa | Shrub | Beautyberry
Becky | Leucanthemum × superbum 'Becky' | Perennial | Shasta Daisy
Bee Balm | Monarda | Perennial | Bee Balm
Begonia | Begonia | Annual | Begonia
Bela Lugosi | Hemerocallis 'Bela Lugosi' | Perennial | Daylilies
Belle Étoile | Philadelphus 'Belle Etoile' | Shrub | Mock Orange
Benary's Giant Wine | Zinnia elegans 'Benary's Giant Wine' | Annual | Zinnias
Bengal Tiger | Canna 'Bengal Tiger' | Bulb | Canna Lily
Beni-Kaze | Hakonechloa macra 'Beni-Kaze' | Grass | Japanese Forest Grass
Bergenia | Bergenia | Perennial | 
Berry Awesome | Hibiscus 'Berry Awesome' | Perennial | Hardy Hibiscus
Berry Heavy | Ilex verticillata 'Spravy' | Shrub | Winterberry
Berry Poppins | Ilex verticillata 'FarrowBPop' | Shrub | Winterberry
Berry Smoothie | Heuchera 'Berry Smoothie' | Perennial | Coral Bells
Betty Magnolia | Magnolia 'Betty' | Tree | Magnolia
Bicolor Geranium | Pelargonium 'Bicolor' | Annual | Geraniums
Bicolor Marigold | Tagetes patula 'Bicolor' | Annual | Marigolds
Bidens | Bidens ferulifolia | Annual | Bidens
Big Rose | Begonia 'Big Rose Bronze Leaf' | Annual | Begonia
Big Sky Sunset Coneflower | Echinacea 'Sunset' | Perennial | 
Bigleaf Hydrangea | Hydrangea macrophylla | Shrub | Hydrangeas
Biokovo | Geranium × cantabrigiense 'Biokovo' | Perennial | Hardy Geranium
Bird's Nest Spruce | Picea abies 'Nidiformis' | Conifer | Spruce
Bishop of Llandaff | Dahlia 'Bishop of Llandaff' | Bulb | Dahlias
Bishop's Children | Dahlia 'Bishop's Children' | Bulb | Dahlias
Black Adder Agastache | Agastache 'Black Adder' | Perennial | 
Black Ball | Centaurea cyanus 'Black Ball' | Annual | Bachelor's Button
Black Barlow | Aquilegia vulgaris 'Black Barlow' | Perennial | Columbine
Black Diamond Red Hot | Lagerstroemia 'Black Diamond Red Hot' | Shrub | Crape Myrtle
Black Dragon | Coleus 'Black Dragon' | Annual | Coleus
Black Knight | Delphinium 'Black Knight' | Perennial | Delphinium
Black Knight | Buddleia davidii 'Black Knight' | Shrub | Butterfly Bush
Black Magic | Colocasia esculenta 'Black Magic' | Bulb | Elephant Ear
Black Pansy | Viola wittrockiana 'Clear Crystals Black' | Annual | Pansies & Violas
Black Parrot | Tulipa 'Black Parrot' | Bulb | Tulips
Black Star | Gladiolus 'Black Star' | Bulb | Gladiolus
Black Star Calla | Zantedeschia 'Schwarzwalder' | Bulb | Calla Lily
Black-Eyed Susan | Rudbeckia | Perennial | Black-Eyed Susan
Black-Eyed Susan Vine | Thunbergia alata | Climber | Black-Eyed Susan Vine
Blackhaw | Viburnum prunifolium | Shrub | Viburnum
Blackie | Ipomoea batatas 'Blackie' | Annual | Sweet Potato Vine
Blanket Flower | Gaillardia | Perennial | Blanket Flower
Blaze | Schizachyrium scoparium 'Blaze' | Grass | Little Bluestem
Blazing Star | Liatris | Perennial | 
Bleeding Heart | Lamprocapnos spectabilis | Perennial | Bleeding Heart
Bloodgood | Acer palmatum 'Bloodgood' | Tree | Japanese Maple
Bloomerang Purple | Syringa 'Bloomerang Purple' | Shrub | Lilac
Blue Allium | Allium caeruleum | Bulb | 
Blue Angel | Hosta 'Blue Angel' | Perennial | Hostas
Blue Bacopa | Chaenostoma cordatum | Annual | Bacopa
Blue Bird | Delphinium 'Blue Bird' | Perennial | Delphinium
Blue Bird | Hibiscus syriacus 'Oiseau Bleu' | Shrub | Rose of Sharon
Blue Canterbury Bells | Campanula medium | Annual | Canterbury Bells
Blue Chiffon | Hibiscus syriacus 'Blue Chiffon' | Shrub | Rose of Sharon
Blue Chip | Buddleia 'Lo & Behold Blue Chip' | Shrub | Butterfly Bush
Blue Crown Passionflower | Passiflora caerulea | Climber | Passionflower
Blue Fan Flower | Scaevola aemula | Annual | Fan Flower
Blue Fescue | Festuca glauca | Grass | Blue Fescue
Blue Fortune Agastache | Agastache 'Blue Fortune' | Perennial | 
Blue Freesia | Freesia 'Blue Heaven' | Bulb | Freesia
Blue Giant | Scilla forbesii | Bulb | Glory of the Snow
Blue Girl Rose | Rosa 'Blue Girl' | Rose | 
Blue Hill | Salvia × sylvestris 'Blauhügel' | Perennial | Salvia
Blue Horizon | Ageratum houstonianum 'Blue Horizon' | Annual | Ageratum
Blue Italian Cypress | Cupressus sempervirens 'Glauca' | Conifer | Italian Cypress
Blue Jacket | Hyacinthus 'Blue Jacket' | Bulb | Hyacinth
Blue Jay | Delphinium 'Blue Jay' | Perennial | Delphinium
Blue Larkspur | Consolida ajacis | Annual | Larkspur
Blue Lisianthus | Eustoma grandiflorum | Annual | Lisianthus
Blue Marvel | Salvia nemorosa 'Blue Marvel' | Perennial | Salvia
Blue Mirror | Delphinium grandiflorum 'Blue Mirror' | Perennial | Delphinium
Blue Moon Wisteria | Wisteria macrostachya 'Blue Moon' | Climber | Wisteria
Blue Oat Grass | Helictotrichon sempervirens | Grass | 
Blue Pacific Juniper | Juniperus conferta 'Blue Pacific' | Conifer | Juniper
Blue Pansy | Viola wittrockiana 'Blue' | Annual | Pansies & Violas
Blue Paradise | Phlox paniculata 'Blue Paradise' | Perennial | Garden Phlox
