African Daisy | Osteospermum | African Daisy
African Marigold | Tagetes erecta | Marigolds
Ageratum | Ageratum houstonianum | Ageratum
Angelface Raspberry | Angelonia 'Angelface Raspberry' | Angelonia
Angelonia | Angelonia angustifolia | Angelonia
Annual Phlox | Phlox drummondii | Annual Phlox
Apricot Calendula | Calendula officinalis | Calendula
Apricot Lemonade | Cosmos bipinnatus 'Apricot Lemonade' | Cosmos
Apricot Lisianthus | Eustoma grandiflorum | Lisianthus
Apricot Marguerite Daisy | Argyranthemum | Marguerite Daisy
Apricot Statice | Limonium sinuatum | Statice
Apricot Strawflower | Xerochrysum bracteatum | Strawflower
Apricot Sweet Alyssum | Lobularia 'Apricot' | Sweet Alyssum
Apricot Tuberous Begonia | Begonia × tuberhybrida | Tuberous Begonia
Apricot Vinca | Catharanthus roseus | Vinca
Autumn Beauty | Helianthus annuus 'Autumn Beauty' | Sunflower
Bachelor's Button | Centaurea cyanus | Bachelor's Button
Bacopa | Chaenostoma cordatum | Bacopa
Bandana Cherry | Lantana 'Bandana Cherry' | Lantana
Bandana Pink | Lantana 'Bandana Pink' | Lantana
Bandana Rose | Lantana 'Bandana Rose' | Lantana
Begonia | Begonia | Begonia
Benary's Giant Wine | Zinnia elegans 'Benary's Giant Wine' | Zinnias
Bicolor Geranium | Pelargonium 'Bicolor' | Geraniums
Bicolor Marigold | Tagetes patula 'Bicolor' | Marigolds
Bidens | Bidens ferulifolia | Bidens
Big Rose | Begonia 'Big Rose Bronze Leaf' | Begonia
Black Ball | Centaurea cyanus 'Black Ball' | Bachelor's Button
Black Dragon | Coleus 'Black Dragon' | Coleus
Black Pansy | Viola wittrockiana 'Clear Crystals Black' | Pansies & Violas
Blackie | Ipomoea batatas 'Blackie' | Sweet Potato Vine
Blue Bacopa | Chaenostoma cordatum | Bacopa
Blue Canterbury Bells | Campanula medium | Canterbury Bells
Blue Fan Flower | Scaevola aemula | Fan Flower
Blue Horizon | Ageratum houstonianum 'Blue Horizon' | Ageratum
Blue Larkspur | Consolida ajacis | Larkspur
Blue Lisianthus | Eustoma grandiflorum | Lisianthus
Blue Pansy | Viola wittrockiana 'Blue' | Pansies & Violas
Blue Petunia | Petunia 'Blue' | Petunias
Blue Statice | Limonium sinuatum | Statice
Bombay Orange | Celosia cristata 'Bombay Orange' | Celosia
Bonfire | Begonia boliviensis 'Bonfire' | Begonia
Bright Lights | Cosmos sulphureus 'Bright Lights' | Cosmos
Bronze Gazania | Gazania rigens | Gazania
Bronze Snapdragon | Antirrhinum 'Bronze' | Snapdragons
Browallia | Browallia speciosa | Browallia
Burgundy Geranium | Pelargonium 'Burgundy' | Geraniums
Burgundy Petunia | Petunia 'Burgundy' | Petunias
Burgundy Snapdragon | Antirrhinum 'Burgundy' | Snapdragons
Butterfly Marguerite Daisy | Argyranthemum 'Butterfly' | Marguerite Daisy
Caladium | Caladium | Caladium
Calendula | Calendula | Calendula
Calibrachoa | Calibrachoa | Calibrachoa
California Poppy | Eschscholzia | California Poppy
California Poppy (Cream/White) | Eschscholzia californica 'Alba' | 
California Poppy (Rose/Pink Mix) | Eschscholzia californica 'Carmine King' | 
Campfire | Coleus 'Campfire' | Coleus
Campfire Marshmallow Bidens | Bidens hybrid 'Campfire Marshmallow' | Bidens
Canterbury Bells | Campanula medium | Canterbury Bells
Carolyn Whorton Caladium | Caladium 'Carolyn Whorton' | Caladium
Catalina Midnight Blue | Torenia fournieri 'Catalina Midnight Blue' | Wishbone Flower
Celosia | Celosia | Celosia
Century Pink | Celosia plumosa 'Century Pink' | Celosia
Cherry Queen | Cleome hassleriana 'Cherry Queen' | Cleome
Chidori Kale | Brassica oleracea 'Chidori' | Ornamental Kale
Cleome | Cleome hassleriana | Cleome
Cockscomb Magenta | Celosia cristata 'Cockscomb Magenta' | Celosia
Cockscomb Red | Celosia cristata 'Cockscomb Red' | Celosia
Cockscomb Yellow | Celosia cristata 'Cockscomb Yellow' | Celosia
