Pink Fan Flower | Scaevola aemula | Fan Flower
Pink Flowering Tobacco | Nicotiana alata | Flowering Tobacco
Pink Gazania | Gazania rigens | Gazania
Pink Geranium | Pelargonium 'Pink' | Geraniums
Pink Gerbera | Gerbera jamesonii | Gerbera Daisy
Pink Larkspur | Consolida ajacis | Larkspur
Pink Lisianthus | Eustoma grandiflorum | Lisianthus
Pink Marguerite Daisy | Argyranthemum | Marguerite Daisy
Pink Marshmallow | Fuchsia 'Pink Marshmallow' | Fuchsia
Pink Mexican Heather | Cuphea hyssopifolia | Cuphea
Pink Ornamental Kale | Brassica oleracea | Ornamental Kale
Pink Petunia | Petunia 'Pink' | Petunias
Pink Portulaca | Portulaca grandiflora | Portulaca
Pink Statice | Limonium sinuatum | Statice
Pink Strawflower | Xerochrysum bracteatum | Strawflower
Pink Verbena | Verbena × hybrida | Verbena
Pink Wishbone Flower | Torenia fournieri | Wishbone Flower
Pink Zinnia | Zinnia elegans 'Pink' | Zinnias
Plum Wine | Verbena 'Superbena Royale Plum Wine' | Verbena
Portulaca | Portulaca grandiflora | Portulaca
Profusion Cherry | Zinnia 'Profusion Cherry' | Zinnias
Profusion White | Zinnia 'Profusion White' | Zinnias
Purity | Cosmos bipinnatus 'Purity' | Cosmos
Purple Ageratum | Ageratum houstonianum | Ageratum
Purple Annual Phlox | Phlox drummondii | Annual Phlox
Purple Bachelor's Button | Centaurea cyanus | Bachelor's Button
Purple Browallia | Browallia speciosa | Browallia
Purple Face Pansy | Viola wittrockiana 'Purple Face' | Pansies & Violas
Purple Flowering Tobacco | Nicotiana alata | Flowering Tobacco
Purple Geranium | Pelargonium 'Purple' | Geraniums
Purple Gleam | Eschscholzia californica 'Purple Gleam' | California Poppy
Purple Globe Amaranth | Gomphrena globosa | Globe Amaranth
Purple Petunia | Petunia 'Purple' | Petunias
Purple Snapdragon | Antirrhinum 'Purple' | Snapdragons
Purple Stock | Matthiola incana | Stock
Purple Strawflower | Xerochrysum bracteatum | Strawflower
Purple Trailing | Lantana montevidensis | Lantana
Purple Vinca | Catharanthus roseus | Vinca
Purple Wave | Petunia 'Purple Wave' | Petunias
Purple Zinnia | Zinnia elegans 'Purple' | Zinnias
QIS Orange | Gomphrena haageana 'QIS Orange' | Globe Amaranth
Queen Lime Orange | Zinnia elegans 'Queen Lime Orange' | Zinnias
Radiation | Lantana camara 'Radiation' | Lantana
Raspberry Pentas | Pentas lanceolata | Pentas
Raspberry Swirl Rex Begonia | Begonia rex 'Raspberry Swirl' | Rex Begonia
Red Annual Phlox | Phlox drummondii | Annual Phlox
Red Boy | Centaurea cyanus 'Red Boy' | Bachelor's Button
Red Flash Caladium | Caladium 'Red Flash' | Caladium
Red Flowering Tobacco | Nicotiana alata | Flowering Tobacco
Red Four O'Clock | Mirabilis jalapa | Four O'Clock
