Clematis | Clematis | Clematis
Jackmanii | Clematis 'Jackmanii' | Clematis
Nelly Moser | Clematis 'Nelly Moser' | Clematis
The President | Clematis 'The President' | Clematis
Niobe | Clematis 'Niobe' | Clematis
Henryi | Clematis 'Henryi' | Clematis
Ville de Lyon | Clematis 'Ville de Lyon' | Clematis
Comtesse de Bouchaud | Clematis 'Comtesse de Bouchaud' | Clematis
Rouge Cardinal | Clematis 'Rouge Cardinal' | Clematis
Multi Blue | Clematis 'Multi Blue' | Clematis
Doctor Ruppel | Clematis 'Doctor Ruppel' | Clematis
Ernest Markham | Clematis 'Ernest Markham' | Clematis
Marie Boisselot | Clematis 'Marie Boisselot' | Clematis
Gipsy Queen | Clematis 'Gipsy Queen' | Clematis
Hagley Hybrid | Clematis 'Hagley Hybrid' | Clematis
Sweet Autumn Clematis | Clematis terniflora | Clematis
Wisteria | Wisteria | Wisteria
White Wisteria (Alba) | Wisteria floribunda 'Alba' | Wisteria
Pink Wisteria (Rosea) | Wisteria floribunda 'Rosea' | Wisteria
Blue Moon Wisteria | Wisteria macrostachya 'Blue Moon' | Wisteria
Amethyst Falls Wisteria | Wisteria frutescens 'Amethyst Falls' | Wisteria
Honeysuckle | Lonicera | Honeysuckle
Major Wheeler | Lonicera sempervirens 'Major Wheeler' | Honeysuckle
Goldflame Honeysuckle | Lonicera heckrottii 'Goldflame' | Honeysuckle
Scentsation Honeysuckle | Lonicera periclymenum 'Scentsation' | Honeysuckle
Dutch Woodbine | Lonicera periclymenum 'Belgica' | Honeysuckle
Morning Glory | Ipomoea | Morning Glory
Grandpa Ott's | Ipomoea purpurea | Morning Glory
Scarlett O'Hara | Ipomoea nil | Morning Glory
Pearly Gates | Ipomoea tricolor 'Pearly Gates' | Morning Glory
Crimson Rambler | Ipomoea purpurea 'Crimson Rambler' | Morning Glory
Sunrise Serenade | Ipomoea purpurea 'Sunrise Serenade' | Morning Glory
Climbing Hydrangea | Hydrangea petiolaris | 
Climbing Rose | Rosa | 
Jasmine | Jasminum officinale | Jasmine
Winter Jasmine | Jasminum nudiflorum | Jasmine
Pink Jasmine | Jasminum polyanthum | Jasmine
Star Jasmine | Trachelospermum jasminoides | Jasmine
Trumpet Vine | Campsis radicans | Trumpet Vine
Flava (Yellow Trumpet) | Campsis radicans f. flava | Trumpet Vine
Crimson Trumpet | Campsis radicans 'Crimson Trumpet' | Trumpet Vine
Madame Galen | Campsis × tagliabuana 'Madame Galen' | Trumpet Vine
Passionflower | Passiflora | Passionflower
Blue Crown Passionflower | Passiflora caerulea | Passionflower
Constance Elliott | Passiflora caerulea 'Constance Elliott' | Passionflower
Red Passionflower | Passiflora coccinea | Passionflower
Lady Margaret | Passiflora 'Lady Margaret' | Passionflower
Boston Ivy | Parthenocissus tricuspidata | Boston Ivy
Fenway Park | Parthenocissus tricuspidata 'Fenway Park' | Boston Ivy
Veitchii | Parthenocissus tricuspidata 'Veitchii' | Boston Ivy
Mandevilla | Mandevilla | Mandevilla
Sun Parasol Crimson | Mandevilla 'Sun Parasol Crimson' | Mandevilla
Sun Parasol White | Mandevilla 'Sun Parasol White' | Mandevilla
Sun Parasol Apricot | Mandevilla 'Sun Parasol Apricot' | Mandevilla
Sun Parasol Sunbeam | Mandevilla 'Sun Parasol Sunbeam' | Mandevilla
Moonflower | Ipomoea alba | 
Black-Eyed Susan Vine | Thunbergia alata | Black-Eyed Susan Vine
Lemon Star | Thunbergia alata 'Lemon Star' | Black-Eyed Susan Vine
Bright Eyes | Thunbergia alata 'Bright Eyes' | Black-Eyed Susan Vine
Blushing Susie | Thunbergia alata 'Blushing Susie' | Black-Eyed Susan Vine
Arizona Glow | Thunbergia alata 'Arizona Glow' | Black-Eyed Susan Vine
Arizona Rose | Thunbergia alata 'Arizona Rose' | Black-Eyed Susan Vine
