June | Hosta 'June' | Hostas
Junior Walker | Nepeta 'Junior Walker' | Catmint
Kansas | Paeonia 'Kansas' | Peonies
Karl Rosenfield | Paeonia 'Karl Rosenfield' | Peonies
Kashmir White | Geranium clarkei 'Kashmir White' | Hardy Geranium
Kickin' Carmine Red | Symphyotrichum 'Kickin Carmine Red' | Aster
King Arthur | Delphinium 'King Arthur' | Delphinium
King of Hearts | Dicentra 'King of Hearts' | Bleeding Heart
Kismet Raspberry | Echinacea 'Kismet Raspberry' | Coneflowers
Komachi | Platycodon grandiflorus 'Komachi' | Balloon Flower
Kopper King | Hibiscus 'Kopper King' | Hardy Hibiscus
Krossa Regal | Hosta 'Krossa Regal' | Hostas
Lady Baltimore | Hibiscus moscheutos 'Lady Baltimore' | Hardy Hibiscus
Lady's Mantle | Alchemilla mollis | 
Lamb's Ear | Stachys byzantina | 
Laura | Phlox paniculata 'Laura' | Garden Phlox
Lavender Mum | Chrysanthemum 'Lavender' | Chrysanthemums
Ligularia | Ligularia | 
Lily of the Valley | Convallaria majalis | 
Lime Rickey | Heuchera 'Lime Rickey' | Coral Bells
Little Titch | Nepeta racemosa 'Little Titch' | Catmint
Lord Baltimore | Hibiscus moscheutos 'Lord Baltimore' | Hardy Hibiscus
Luna Pink Swirl | Hibiscus moscheutos 'Luna Pink Swirl' | Hardy Hibiscus
Luna White | Hibiscus moscheutos 'Luna White' | Hardy Hibiscus
Lungwort | Pulmonaria | 
Lupine | Lupinus | Lupine
Magic Fountains Cherry Blossom | Delphinium 'Magic Fountains Cherry Blossom' | Delphinium
Magic Fountains Dark Blue | Delphinium 'Magic Fountains Dark Blue' | Delphinium
Magnus | Echinacea purpurea 'Magnus' | Coneflowers
Maiden Pink | Dianthus deltoides | Dianthus
Manhattan Lights | Lupinus 'Manhattan Lights' | Lupine
Marmalade | Echinacea 'Marmalade' | Coneflowers
Marmalade | Heuchera 'Marmalade' | Coral Bells
Marshall's Delight | Monarda 'Marshall's Delight' | Bee Balm
Mary Stoker | Chrysanthemum 'Mary Stoker' | Chrysanthemums
Masterpiece | Lupinus 'Masterpiece' | Lupine
Matrona | Hylotelephium 'Matrona' | Sedum
Max Frei | Geranium sanguineum 'Max Frei' | Hardy Geranium
May Night | Salvia nemorosa 'Mainacht' | Salvia
Meadow Rue | Thalictrum | 
Melting Fire | Heuchera 'Melting Fire' | Coral Bells
Mercury Rising | Coreopsis 'Mercury Rising' | Coreopsis
Mesa Yellow | Gaillardia × grandiflora 'Mesa Yellow' | Blanket Flower
Midnight Marvel | Hibiscus 'Midnight Marvel' | Hardy Hibiscus
Midnight Rose | Heuchera 'Midnight Rose' | Coral Bells
Minuteman | Hosta 'Minuteman' | Hostas
Monkshood | Aconitum | 
Monsieur Jules Elie | Paeonia 'Monsieur Jules Elie' | Peonies
Montgomery | Astilbe japonica 'Montgomery' | Astilbe
Moonbeam | Coreopsis verticillata 'Moonbeam' | Coreopsis
Moonshine | Achillea 'Moonshine' | Yarrow
Mountain Frost Ruby | Dianthus 'Mountain Frost Ruby Snow' | Dianthus
Mr. Goodbud | Hylotelephium 'Mr. Goodbud' | Sedum
Mullein | Verbascum | 
My Castle | Lupinus 'My Castle' | Lupine
Neon Sedum | Hylotelephium spectabile 'Neon' | Sedum
Neon Star | Dianthus 'Neon Star' | Dianthus
New England Aster | Symphyotrichum novae-angliae | 
New England Aster 'Barr's Pink' | Symphyotrichum novae-angliae 'Barr's Pink' | 
New England Aster 'Harrington's Pink' | Symphyotrichum novae-angliae 'Harrington's Pink' | 
New Hampshire Purple | Geranium sanguineum 'New Hampshire Purple' | Hardy Geranium
Nicky | Phlox paniculata 'Nicky' | Garden Phlox
Nigra | Alcea rosea 'Nigra' | Hollyhock
Noble Maiden | Lupinus 'Noble Maiden' | Lupine
Nora Barlow | Aquilegia vulgaris 'Nora Barlow' | Columbine
Obedient Plant | Physostegia | 
Obsidian | Heuchera 'Obsidian' | Coral Bells
October Skies | Symphyotrichum oblongifolium 'October Skies' | Aster
Onyx Odyssey | Helleborus × hybridus 'Onyx Odyssey' | Hellebore
Orange Coneflower | Echinacea 'Harvest Moon' | 
Orange Perfection | Phlox paniculata 'Orange Perfection' | Garden Phlox
Oranges and Lemons | Gaillardia × grandiflora 'Oranges and Lemons' | Blanket Flower
Pachysandra | Pachysandra terminalis | 
Palace Purple | Heuchera 'Palace Purple' | Coral Bells
Pam's Choice | Digitalis purpurea 'Pam's Choice' | Foxglove
Paprika | Achillea millefolium 'Paprika' | Yarrow
Pardon Me | Hemerocallis 'Pardon Me' | Daylilies
Pardon My Cerise | Monarda didyma 'Pardon My Cerise' | Bee Balm
Pardon My Purple | Monarda didyma 'Pardon My Purple' | Bee Balm
Patricia | Geranium 'Patricia' | Hardy Geranium
Patricia Ballard | Symphyotrichum novi-belgii 'Patricia Ballard' | Aster
Patriot | Hosta 'Patriot' | Hostas
Peach Blossom | Astilbe japonica 'Peach Blossom' | Astilbe
Penny's Pink | Helleborus × hybridus 'Penny's Pink' | Hellebore
Penstemon | Penstemon | 
Peony | Paeonia | Peonies
Perennial Salvia | Salvia nemorosa | Salvia
Perennial Sunflower | Helianthus | 
Periwinkle | Vinca minor | 
Pincushion Flower | Scabiosa | 
Pink Cat | Nepeta 'Pink Cat' | Catmint
