Abbotswood | Potentilla fruticosa 'Abbotswood' | Potentilla
Acoma | Lagerstroemia 'Acoma' | Crape Myrtle
Alba Plena | Camellia japonica 'Alba Plena' | Camellia
Amber Jubilee | Physocarpus opulifolius 'Jefam' | Ninebark
American Beautyberry | Callicarpa americana | Beautyberry
American Boxwood | Buxus sempervirens | Boxwood
Anah Kruschke | Rhododendron 'Anah Kruschke' | Rhododendrons
Annabelle | Hydrangea arborescens 'Annabelle' | 
Anthony Waterer | Spiraea japonica 'Anthony Waterer' | Spirea
Aphrodite | Hibiscus syriacus 'Aphrodite' | Rose of Sharon
April Rose | Camellia japonica 'April Rose' | Camellia
Arnold Promise | Hamamelis × intermedia 'Arnold Promise' | Witch Hazel
Arrowwood | Viburnum dentatum | Viburnum
August Beauty | Gardenia jasminoides 'August Beauty' | Gardenia
Azalea | Rhododendron | Azaleas
Baby Gem | Buxus microphylla 'Baby Gem' | Boxwood
Beauty of Moscow | Syringa vulgaris 'Krasavitsa Moskvy' | Lilac
Beautyberry | Callicarpa | Beautyberry
Belle Étoile | Philadelphus 'Belle Etoile' | Mock Orange
Berry Heavy | Ilex verticillata 'Spravy' | Winterberry
Berry Poppins | Ilex verticillata 'FarrowBPop' | Winterberry
Bigleaf Hydrangea | Hydrangea macrophylla | Hydrangeas
Black Diamond Red Hot | Lagerstroemia 'Black Diamond Red Hot' | Crape Myrtle
Black Knight | Buddleia davidii 'Black Knight' | Butterfly Bush
Blackhaw | Viburnum prunifolium | Viburnum
Bloomerang Purple | Syringa 'Bloomerang Purple' | Lilac
Blue Bird | Hibiscus syriacus 'Oiseau Bleu' | Rose of Sharon
Blue Chiffon | Hibiscus syriacus 'Blue Chiffon' | Rose of Sharon
Blue Chip | Buddleia 'Lo & Behold Blue Chip' | Butterfly Bush
Blue Peter | Rhododendron 'Blue Peter' | Rhododendrons
Blushing Bride | Hibiscus syriacus 'Blushing Bride' | Rose of Sharon
Boule de Neige | Rhododendron 'Boule de Neige' | Rhododendrons
Boxwood | Buxus | Boxwood
Bridal Wreath | Spiraea × vanhouttei | Spirea
Burkwood | Viburnum × burkwoodii | Viburnum
Butterfly Bush | Buddleia davidii | Butterfly Bush
California Flannel Bush 'Ken Taylor' | Fremontodendron 'Ken Taylor' | 
California Flannel Bush 'Pacific Sunset' | Fremontodendron 'Pacific Sunset' | 
California Flannelbush | Fremontodendron californicum | 
California Lilac | Ceanothus 'Concha' | 
Camellia | Camellia japonica | Camellia
Capistrano | Rhododendron 'Capistrano' | Rhododendrons
Catawba | Lagerstroemia 'Catawba' | Crape Myrtle
Charles Joly | Syringa vulgaris 'Charles Joly' | Lilac
Cherry Dazzle | Lagerstroemia 'Cherry Dazzle' | Crape Myrtle
Coppertina | Physocarpus opulifolius 'Mindia' | Ninebark
Coral Tropical Hibiscus | Hibiscus rosa-sinensis | Tropical Hibiscus
Crape Myrtle | Lagerstroemia | Crape Myrtle
Crown Jewel | Gardenia jasminoides 'Crown Jewel' | Gardenia
Cunningham's White | Rhododendron 'Cunningham's White' | Rhododendrons
Czechmark Trilogy | Weigela 'Czechmark Trilogy' | Weigela
Debutante | Camellia japonica 'Debutante' | Camellia
Delaware Valley White | Rhododendron 'Delaware Valley White' | Azaleas
Diabolo | Physocarpus opulifolius 'Monlo' | Ninebark
Diana | Hibiscus syriacus 'Diana' | Rose of Sharon
Diane | Hamamelis × intermedia 'Diane' | Witch Hazel
Double Play Big Bang | Spiraea 'Double Play Big Bang' | Spirea
Double Play Candy Corn | Spiraea 'Double Play Candy Corn' | Spirea
Doublefile | Viburnum plicatum 'Mariesii' | Viburnum
Dynamite | Lagerstroemia 'Dynamite' | Crape Myrtle
Early Amethyst | Callicarpa dichotoma 'Early Amethyst' | Beautyberry
Empire Blue | Buddleia davidii 'Empire Blue' | Butterfly Bush
Encore Autumn Amethyst | Rhododendron 'Encore Autumn Amethyst' | Azaleas
English Boxwood | Buxus sempervirens 'Suffruticosa' | Boxwood
English Roseum | Rhododendron 'English Roseum' | Rhododendrons
European Snowball | Viburnum opulus 'Roseum' | Viburnum
Fiesta | Forsythia × intermedia 'Fiesta' | Forsythia
Fiesta | Hibiscus rosa-sinensis 'Fiesta' | Tropical Hibiscus
Fireball | Rhododendron 'Fireball' | Azaleas
