Mango Tango | Potentilla fruticosa 'Mango Tango' | Potentilla
McKay's White | Potentilla fruticosa 'McKay's White' | Potentilla
Minerva | Hibiscus syriacus 'Minerva' | Rose of Sharon
Miniature Snowflake | Philadelphus 'Miniature Snowflake' | Mock Orange
Minuet | Weigela florida 'Minuet' | Weigela
Miss Kim | Syringa pubescens 'Miss Kim' | Lilac
Miss Molly | Buddleia 'Miss Molly' | Butterfly Bush
Miss Ruby | Buddleia 'Miss Ruby' | Butterfly Bush
Mock Orange | Philadelphus | Mock Orange
Muskogee | Lagerstroemia 'Muskogee' | Crape Myrtle
My Monet | Weigela florida 'My Monet' | Weigela
Nanho Blue | Buddleia davidii 'Nanho Blue' | Butterfly Bush
Natchez | Lagerstroemia 'Natchez' | Crape Myrtle
Natchez | Philadelphus × virginalis 'Natchez' | Mock Orange
Neon Flash | Spiraea japonica 'Neon Flash' | Spirea
Ninebark | Physocarpus opulifolius | Ninebark
Northern Gold | Forsythia 'Northern Gold' | Forsythia
Nova Zembla | Rhododendron 'Nova Zembla' | Rhododendrons
Nuccio's Pearl | Camellia japonica 'Nuccio's Pearl' | Camellia
Nugget | Physocarpus opulifolius 'Nugget' | Ninebark
Oakleaf Hydrangea | Hydrangea quercifolia | Hydrangeas
Orange Tropical Hibiscus | Hibiscus rosa-sinensis | Tropical Hibiscus
Orange Whisper | Potentilla fruticosa 'Orange Whisper' | Potentilla
Ozark Witch Hazel | Hamamelis vernalis | Witch Hazel
Pallida | Hamamelis × intermedia 'Pallida' | Witch Hazel
Panicle Hydrangea | Hydrangea paniculata | Hydrangeas
Peach Tropical Hibiscus | Hibiscus rosa-sinensis | Tropical Hibiscus
Pearl Glam | Callicarpa 'Pearl Glam' | Beautyberry
Pink Beauty | Potentilla fruticosa 'Pink Beauty' | Potentilla
Pink Delight | Buddleia davidii 'Pink Delight' | Butterfly Bush
Pink Delight | Weigela florida 'Pink Delight' | Weigela
Pink Icicle | Camellia × 'Pink Icicle' | Camellia
Pink Perfection | Camellia japonica 'Pink Perfection' | Camellia
Pink Spire | Clethra alnifolia 'Pink Spire' | Summersweet
Pink Velour | Lagerstroemia 'Pink Velour' | Crape Myrtle
Pink Whisper | Potentilla fruticosa 'Pink Whisper' | Potentilla
PJM | Rhododendron 'PJM' | Rhododendrons
Potentilla | Potentilla fruticosa | Potentilla
President | Hibiscus rosa-sinensis 'President' | Tropical Hibiscus
President Grevy | Syringa vulgaris 'President Grevy' | Lilac
President Lincoln | Syringa vulgaris 'President Lincoln' | Lilac
Primrose | Syringa vulgaris 'Primrose' | Lilac
Professor Sargent | Camellia japonica 'Professor Sargent' | Camellia
Profusion | Callicarpa bodinieri 'Profusion' | Beautyberry
Pugster Blue | Buddleia 'Pugster Blue' | Butterfly Bush
Purple Pillar | Hibiscus syriacus 'Purple Pillar' | Rose of Sharon
Purple Splendor | Rhododendron 'Purple Splendour' | Rhododendrons
Radicans | Gardenia jasminoides 'Radicans' | Gardenia
Red Ace | Potentilla fruticosa 'Red Ace' | Potentilla
Red Heart | Hibiscus syriacus 'Red Heart' | Rose of Sharon
Red Prince | Weigela florida 'Red Prince' | Weigela
Red Rocket | Lagerstroemia 'Red Rocket' | Crape Myrtle
Red Sprite | Ilex verticillata 'Red Sprite' | Winterberry
Red Tropical Hibiscus | Hibiscus rosa-sinensis | Tropical Hibiscus
Regent Serviceberry | Amelanchier alnifolia 'Regent' | Serviceberry
Rhododendron | Rhododendron | Rhododendrons
Rose of Sharon | Hibiscus syriacus | Rose of Sharon
Rosebud | Rhododendron 'Rosebud' | Azaleas
Roseum Elegans | Rhododendron 'Roseum Elegans' | Rhododendrons
Royal Purple | Cotinus coggygria 'Royal Purple' | Smokebush
Royal Red | Buddleia davidii 'Royal Red' | Butterfly Bush
Ruby Spice | Clethra alnifolia 'Ruby Spice' | Summersweet
Scintillation | Rhododendron 'Scintillation' | Rhododendrons
Sensation | Syringa vulgaris 'Sensation' | Lilac
Setsugekka | Camellia sasanqua 'Setsugekka' | Camellia
Show Off | Forsythia × intermedia 'Show Off' | Forsythia
Sioux | Lagerstroemia 'Sioux' | Crape Myrtle
Sixteen Candles | Clethra alnifolia 'Sixteen Candles' | Summersweet
Smokebush | Cotinus coggygria | Smokebush
Smooth Hydrangea | Hydrangea arborescens | Hydrangeas
Snow White Sensation | Philadelphus 'Snow White Sensation' | Mock Orange
Snowbelle | Philadelphus 'Snowbelle' | Mock Orange
Snowmound | Spiraea nipponica 'Snowmound' | Spirea
Sonic Bloom Pink | Weigela 'Sonic Bloom Pink' | Weigela
Sonic Bloom Red | Weigela 'Sonic Bloom Red' | Weigela
Spilled Wine | Weigela florida 'Spilled Wine' | Weigela
Spirea | Spiraea | Spirea
Stewartstonian | Rhododendron 'Stewartstonian' | Azaleas
Sugartina Crystalina | Clethra alnifolia 'Crystalina' | Summersweet
Summer Wine | Physocarpus opulifolius 'Seward' | Ninebark
Summersweet | Clethra alnifolia | Summersweet
Tangerine | Potentilla fruticosa 'Tangerine' | Potentilla
Tiny Wine | Physocarpus opulifolius 'SMNPOTW' | Ninebark
Tropical Hibiscus | Hibiscus rosa-sinensis | Tropical Hibiscus
Tuscarora | Lagerstroemia 'Tuscarora' | Crape Myrtle
Twilight | Lagerstroemia 'Twilight' | Crape Myrtle
Vanilla Spice | Clethra alnifolia 'Caleb' | Summersweet
Variegata | Weigela florida 'Variegata' | Weigela
Veitchii | Gardenia jasminoides 'Veitchii' | Gardenia
Velvet Cloak | Cotinus coggygria 'Velvet Cloak' | Smokebush
Viburnum | Viburnum | Viburnum
Wedgwood Blue | Syringa vulgaris 'Wedgwood Blue' | Lilac
Weigela | Weigela florida | Weigela
White Beautyberry | Callicarpa dichotoma f. albifructa | Beautyberry
White Chiffon | Hibiscus syriacus 'White Chiffon' | Rose of Sharon
White Knight | Weigela florida 'White Knight' | Weigela
White Lights | Rhododendron 'White Lights' | Azaleas
White Limelight Hydrangea | Hydrangea paniculata 'Limelight' | 
White Profusion | Buddleia davidii 'White Profusion' | Butterfly Bush
White Tropical Hibiscus | Hibiscus rosa-sinensis | Tropical Hibiscus
White Variegated Privet | Ligustrum sinense 'Variegatum' | 
White Weigela | Weigela florida 'Alba' | Weigela
Wine & Roses | Weigela florida 'Wine & Roses' | Weigela
Winecraft Black | Cotinus coggygria 'NCCO1' | Smokebush
Winter Gem | Buxus microphylla 'Winter Gem' | Boxwood
Winter Gold | Ilex verticillata 'Winter Gold' | Winterberry
Winter Red | Ilex verticillata 'Winter Red' | Winterberry
Winterberry | Ilex verticillata | Winterberry
Witch Hazel | Hamamelis | Witch Hazel
Yaku Princess | Rhododendron 'Yaku Princess' | Rhododendrons
Yankee Doodle | Syringa vulgaris 'Yankee Doodle' | Lilac
Yellow Tropical Hibiscus | Hibiscus rosa-sinensis | Tropical Hibiscus
Young Lady | Cotinus coggygria 'Young Lady' | Smokebush
Yuletide | Camellia sasanqua 'Yuletide' | Camellia
